fsclr,rgnstnsb-clss,fstcprcnt,sctrnm,sctrprcnt,thsss(mrkr),prgrmmngprcss(nw),prjctnmbr,brnchnm,sctnd,rgnstnd,mntspnt,rgnlprgrm(mrkr),rtcprcnt,cfl(mrkr),cntnntd,ndgnssss(mrkr),rgnstnnm,gndrqlt(mrkr),dvsnd,chldrnsss(mrkr),fndcntrd,cntrrgnprcnt,ntdmnt(prjct-lvlbdgt),pbtp,trddvlpmnt(mrkr),bdvrst(mrkr),rbnsss(mrkr),dsbltsss(mrkr),ctstlfrdvlpmnt(mrkr),knwldgfrdvlpmnt(mrkr),rgnstntp,rgnstnclss,cntnntnm,prjctbrwsrcntrd,cntrrgnd,cntrrgnnm,sctrd
2009/2010,IFI,0.1,Agricultural policy and administrative management,0.2,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,39000.0,0,0.0,0,3,0,World Bank,1,D5430,0,5461,0.0065,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,AF,AF,Afghanistan,31110
2009/2010,IFI,0.1,Agricultural development,0.2,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,39000.0,0,0.0,0,3,0,World Bank,1,D5430,0,5461,0.0065,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,AF,AF,Afghanistan,31120
2009/2010,IFI,0.1,Agricultural inputs,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,19500.0,0,0.0,0,3,0,World Bank,1,D5430,0,5461,0.0065,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,AF,AF,Afghanistan,31150
2009/2010,IFI,0.1,Food crop production,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,19500.0,0,0.0,0,3,0,World Bank,1,D5430,0,5461,0.0065,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,AF,AF,Afghanistan,31161
2009/2010,IFI,0.1,Agricultural extension,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,19500.0,0,0.0,0,3,0,World Bank,1,D5430,0,5461,0.0065,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,AF,AF,Afghanistan,31166
2009/2010,IFI,0.1,Agricultural research,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,19500.0,0,0.0,0,3,0,World Bank,1,D5430,0,5461,0.0065,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,AF,AF,Afghanistan,31182
2009/2010,IFI,0.1,Agricultural services,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,19500.0,0,0.0,0,3,0,World Bank,1,D5430,0,5461,0.0065,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,AF,AF,Afghanistan,31191
2009/2010,IFI,0.1,Agricultural financial services,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,19500.0,0,0.0,0,3,0,World Bank,1,D5430,0,5461,0.0065,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,AF,AF,Afghanistan,31193
2009/2010,IFI,0.1,Agricultural policy and administrative management,0.2,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,630000.0,0,0.0,0,3,0,World Bank,1,D5430,0,5461,0.105,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,BD,BD,Bangladesh,31110
2009/2010,IFI,0.1,Agricultural development,0.2,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,630000.0,0,0.0,0,3,0,World Bank,1,D5430,0,5461,0.105,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,BD,BD,Bangladesh,31120
2009/2010,IFI,0.1,Agricultural inputs,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,315000.0,0,0.0,0,3,0,World Bank,1,D5430,0,5461,0.105,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,BD,BD,Bangladesh,31150
2009/2010,IFI,0.1,Food crop production,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,315000.0,0,0.0,0,3,0,World Bank,1,D5430,0,5461,0.105,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,BD,BD,Bangladesh,31161
2009/2010,IFI,0.1,Agricultural extension,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,315000.0,0,0.0,0,3,0,World Bank,1,D5430,0,5461,0.105,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,BD,BD,Bangladesh,31166
2009/2010,IFI,0.1,Agricultural research,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,315000.0,0,0.0,0,3,0,World Bank,1,D5430,0,5461,0.105,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,BD,BD,Bangladesh,31182
2009/2010,IFI,0.1,Agricultural services,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,315000.0,0,0.0,0,3,0,World Bank,1,D5430,0,5461,0.105,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,BD,BD,Bangladesh,31191
2009/2010,IFI,0.1,Agricultural financial services,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,315000.0,0,0.0,0,3,0,World Bank,1,D5430,0,5461,0.105,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Asia,BD,BD,Bangladesh,31193
2009/2010,IFI,0.1,Agricultural policy and administrative management,0.2,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,48600.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0081,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,BI,BI,Burundi,31110
2009/2010,IFI,0.1,Agricultural development,0.2,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,48600.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0081,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,BI,BI,Burundi,31120
2009/2010,IFI,0.1,Agricultural inputs,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,24300.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0081,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,BI,BI,Burundi,31150
2009/2010,IFI,0.1,Food crop production,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,24300.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0081,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,BI,BI,Burundi,31161
2009/2010,IFI,0.1,Agricultural extension,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,24300.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0081,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,BI,BI,Burundi,31166
2009/2010,IFI,0.1,Agricultural research,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,24300.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0081,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,BI,BI,Burundi,31182
2009/2010,IFI,0.1,Agricultural services,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,24300.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0081,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,BI,BI,Burundi,31191
2009/2010,IFI,0.1,Agricultural financial services,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,24300.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0081,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,BI,BI,Burundi,31193
2009/2010,IFI,0.1,Agricultural policy and administrative management,0.2,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,43800.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0073,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,BJ,BJ,Benin,31110
2009/2010,IFI,0.1,Agricultural development,0.2,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,43800.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0073,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,BJ,BJ,Benin,31120
2009/2010,IFI,0.1,Agricultural inputs,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,21900.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0073,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,BJ,BJ,Benin,31150
2009/2010,IFI,0.1,Food crop production,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,21900.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0073,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,BJ,BJ,Benin,31161
2009/2010,IFI,0.1,Agricultural extension,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,21900.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0073,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,BJ,BJ,Benin,31166
2009/2010,IFI,0.1,Agricultural research,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,21900.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0073,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,BJ,BJ,Benin,31182
2009/2010,IFI,0.1,Agricultural services,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,21900.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0073,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,BJ,BJ,Benin,31191
2009/2010,IFI,0.1,Agricultural financial services,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,21900.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0073,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,BJ,BJ,Benin,31193
2009/2010,IFI,0.1,Agricultural policy and administrative management,0.2,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,34200.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0057,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,CF,CF,Central Afr.Rep,31110
2009/2010,IFI,0.1,Agricultural development,0.2,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,34200.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0057,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,CF,CF,Central Afr.Rep,31120
2009/2010,IFI,0.1,Agricultural inputs,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,17100.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0057,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,CF,CF,Central Afr.Rep,31150
2009/2010,IFI,0.1,Food crop production,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,17100.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0057,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,CF,CF,Central Afr.Rep,31161
2009/2010,IFI,0.1,Agricultural extension,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,17100.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0057,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,CF,CF,Central Afr.Rep,31166
2009/2010,IFI,0.1,Agricultural research,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,17100.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0057,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,CF,CF,Central Afr.Rep,31182
2009/2010,IFI,0.1,Agricultural services,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,17100.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0057,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,CF,CF,Central Afr.Rep,31191
2009/2010,IFI,0.1,Agricultural financial services,0.1,0,Uncoded: Pre-APP,M013185001,MFM Global Issues and Development,S5460,1001306,17100.0,0,0.0,0,2,0,World Bank,1,D5430,0,5461,0.0057,30000000.0,Not PBA,1,0,0,0,0,0,Foreign Non-Profit Making,Multilateral,Africa,CF,CF,Central Afr.Rep,31193
