assays_assay_id,assays_assay_organism,assays_confidence_score,assays_assay_type,assays_assay_cell_type,assays_src_id,assays_description,assays_tid,assays_assay_tax_id,assays_assay_subcellular_fraction,assays_variant_id,assays_chembl_id,assays_doc_id,assays_tissue_id,assays_cell_id,assays_src_assay_id,assays_assay_tissue,assays_relationship_type,assays_curated_by,assays_bao_format
36,Rattus norvegicus,0,A,,1,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,22226,10116.0,,,CHEMBL615148,11347,,,,,U,Autocuration,BAO_0000019
37,Escherichia coli,0,B,,1,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,22226,562.0,,,CHEMBL615149,5926,,,,,U,Autocuration,BAO_0000019
38,,0,B,,1,Dissociation constant with dimeric 16S rRNA RNA construct B,22226,,,,CHEMBL615150,4567,,,,,U,Autocuration,BAO_0000019
39,,3,B,,1,Dissociation constant towards 16S rRNA construct A,22222,,,,CHEMBL615151,3782,,,,,M,Intermediate,BAO_0000225
40,,3,B,,1,Dissociation constant towards 16S rRNA construct B,22222,,,,CHEMBL615152,3782,,,,,M,Intermediate,BAO_0000225
41,Escherichia coli,3,B,,1,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,100263,562.0,,,CHEMBL615153,4466,,,,,M,Expert,BAO_0000225
42,Escherichia coli,3,B,,1,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,100263,562.0,,,CHEMBL615154,6592,,,,,M,Expert,BAO_0000225
43,,8,B,,1,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),13053,,,,CHEMBL615155,898,,,,,H,Autocuration,BAO_0000019
44,,8,B,,1,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),13053,,,,CHEMBL615156,898,,,,,H,Autocuration,BAO_0000019
45,Homo sapiens,8,B,,1,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,20001,9606.0,,,CHEMBL615157,13163,,,,,H,Autocuration,BAO_0000019
46,Homo sapiens,8,B,,1,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,20001,9606.0,,,CHEMBL615158,13163,,,,,H,Autocuration,BAO_0000019
47,Rattus norvegicus,9,B,,1,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",12971,10116.0,,,CHEMBL615159,10691,,,,,D,Expert,BAO_0000019
48,Rattus norvegicus,9,B,,1,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",12971,10116.0,,,CHEMBL615172,10691,,,,,D,Expert,BAO_0000019
49,Rattus norvegicus,9,B,,1,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",12971,10116.0,,,CHEMBL615173,10691,,,,,D,Expert,BAO_0000019
50,Rattus norvegicus,9,B,,1,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",12971,10116.0,,,CHEMBL615174,10691,,,,,D,Expert,BAO_0000019
51,,8,B,,1,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),13053,,,,CHEMBL884518,898,,,,,H,Autocuration,BAO_0000019
52,,8,B,,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),11512,,,,CHEMBL615175,912,,,,,H,Autocuration,BAO_0000357
53,,8,B,,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,11512,,,,CHEMBL615176,912,,,,,H,Autocuration,BAO_0000357
54,,8,B,,1,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,11512,,,,CHEMBL615177,912,,,,,H,Autocuration,BAO_0000357
55,Rattus norvegicus,5,B,,1,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,104740,10116.0,Membranes,,CHEMBL615178,15103,,,,,D,Autocuration,BAO_0000249
56,Homo sapiens,1,F,1A9,1,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,80002,9606.0,,,CHEMBL615179,5116,,506.0,,,N,Intermediate,BAO_0000219
57,Rattus norvegicus,7,F,Oocytes,1,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,104835,10116.0,,,CHEMBL615180,14578,,,,,D,Autocuration,BAO_0000219
58,Rattus norvegicus,7,F,Oocytes,1,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,104821,10116.0,,,CHEMBL615181,14578,,,,,D,Autocuration,BAO_0000219
59,Rattus norvegicus,7,F,Oocytes,1,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,104848,10116.0,,,CHEMBL615182,14578,,,,,D,Autocuration,BAO_0000219
60,Homo sapiens,1,F,1A9,1,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,80002,9606.0,,,CHEMBL615183,4787,,506.0,,,N,Expert,BAO_0000219
61,Homo sapiens,1,F,1A9,1,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,80002,9606.0,,,CHEMBL615184,4787,,506.0,,,N,Intermediate,BAO_0000219
62,Homo sapiens,1,F,1A9,1,Cytotoxic activity against human ovarian cancer (1A9) cell line,80002,9606.0,,,CHEMBL615185,3547,,506.0,,,N,Intermediate,BAO_0000219
63,Homo sapiens,1,F,1A9,1,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,80002,9606.0,,,CHEMBL615186,3547,,506.0,,,N,Intermediate,BAO_0000219
64,Homo sapiens,1,F,1A9,1,Effective dose of compound against replication of 1A9 cell line was evaluated,80002,9606.0,,,CHEMBL615187,6726,,506.0,,,N,Intermediate,BAO_0000219
65,Homo sapiens,1,F,1A9,1,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,80002,9606.0,,,CHEMBL885343,3455,,506.0,,,N,Expert,BAO_0000219
66,Homo sapiens,1,F,1A9,1,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),80002,9606.0,,,CHEMBL615188,5726,,506.0,,,N,Intermediate,BAO_0000219
67,Homo sapiens,1,F,1A9,1,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,80002,9606.0,,,CHEMBL615189,5726,,506.0,,,N,Intermediate,BAO_0000219
68,Homo sapiens,1,F,1A9,1,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,80002,9606.0,,,CHEMBL615190,5726,,506.0,,,N,Intermediate,BAO_0000219
69,Homo sapiens,1,F,1A9,1,Inhibitory activity against Taxol resistant 1A9 cell lines,80002,9606.0,,,CHEMBL615191,3395,,506.0,,,N,Intermediate,BAO_0000219
70,Homo sapiens,1,F,1A9,1,Cytotoxicity against human ovarian cancer (1A9) cell lines.,80002,9606.0,,,CHEMBL615192,3415,,506.0,,,N,Expert,BAO_0000219
71,Homo sapiens,1,F,1A9,1,Percentage inhibition of human ovarian cancer (1A9) cell lines.,80002,9606.0,,,CHEMBL827083,3415,,506.0,,,N,Expert,BAO_0000219
72,Homo sapiens,1,F,1A9,1,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,80002,9606.0,,,CHEMBL615193,17099,,506.0,,,N,Expert,BAO_0000219
73,Homo sapiens,1,F,1A9,1,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,80002,9606.0,,,CHEMBL615194,17099,,506.0,,,N,Intermediate,BAO_0000219
74,Homo sapiens,1,F,1A9,1,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,80002,9606.0,,,CHEMBL615195,17099,,506.0,,,N,Intermediate,BAO_0000219
75,Homo sapiens,1,F,1A9,1,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,80002,9606.0,,,CHEMBL615196,17099,,506.0,,,N,Intermediate,BAO_0000219
76,Homo sapiens,1,F,Jurkat,1,Inhibitory concentration against Jurkat cells,81072,9606.0,,,CHEMBL615197,17721,,503.0,,,N,Intermediate,BAO_0000219
77,,0,F,,1,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,22226,,,,CHEMBL615198,1229,,,,,U,Intermediate,BAO_0000019
78,Rattus norvegicus,9,A,,1,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,100121,10116.0,,,CHEMBL615199,11347,,,,,D,Expert,BAO_0000357
79,,8,B,,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",11231,,,,CHEMBL615200,17117,,,,,H,Expert,BAO_0000357
80,,8,B,,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",11231,,,,CHEMBL615201,17117,,,,,H,Expert,BAO_0000357
81,,8,B,,1,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",11231,,,,CHEMBL615202,17117,,,,,H,Expert,BAO_0000357
82,Candida albicans,8,B,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",11231,5476.0,Microsomes,,CHEMBL615203,11375,,,,,H,Autocuration,BAO_0000251
83,Candida albicans,8,B,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",11231,5476.0,Microsomes,,CHEMBL615204,11375,,,,,H,Autocuration,BAO_0000251
84,Saccharomyces cerevisiae,8,B,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",11231,4932.0,Microsomes,,CHEMBL615205,11375,,,,,H,Autocuration,BAO_0000251
85,Saccharomyces cerevisiae,8,B,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",11231,4932.0,Microsomes,,CHEMBL615206,11375,,,,,H,Autocuration,BAO_0000251
86,Sus scrofa,8,B,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",12083,9823.0,Microsomes,,CHEMBL615207,11375,2107.0,,,Liver,H,Autocuration,BAO_0000251
87,Rattus norvegicus,8,B,,1,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",11231,10116.0,,,CHEMBL827084,791,,,,,H,Autocuration,BAO_0000019
88,Rattus norvegicus,8,B,,1,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",11231,10116.0,,,CHEMBL615208,791,,,,,H,Autocuration,BAO_0000019
89,Rattus norvegicus,8,B,,1,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",11231,10116.0,,,CHEMBL615209,791,,,,,H,Autocuration,BAO_0000019
90,Rattus norvegicus,9,B,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",12083,10116.0,Microsomes,,CHEMBL615210,11375,2107.0,,,Liver,D,Autocuration,BAO_0000251
91,Rattus norvegicus,9,B,,1,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",12083,10116.0,Microsomes,,CHEMBL615211,11375,2107.0,,,Liver,D,Autocuration,BAO_0000251
92,Rattus norvegicus,9,B,,1,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",12083,10116.0,Microsomes,,CHEMBL615212,153,2107.0,,,Liver,D,Autocuration,BAO_0000251
93,,8,B,,1,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),11377,,,,CHEMBL615213,8269,,,,,H,Expert,BAO_0000357
94,,8,B,,1,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,11377,,,,CHEMBL615273,8269,,,,,H,Expert,BAO_0000357
95,Homo sapiens,1,F,HepG2,1,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,81020,9606.0,,,CHEMBL615274,17653,,726.0,,,N,Expert,BAO_0000219
96,Homo sapiens,1,F,HepG2,1,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,81020,9606.0,,,CHEMBL615275,14277,,726.0,,,N,Intermediate,BAO_0000219
97,Homo sapiens,1,F,HepG2,1,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,81020,9606.0,,,CHEMBL615276,1717,,726.0,,,N,Intermediate,BAO_0000219
98,Homo sapiens,1,F,HepG2,1,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,81020,9606.0,,,CHEMBL615277,14091,,726.0,,,N,Intermediate,BAO_0000219
99,Homo sapiens,1,F,HepG2,1,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,81020,9606.0,,,CHEMBL615326,14091,,726.0,,,N,Intermediate,BAO_0000219
100,Hepatitis B virus,1,F,,1,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,50606,10407.0,,,CHEMBL883130,17653,,,,,N,Expert,BAO_0000218
101,Homo sapiens,1,F,HepG2,1,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,81020,9606.0,,,CHEMBL884519,13105,,726.0,,,N,Intermediate,BAO_0000219
102,Homo sapiens,1,F,HepG2,1,Concentration required to inhibit 50% of 2.2.15 cell line,81020,9606.0,,,CHEMBL615327,1717,,726.0,,,N,Intermediate,BAO_0000219
103,Homo sapiens,1,A,HepG2,1,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,81020,9606.0,,,CHEMBL615328,13105,,726.0,,,N,Intermediate,BAO_0000219
104,Homo sapiens,1,F,2.2.15,1,Cytotoxic activity of compound against uninfected 2.2.15 cells.,50587,9606.0,,,CHEMBL615329,13600,,,,,N,Intermediate,BAO_0000218
105,Homo sapiens,1,F,2.2.15,1,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,50587,9606.0,,,CHEMBL615330,13467,,,,,N,Intermediate,BAO_0000218
106,Hepatitis B virus,1,F,2.2.15,1,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",50606,10407.0,,,CHEMBL615331,17477,,,,,N,Expert,BAO_0000218
107,Homo sapiens,1,F,2.2.15,1,In vitro anti-HBV activity in 2.2.15 cells,50587,9606.0,,,CHEMBL615332,1593,,,,,N,Intermediate,BAO_0000218
108,Homo sapiens,1,F,2.2.15,1,In vitro anti-HBV activity in 2.2.15 cells; Not determined,50587,9606.0,,,CHEMBL615333,1593,,,,,N,Intermediate,BAO_0000218
109,Homo sapiens,1,F,2.2.15,1,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,50587,9606.0,,,CHEMBL615334,15089,,,,,N,Intermediate,BAO_0000218
110,Homo sapiens,1,F,2.2.15,1,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,50587,9606.0,,,CHEMBL615335,15089,,,,,N,Intermediate,BAO_0000218
111,Homo sapiens,1,F,2.2.15,1,Cytotoxicity in 2.2.15 cells,50587,9606.0,,,CHEMBL615336,1593,,,,,N,Intermediate,BAO_0000218
112,Homo sapiens,1,F,2.2.15,1,Cytotoxicity in 2.2.15 cells; Not determined,50587,9606.0,,,CHEMBL615337,1593,,,,,N,Intermediate,BAO_0000218
113,Homo sapiens,1,F,2.2.15,1,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,50587,9606.0,,,CHEMBL615338,13600,,,,,N,Intermediate,BAO_0000218
114,Homo sapiens,1,F,2.2.15,1,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,50587,9606.0,,,CHEMBL615339,13467,,,,,N,Intermediate,BAO_0000218
115,Homo sapiens,1,F,2.2.15,1,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,50587,9606.0,,,CHEMBL615340,13467,,,,,N,Intermediate,BAO_0000218
116,Homo sapiens,1,F,HepG2,1,Antiviral activity against HBV was determined in 2.215 cell line,81020,9606.0,,,CHEMBL615341,14764,,726.0,,,N,Intermediate,BAO_0000219
117,Homo sapiens,0,B,,1,Inhibition of 20-HETE synthesis in human renal microsomes,22226,9606.0,Microsomes,,CHEMBL615342,6531,,,,,U,Autocuration,BAO_0000251
118,,0,B,,1,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,22226,,,,CHEMBL615343,17322,,,,,U,Autocuration,BAO_0000019
119,Homo sapiens,1,F,2008,1,Inhibitory concentration against 2008 (ovarian) cells,80612,9606.0,,,CHEMBL615344,17072,,388.0,,,N,Intermediate,BAO_0000219
120,Homo sapiens,1,F,2008,1,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,80612,9606.0,,,CHEMBL615345,16936,,388.0,,,N,Intermediate,BAO_0000219
121,Homo sapiens,1,F,2008,1,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),80612,9606.0,,,CHEMBL615346,16936,,388.0,,,N,Intermediate,BAO_0000219
122,Homo sapiens,1,F,2008,1,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,80612,9606.0,,,CHEMBL615347,17146,,388.0,,,N,Intermediate,BAO_0000219
123,Homo sapiens,1,F,2008,1,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,80612,9606.0,,,CHEMBL615348,17146,,388.0,,,N,Intermediate,BAO_0000219
124,Homo sapiens,1,F,2008/R,1,In vitro inhibition of 2008/R ovarian cancer cell line,80613,9606.0,,,CHEMBL827085,10797,,561.0,,,N,Intermediate,BAO_0000219
125,Homo sapiens,1,F,2008/R,1,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,80613,9606.0,,,CHEMBL615349,10797,,561.0,,,N,Intermediate,BAO_0000219
126,Homo sapiens,1,F,2008/S,1,In vitro inhibition of 2008/S ovarian cancer cell line,80614,9606.0,,,CHEMBL615350,10797,,389.0,,,N,Intermediate,BAO_0000219
127,Homo sapiens,1,F,2008/S,1,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,80614,9606.0,,,CHEMBL615351,10797,,389.0,,,N,Intermediate,BAO_0000219
128,Homo sapiens,2,B,,1,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,100256,9606.0,,,CHEMBL615352,4823,,,,,S,Expert,BAO_0000220
129,Homo sapiens,2,B,,1,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,100256,9606.0,,,CHEMBL615353,12912,,,,,S,Intermediate,BAO_0000220
130,,2,B,,1,Inhibition of chymotrypsin-like activity of 20S proteasome,100256,,,,CHEMBL615354,2957,,,,,S,Expert,BAO_0000220
131,,2,B,,1,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,100256,,,,CHEMBL615355,2957,,,,,S,Expert,BAO_0000220
132,,2,B,,1,Inhibitory activity against 20S proteosome,100256,,,,CHEMBL615356,3260,,,,,S,Intermediate,BAO_0000220
133,Homo sapiens,0,B,,1,Compound was tested for inhibitory activity against tryptase,22226,9606.0,,,CHEMBL615357,3451,,,,,U,Autocuration,BAO_0000019
134,Homo sapiens,1,F,HepG2,1,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,81020,9606.0,,,CHEMBL615358,13885,,726.0,,,N,Intermediate,BAO_0000219
135,Homo sapiens,1,F,HepG2,1,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,81020,9606.0,,,CHEMBL827086,13885,,726.0,,,N,Intermediate,BAO_0000219
136,,0,B,,1,Compound was tested for the inhibition of Alpha-glucosidase,22226,,,,CHEMBL615359,3676,,,,,U,Autocuration,BAO_0000019
137,,8,B,,1,Inhibitory concentration against human neutrophil elastase (HNE),235,,,,CHEMBL615360,6043,,,,,H,Autocuration,BAO_0000357
138,Rattus norvegicus,0,F,,1,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,22226,10116.0,,,CHEMBL615361,11140,948.0,,,Heart,U,Autocuration,BAO_0000218
139,,8,F,,1,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,19640,,,,CHEMBL615362,10543,,,,,H,Autocuration,BAO_0000019
140,,8,F,,1,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,19640,,,,CHEMBL615363,10543,,,,,H,Expert,BAO_0000019
141,,8,B,,1,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,19640,,,,CHEMBL615364,10543,,,,,H,Autocuration,BAO_0000357
