nome,attore_id,cognome,film_id
DARYL,129,CRAWFORD,826
RAY,64,JOHANSSON,335
SANDRA,23,KILMER,842
LUCILLE,20,TRACY,643
MARY,198,KEITEL,379
JIM,99,MOSTEL,636
ED,136,MANSFIELD,474
ALAN,173,DREYFUSS,379
RENEE,117,TRACY,926
MARY,66,TANDY,230
VIVIEN,14,BERGEN,536
KEVIN,25,BLOOM,245
AUDREY,190,BAILEY,54
OPRAH,162,KILMER,164
CAMERON,111,ZELLWEGER,699
JAYNE,150,NOLTE,285
UMA,13,WOOD,528
BOB,19,FAWCETT,513
MARY,198,KEITEL,745
LUCILLE,20,TRACY,663
JIM,99,MOSTEL,796
BELA,196,WALKEN,324
SIDNEY,105,CROWE,158
WHOOPI,140,HURT,599
PENELOPE,104,CRONYN,463
RENEE,117,TRACY,167
ANGELA,144,WITHERSPOON,762
JULIA,27,MCQUEEN,19
SPENCER,100,DEPP,992
GROUCHO,106,DUNST,675
REESE,45,KILMER,901
MARY,198,KEITEL,817
FAY,55,KILMER,307
RIP,68,WINSLET,347
JULIA,27,MCQUEEN,273
CUBA,189,BIRCH,899
DUSTIN,59,TAUTOU,644
ALBERT,125,NOLTE,429
GRACE,7,MOSTEL,217
HARVEY,161,HOPE,653
ADAM,71,GRANT,317
GENE,134,HOPKINS,588
RICHARD,133,PENN,351
KENNETH,69,PALTROW,529
RAY,64,JOHANSSON,506
KIRSTEN,21,PALTROW,920
EWAN,139,GOODING,892
JAYNE,62,NEESON,990
WOODY,82,JOLIE,143
JODIE,41,DEGENERES,674
ALBERT,146,JOHANSSON,955
RUSSELL,183,CLOSE,862
JUDE,57,CRUISE,502
JULIANNE,123,DENCH,892
RIVER,143,DEAN,821
VIVIEN,14,BERGEN,475
JIM,99,MOSTEL,84
KEVIN,127,GARLAND,553
BOB,19,FAWCETT,2
MATTHEW,181,CARREY,874
KENNETH,94,TORN,989
ED,3,CHASE,971
CATE,128,MCQUEEN,696
WHOOPI,140,HURT,112
WHOOPI,140,HURT,736
JANE,131,JACKMAN,713
DARYL,129,CRAWFORD,597
WILL,168,WILSON,188
GARY,51,PHOENIX,993
CATE,128,MCQUEEN,671
JANE,131,JACKMAN,921
CARY,77,MCCONAUGHEY,224
KIRK,43,JOVOVICH,161
KENNETH,94,TORN,551
SUSAN,101,DAVIS,978
PARKER,46,GOLDBERG,38
WARREN,108,NOLTE,721
BELA,196,WALKEN,795
NICK,44,STALLONE,109
MICHAEL,174,BENING,853
MERYL,154,GIBSON,111
DARYL,129,CRAWFORD,471
VIVIEN,158,BASINGER,102
LUCILLE,138,DEE,508
LIZA,121,BERGMAN,284
JOHNNY,40,CAGE,326
PENELOPE,120,MONROE,149
RICHARD,133,PENN,133
ANGELA,144,WITHERSPOON,164
JIM,99,MOSTEL,620
WILLIAM,175,HACKMAN,591
SCARLETT,124,BENING,64
ANNE,49,CRONYN,469
MATTHEW,8,JOHANSSON,195
KIRSTEN,92,AKROYD,662
RAY,64,JOHANSSON,832
GRACE,7,MOSTEL,766
JULIA,186,ZELLWEGER,983
GENE,177,MCKELLEN,86
SALMA,122,NOLTE,542
GINA,107,DEGENERES,430
ELVIS,22,MARX,483
HUMPHREY,184,GARLAND,650
HUMPHREY,184,GARLAND,959
JOE,9,SWANK,889
JAYNE,150,NOLTE,190
WILL,168,WILSON,32
PARKER,46,GOLDBERG,538
DEBBIE,182,AKROYD,695
JAMES,84,PITT,887
MATTHEW,8,JOHANSSON,205
JULIA,186,ZELLWEGER,648
WOODY,82,JOLIE,497
WARREN,119,JACKMAN,649
GOLDIE,39,BRODY,606
REESE,197,WEST,691
GROUCHO,106,DUNST,399
KENNETH,94,TORN,521
CHRISTIAN,58,AKROYD,602
MAE,79,HOFFMAN,40
KEVIN,127,GARLAND,382
RALPH,80,CRUZ,69
VAL,37,BOLGER,317
BOB,19,FAWCETT,673
WOODY,82,JOLIE,242
DAN,18,TORN,172
JAYNE,62,NEESON,951
GARY,51,PHOENIX,750
JOHNNY,40,CAGE,107
REESE,45,KILMER,797
ALBERT,125,NOLTE,877
HENRY,60,BERRY,253
RUSSELL,149,TEMPLE,365
BEN,152,HARRIS,248
HARVEY,161,HOPE,90
HELEN,17,VOIGHT,873
CARMEN,52,HUNT,96
KIM,145,ALLEN,154
SUSAN,101,DAVIS,617
MORGAN,113,HOPKINS,723
CHARLIZE,89,DENCH,410
IAN,155,TANDY,427
GREG,86,CHAPLIN,548
BEN,152,HARRIS,821
GROUCHO,106,DUNST,858
TOM,42,MIRANDA,687
NICK,166,DEGENERES,326
DAN,56,HARRIS,63
RENEE,117,TRACY,337
AUDREY,190,BAILEY,87
EMILY,148,DEE,226
JON,176,CHASE,13
RUSSELL,112,BACALL,865
ANGELINA,76,ASTAIRE,234
JIM,99,MOSTEL,7
VIVIEN,158,BASINGER,616
LIZA,121,BERGMAN,771
THORA,200,TEMPLE,5
WARREN,108,NOLTE,208
JOHNNY,40,CAGE,835
DEBBIE,182,AKROYD,324
WALTER,102,TORN,200
MICHAEL,174,BENING,659
HUMPHREY,164,WILLIS,347
KEVIN,25,BLOOM,755
MAE,79,HOFFMAN,428
WARREN,119,JACKMAN,751
ED,3,CHASE,289
KENNETH,88,PESCI,193
GROUCHO,172,WILLIAMS,487
PENELOPE,54,PINKETT,150
JOE,9,SWANK,650
SALMA,122,NOLTE,654
THORA,200,TEMPLE,121
SCARLETT,81,DAMON,465
SCARLETT,124,BENING,468
ALEC,29,WAYNE,273
CHRISTOPHER,91,BERRY,48
WILL,168,WILSON,892
RUSSELL,112,BACALL,312
JOHN,192,SUVARI,179
FAY,156,WOOD,285
ADAM,71,GRANT,638
CAMERON,111,ZELLWEGER,894
JANE,131,JACKMAN,94
EWAN,139,GOODING,746
JULIANNE,123,DENCH,185
GROUCHO,106,DUNST,780
GENE,96,WILLIS,452
MENA,53,TEMPLE,307
VAL,37,BOLGER,839
GRETA,157,MALDEN,217
PENELOPE,120,MONROE,722
FRED,16,COSTNER,438
OLYMPIA,171,PFEIFFER,466
GRETA,157,MALDEN,400
MATTHEW,181,CARREY,921
JULIA,199,FAWCETT,785
MEG,97,HAWKE,312
GOLDIE,39,BRODY,696
GARY,73,PENN,467
JULIA,186,ZELLWEGER,95
BURT,36,DUKAKIS,590
JULIA,27,MCQUEEN,967
JULIA,27,MCQUEEN,996
JOE,9,SWANK,148
CHRISTOPHER,91,BERRY,181
MARY,198,KEITEL,1
RUSSELL,112,BACALL,666
KIM,145,ALLEN,592
ALEC,29,WAYNE,226
JIM,99,MOSTEL,475
MINNIE,153,KILMER,476
REESE,197,WEST,29
FAY,156,WOOD,754
LIZA,121,BERGMAN,884
IAN,155,TANDY,584
CAMERON,63,WRAY,781
CUBA,15,OLIVIER,817
SUSAN,101,DAVIS,980
WILL,168,WILSON,433
SCARLETT,124,BENING,987
SPENCER,100,DEPP,991
BURT,36,DUKAKIS,716
VIVIEN,14,BERGEN,241
ROCK,188,DUKAKIS,338
ANGELA,65,HUDSON,125
REESE,197,WEST,769
WALTER,102,TORN,431
WALTER,102,TORN,485
JODIE,41,DEGENERES,100
SEAN,90,GUINESS,451
GRETA,130,KEITEL,37
RICHARD,133,PENN,868
DEBBIE,182,AKROYD,160
ED,3,CHASE,685
LAURA,159,BRODY,549
NICK,44,STALLONE,420
KENNETH,94,TORN,512
ANGELA,144,WITHERSPOON,312
KIRSTEN,92,AKROYD,712
JODIE,41,DEGENERES,721
GRETA,130,KEITEL,112
VIVIEN,158,BASINGER,880
GREGORY,191,GOODING,819
GENE,177,MCKELLEN,52
MERYL,194,ALLEN,215
NATALIE,50,HOPKINS,178
DAN,116,STREEP,606
PENELOPE,54,PINKETT,285
JON,176,CHASE,521
DARYL,129,CRAWFORD,920
BEN,83,WILLIS,784
ADAM,132,HOPPER,904
PENELOPE,1,GUINESS,980
ALBERT,146,JOHANSSON,734
GRACE,7,MOSTEL,846
MILLA,33,PECK,694
NICK,44,STALLONE,591
JIM,99,MOSTEL,967
ANGELINA,76,ASTAIRE,781
MERYL,154,GIBSON,988
ROCK,188,DUKAKIS,606
JOE,9,SWANK,434
HENRY,60,BERRY,551
ANGELA,65,HUDSON,117
KEVIN,127,GARLAND,79
RIP,68,WINSLET,839
WILL,168,WILSON,336
CATE,128,MCQUEEN,912
REESE,197,WEST,967
SCARLETT,81,DAMON,398
EWAN,139,GOODING,233
THORA,200,TEMPLE,879
CATE,141,HARRIS,909
GRETA,130,KEITEL,764
WILL,168,WILSON,92
GINA,107,DEGENERES,603
SEAN,90,GUINESS,374
CAMERON,63,WRAY,134
ALEC,29,WAYNE,488
MICHAEL,185,BOLGER,411
GREG,86,CHAPLIN,137
JAYNE,62,NEESON,100
HARVEY,161,HOPE,714
GRETA,157,MALDEN,802
ED,136,MANSFIELD,818
JOHN,192,SUVARI,682
GREG,86,CHAPLIN,216
NATALIE,50,HOPKINS,372
RALPH,80,CRUZ,280
MICHAEL,185,BOLGER,761
CARY,77,MCCONAUGHEY,261
KIRK,43,JOVOVICH,917
ANNE,49,CRONYN,927
WARREN,108,NOLTE,567
EWAN,139,GOODING,170
GOLDIE,39,BRODY,415
AL,165,GARLAND,809
WHOOPI,140,HURT,731
CARMEN,52,HUNT,915
FRED,16,COSTNER,80
MICHAEL,174,BENING,618
CUBA,118,ALLEN,938
NATALIE,50,HOPKINS,504
ALEC,29,WAYNE,335
SYLVESTER,109,DERN,393
JON,176,CHASE,740
JULIANNE,123,DENCH,725
UMA,13,WOOD,110
JULIA,27,MCQUEEN,398
SYLVESTER,109,DERN,463
DARYL,95,WAHLBERG,22
MAE,79,HOFFMAN,634
BELA,196,WALKEN,908
MORGAN,114,MCDORMAND,13
MATTHEW,181,CARREY,387
GINA,107,DEGENERES,220
ZERO,11,CAGE,854
ALBERT,146,JOHANSSON,410
SISSY,31,SOBIESKI,299
CUBA,118,ALLEN,957
JAYNE,150,NOLTE,468
ELVIS,22,MARX,536
GROUCHO,106,DUNST,763
ADAM,71,GRANT,560
JUDY,35,DEAN,817
PENELOPE,104,CRONYN,59
ADAM,132,HOPPER,377
CHRIS,98,BRIDGES,725
HUMPHREY,184,GARLAND,969
REESE,197,WEST,916
GREG,86,CHAPLIN,878
LAURENCE,167,BULLOCK,319
CARY,77,MCCONAUGHEY,40
DAN,116,STREEP,481
MATTHEW,181,CARREY,816
AUDREY,190,BAILEY,426
RIVER,143,DEAN,603
SEAN,90,GUINESS,855
JOHN,192,SUVARI,618
CARY,77,MCCONAUGHEY,943
MILLA,74,KEITEL,185
FAY,147,WINSLET,987
OPRAH,162,KILMER,7
RIP,26,CRAWFORD,635
DAN,18,TORN,386
CHRISTIAN,61,NEESON,307
ED,3,CHASE,42
MENA,53,TEMPLE,577
FRANCES,48,DAY-LEWIS,267
SISSY,31,SOBIESKI,368
ALEC,29,WAYNE,10
RITA,135,REYNOLDS,553
JAYNE,150,NOLTE,94
KIRK,43,JOVOVICH,344
GROUCHO,106,DUNST,866
SPENCER,87,PECK,207
WOODY,28,HOFFMAN,597
JENNIFER,4,DAVIS,62
JUDE,57,CRUISE,852
VIVIEN,158,BASINGER,824
ANNE,49,CRONYN,250
CHRISTIAN,58,AKROYD,175
CATE,141,HARRIS,862
FRANCES,48,DAY-LEWIS,705
GREGORY,191,GOODING,692
TIM,32,HACKMAN,606
JULIA,27,MCQUEEN,34
SUSAN,110,DAVIS,912
FAY,55,KILMER,27
SANDRA,23,KILMER,766
KENNETH,94,TORN,122
RUSSELL,183,CLOSE,32
SPENCER,87,PECK,606
SCARLETT,124,BENING,742
LAURENCE,167,BULLOCK,794
ALBERT,125,NOLTE,204
RIVER,143,DEAN,239
UMA,13,WOOD,381
JAYNE,195,SILVERSTONE,677
KEVIN,25,BLOOM,153
CUBA,118,ALLEN,695
DARYL,129,CRAWFORD,367
VIVIEN,158,BASINGER,473
CUBA,15,OLIVIER,275
MATTHEW,181,CARREY,83
JOHNNY,5,LOLLOBRIGIDA,340
REESE,197,WEST,418
GREG,86,CHAPLIN,923
GENE,177,MCKELLEN,910
SPENCER,87,PECK,830
OPRAH,162,KILMER,274
WOODY,82,JOLIE,344
HUMPHREY,184,GARLAND,985
ED,136,MANSFIELD,552
MEG,97,HAWKE,177
JODIE,41,DEGENERES,212
SANDRA,30,PECK,1
CHRISTOPHER,163,WEST,881
SCARLETT,81,DAMON,4
LUCILLE,20,TRACY,231
MENA,53,TEMPLE,126
ANGELA,144,WITHERSPOON,753
VAL,37,BOLGER,663
BURT,36,DUKAKIS,569
CHRISTOPHER,163,WEST,239
CARY,77,MCCONAUGHEY,969
GENE,96,WILLIS,778
JESSICA,67,BAILEY,496
PENELOPE,1,GUINESS,277
UMA,13,WOOD,571
RENEE,187,BALL,297
CATE,141,HARRIS,821
CARMEN,52,HUNT,878
RENEE,187,BALL,779
MORGAN,137,WILLIAMS,96
HUMPHREY,164,WILLIS,324
CATE,141,HARRIS,589
ELLEN,93,PRESLEY,453
WILL,168,WILSON,208
JANE,131,JACKMAN,881
NATALIE,50,HOPKINS,621
ELLEN,93,PRESLEY,325
CUBA,189,BIRCH,519
WILL,168,WILSON,927
MILLA,33,PECK,154
MICHAEL,185,BOLGER,845
ALEC,29,WAYNE,282
HARVEY,161,HOPE,807
GINA,107,DEGENERES,136
MICHELLE,70,MCCONAUGHEY,823
GINA,107,DEGENERES,133
CATE,128,MCQUEEN,407
GENE,96,WILLIS,8
DARYL,95,WAHLBERG,923
TOM,42,MIRANDA,738
JON,176,CHASE,89
HARVEY,161,HOPE,353
ANGELA,144,WITHERSPOON,599
JAYNE,150,NOLTE,697
GENE,177,MCKELLEN,522
CHRISTOPHER,91,BERRY,511
MORGAN,114,MCDORMAND,254
HUMPHREY,184,GARLAND,336
CUBA,118,ALLEN,852
KARL,12,BERRY,631
BEN,83,WILLIS,412
JOHN,192,SUVARI,470
WILLIAM,175,HACKMAN,67
MENA,53,TEMPLE,576
SYLVESTER,109,DERN,281
SYLVESTER,109,DERN,967
GINA,107,DEGENERES,165
CHRISTIAN,61,NEESON,639
NICK,166,DEGENERES,426
ANGELA,144,WITHERSPOON,105
JAYNE,150,NOLTE,629
RALPH,80,CRUZ,342
GREG,86,CHAPLIN,520
PENELOPE,104,CRONYN,984
LUCILLE,20,TRACY,366
MATTHEW,8,JOHANSSON,255
KEVIN,127,GARLAND,573
MILLA,74,KEITEL,321
SCARLETT,124,BENING,726
MATTHEW,181,CARREY,286
GROUCHO,172,WILLIAMS,609
CHRISTOPHER,91,BERRY,509
ED,3,CHASE,967
RALPH,80,CRUZ,118
KIM,145,ALLEN,692
RUSSELL,112,BACALL,151
KENNETH,169,HOFFMAN,248
KIRK,43,JOVOVICH,608
LUCILLE,20,TRACY,445
LAURA,159,BRODY,127
PENELOPE,120,MONROE,641
EWAN,139,GOODING,107
OLYMPIA,171,PFEIFFER,397
PENELOPE,120,MONROE,830
GROUCHO,172,WILLIAMS,639
KENNETH,88,PESCI,940
MARY,66,TANDY,829
LIZA,121,BERGMAN,338
KARL,12,BERRY,945
FAY,55,KILMER,963
ANGELA,65,HUDSON,158
AUDREY,34,OLIVIER,929
JON,176,CHASE,441
MATTHEW,103,LEIGH,692
BOB,19,FAWCETT,208
CAMERON,63,WRAY,248
GRETA,130,KEITEL,416
CHRISTIAN,10,GABLE,1
GRETA,157,MALDEN,24
FAY,55,KILMER,485
ZERO,11,CAGE,636
SUSAN,110,DAVIS,62
LAURA,159,BRODY,343
MICHAEL,174,BENING,168
JADA,142,RYDER,328
FAY,147,WINSLET,139
JODIE,41,DEGENERES,657
RUSSELL,183,CLOSE,71
DAN,116,STREEP,622
CAMERON,111,ZELLWEGER,508
REESE,45,KILMER,117
MORGAN,113,HOPKINS,353
MENA,170,HOPPER,996
JOHN,192,SUVARI,819
GROUCHO,78,SINATRA,261
NICK,2,WAHLBERG,249
GARY,73,PENN,245
BEN,152,HARRIS,680
KIM,145,ALLEN,822
VAL,37,BOLGER,662
PENELOPE,120,MONROE,238
ED,179,GUINESS,109
KENNETH,94,TORN,322
CHARLIZE,89,DENCH,212
NICK,2,WAHLBERG,226
FAY,156,WOOD,646
CAMERON,111,ZELLWEGER,744
LUCILLE,20,TRACY,1
DARYL,129,CRAWFORD,101
WHOOPI,140,HURT,730
CARY,77,MCCONAUGHEY,240
KIRSTEN,21,PALTROW,398
GROUCHO,106,DUNST,752
GROUCHO,106,DUNST,229
RITA,135,REYNOLDS,364
HENRY,60,BERRY,186
ED,136,MANSFIELD,33
CHRISTOPHER,163,WEST,522
KIRSTEN,92,AKROYD,699
KEVIN,25,BLOOM,420
TOM,42,MIRANDA,568
CHRISTIAN,61,NEESON,433
WARREN,119,JACKMAN,87
WARREN,119,JACKMAN,939
JUDE,57,CRUISE,153
SIDNEY,105,CROWE,858
SCARLETT,81,DAMON,692
JULIANNE,123,DENCH,530
DAN,56,HARRIS,354
RUSSELL,112,BACALL,700
SPENCER,87,PECK,718
JENNIFER,4,DAVIS,721
MORGAN,137,WILLIAMS,160
WILLIAM,175,HACKMAN,719
PENELOPE,104,CRONYN,401
AL,165,GARLAND,832
CHRISTIAN,58,AKROYD,800
ED,3,CHASE,453
WALTER,102,TORN,605
MERYL,194,ALLEN,872
VIVIEN,158,BASINGER,968
HARVEY,161,HOPE,825
FRED,16,COSTNER,221
BURT,193,TEMPLE,834
ZERO,11,CAGE,364
MENA,53,TEMPLE,697
JUDY,35,DEAN,738
GROUCHO,78,SINATRA,86
BETTE,6,NICHOLSON,503
FAY,55,KILMER,320
NICK,166,DEGENERES,146
GENE,96,WILLIS,54
ANGELINA,76,ASTAIRE,648
MENA,53,TEMPLE,358
ROCK,188,DUKAKIS,517
CHRISTIAN,10,GABLE,477
PENELOPE,120,MONROE,682
BOB,19,FAWCETT,3
IAN,155,TANDY,849
CUBA,189,BIRCH,171
ALAN,173,DREYFUSS,106
LISA,178,MONROE,160
IAN,155,TANDY,590
HUMPHREY,184,GARLAND,486
GENE,96,WILLIS,874
CATE,141,HARRIS,43
MINNIE,153,KILMER,627
IAN,155,TANDY,249
FRANCES,48,DAY-LEWIS,428
MAE,79,HOFFMAN,607
MORGAN,113,HOPKINS,674
WOODY,28,HOFFMAN,652
JOHNNY,5,LOLLOBRIGIDA,375
NICK,166,DEGENERES,366
NATALIE,50,HOPKINS,420
CHRISTIAN,61,NEESON,767
BEN,83,WILLIS,281
ALEC,29,WAYNE,342
VIVIEN,14,BERGEN,258
MILLA,74,KEITEL,747
NATALIE,50,HOPKINS,248
ANGELA,144,WITHERSPOON,393
SYLVESTER,109,DERN,174
GRETA,157,MALDEN,10
REESE,45,KILMER,508
WARREN,108,NOLTE,517
JOHNNY,40,CAGE,799
CUBA,189,BIRCH,378
MICHAEL,185,BOLGER,518
DUSTIN,59,TAUTOU,46
DARYL,129,CRAWFORD,684
JUDE,57,CRUISE,101
NICK,166,DEGENERES,580
SALMA,122,NOLTE,166
KIRK,43,JOVOVICH,180
WALTER,102,TORN,326
TOM,42,MIRANDA,673
JULIA,199,FAWCETT,67
ED,3,CHASE,827
MICHELLE,70,MCCONAUGHEY,414
SCARLETT,124,BENING,775
VAL,37,BOLGER,694
RUSSELL,149,TEMPLE,339
AL,165,GARLAND,253
RENEE,187,BALL,923
CHRIS,160,DEPP,579
CARMEN,52,HUNT,108
RENEE,117,TRACY,468
CUBA,15,OLIVIER,500
LUCILLE,20,TRACY,757
CAMERON,24,STREEP,112
JOHNNY,5,LOLLOBRIGIDA,811
PENELOPE,104,CRONYN,607
ZERO,11,CAGE,429
SANDRA,23,KILMER,935
JEFF,180,SILVERSTONE,809
GREG,86,CHAPLIN,163
RUSSELL,112,BACALL,34
CAMERON,63,WRAY,208
VIVIEN,14,BERGEN,970
BURT,36,DUKAKIS,499
ALEC,29,WAYNE,110
KENNETH,69,PALTROW,202
HUMPHREY,184,GARLAND,35
GREGORY,191,GOODING,993
CARY,77,MCCONAUGHEY,78
FRANCES,126,TOMEI,263
MORGAN,137,WILLIAMS,917
GROUCHO,172,WILLIAMS,567
FRED,16,COSTNER,121
GEOFFREY,151,HESTON,895
JANE,131,JACKMAN,798
TOM,42,MIRANDA,24
JOHNNY,5,LOLLOBRIGIDA,286
OLYMPIA,171,PFEIFFER,849
JULIA,47,BARRYMORE,790
LISA,178,MONROE,109
ELLEN,93,PRESLEY,120
SCARLETT,81,DAMON,710
REESE,197,WEST,147
CHRISTOPHER,91,BERRY,493
ANGELINA,76,ASTAIRE,650
MARY,66,TANDY,350
UMA,13,WOOD,254
GRETA,157,MALDEN,303
KIRSTEN,21,PALTROW,798
CARY,77,MCCONAUGHEY,566
GRACE,7,MOSTEL,27
OLYMPIA,171,PFEIFFER,566
ED,136,MANSFIELD,364
JON,176,CHASE,573
OLYMPIA,171,PFEIFFER,273
KIRSTEN,21,PALTROW,281
CHARLIZE,89,DENCH,697
CUBA,118,ALLEN,788
ALAN,173,DREYFUSS,49
SANDRA,23,KILMER,833
WILL,168,WILSON,255
DARYL,129,CRAWFORD,805
ANGELA,65,HUDSON,517
LIZA,121,BERGMAN,154
DUSTIN,59,TAUTOU,54
MARY,66,TANDY,434
RUSSELL,183,CLOSE,113
LAURA,159,BRODY,784
JIM,99,MOSTEL,982
RUSSELL,183,CLOSE,949
GREGORY,191,GOODING,185
CUBA,15,OLIVIER,89
AUDREY,190,BAILEY,705
KENNETH,169,HOFFMAN,954
ANGELA,144,WITHERSPOON,702
ZERO,11,CAGE,850
SUSAN,101,DAVIS,608
AUDREY,34,OLIVIER,493
MENA,53,TEMPLE,181
WOODY,28,HOFFMAN,827
BOB,19,FAWCETT,785
RITA,135,REYNOLDS,320
GRETA,157,MALDEN,321
FRANCES,126,TOMEI,43
GROUCHO,172,WILLIAMS,368
ANGELINA,76,ASTAIRE,866
MORGAN,114,MCDORMAND,619
WHOOPI,140,HURT,77
ALBERT,146,JOHANSSON,909
WARREN,108,NOLTE,1
KIM,145,ALLEN,109
WOODY,28,HOFFMAN,994
FRED,16,COSTNER,267
LAURENCE,167,BULLOCK,341
DAN,18,TORN,280
NICK,2,WAHLBERG,145
DARYL,95,WAHLBERG,65
FRANCES,126,TOMEI,85
RIP,26,CRAWFORD,327
MATTHEW,181,CARREY,609
JAYNE,195,SILVERSTONE,781
ADAM,71,GRANT,26
MORGAN,137,WILLIAMS,530
MATTHEW,103,LEIGH,333
