Fiscal year,FSTC percent,Section ID,Participatory development and good governance,CIDA business delivery model (old),CountryRegion ID,Organisation class,Sector ID,Enviromental sustainability (marker),Organisation name,CountryRegion name,Continent ID,Climate change adaptation (marker),Section name,Trade development (marker),Biodiversity (marker),Urban issues (marker),Children issues (marker),Youth issues (marker),Indigenous issues (marker),Disability issues (marker),ICT as a tool for development (marker),Knowledge for development (marker),Gender equality (marker),Organisation ID,Organisation type,Organisation sub-class,Continent name,Project Browser country ID,CountryRegion percent,Sector name,Sector percent,Amount spent
2009/2010,0.0,S5330,0,Core Funding,X3,Multilateral,72010,0,UNHCR - United Nations High Commissioner for Refugees,Asia MC,3,0,MHO Huma Organization & Food Assistance,0,0,0,0,0,0,0,0,0,1,1001730,Foreign Non-Profit Making,UNITED NATIONS,Asia,X3,0.45,Material relief assistance and services,1.0,6300000.0
2009/2010,0.0,S5330,0,Core Funding,X4,Multilateral,72010,0,UNHCR - United Nations High Commissioner for Refugees,Europe MC,5,0,MHO Huma Organization & Food Assistance,0,0,0,0,0,0,0,0,0,1,1001730,Foreign Non-Profit Making,UNITED NATIONS,Europe,X4,0.05,Material relief assistance and services,1.0,700000.0
2009/2010,0.0,S5320,0,Responsive,X3,Civil Society,72010,0,ICRC Appeals via CRCS,Asia MC,3,0,MHI International Humanitarian Assis ops,0,0,0,0,0,0,0,0,0,0,1014663,Canadian Non-Profit Making,INTERNATIONAL NGO,Asia,X3,1.0,Material relief assistance and services,1.0,500000.0
2009/2010,0.0,S5320,0,Responsive,X1,Multilateral,72050,0,OCHA - Office for the Coordination of Humanitarian Affairs,Africa MC,2,0,MHI International Humanitarian Assis ops,0,0,0,0,0,0,0,0,0,0,1003586,Foreign Non-Profit Making,UNITED NATIONS,Africa,X1,0.5,Relief co-ordination; protection and support services,1.0,1350000.0
2009/2010,0.0,S5320,0,Responsive,X2,Multilateral,72050,0,OCHA - Office for the Coordination of Humanitarian Affairs,Americas MC,1,0,MHI International Humanitarian Assis ops,0,0,0,0,0,0,0,0,0,0,1003586,Foreign Non-Profit Making,UNITED NATIONS,America,X2,0.15,Relief co-ordination; protection and support services,1.0,405000.0
2009/2010,0.0,S5320,0,Responsive,X3,Multilateral,72050,0,OCHA - Office for the Coordination of Humanitarian Affairs,Asia MC,3,0,MHI International Humanitarian Assis ops,0,0,0,0,0,0,0,0,0,0,1003586,Foreign Non-Profit Making,UNITED NATIONS,Asia,X3,0.3,Relief co-ordination; protection and support services,1.0,810000.0
2009/2010,0.0,S5320,0,Responsive,X4,Multilateral,72050,0,OCHA - Office for the Coordination of Humanitarian Affairs,Europe MC,5,0,MHI International Humanitarian Assis ops,0,0,0,0,0,0,0,0,0,0,1003586,Foreign Non-Profit Making,UNITED NATIONS,Europe,X4,0.05,Relief co-ordination; protection and support services,1.0,135000.0
2009/2010,0.1,S5460,0,Responsive,AF,Multilateral,31110,1,World Bank,Afghanistan,3,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Asia,AF,0.0065,Agricultural policy and administrative management,0.2,39000.0
2009/2010,0.1,S5460,0,Responsive,AF,Multilateral,31120,1,World Bank,Afghanistan,3,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Asia,AF,0.0065,Agricultural development,0.2,39000.0
2009/2010,0.1,S5460,0,Responsive,AF,Multilateral,31150,1,World Bank,Afghanistan,3,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Asia,AF,0.0065,Agricultural inputs,0.1,19500.0
2009/2010,0.1,S5460,0,Responsive,AF,Multilateral,31161,1,World Bank,Afghanistan,3,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Asia,AF,0.0065,Food crop production,0.1,19500.0
2009/2010,0.1,S5460,0,Responsive,AF,Multilateral,31166,1,World Bank,Afghanistan,3,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Asia,AF,0.0065,Agricultural extension,0.1,19500.0
2009/2010,0.1,S5460,0,Responsive,AF,Multilateral,31182,1,World Bank,Afghanistan,3,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Asia,AF,0.0065,Agricultural research,0.1,19500.0
2009/2010,0.1,S5460,0,Responsive,AF,Multilateral,31191,1,World Bank,Afghanistan,3,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Asia,AF,0.0065,Agricultural services,0.1,19500.0
2009/2010,0.1,S5460,0,Responsive,AF,Multilateral,31193,1,World Bank,Afghanistan,3,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Asia,AF,0.0065,Agricultural financial services,0.1,19500.0
2009/2010,0.1,S5460,0,Responsive,BD,Multilateral,31110,1,World Bank,Bangladesh,3,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Asia,BD,0.105,Agricultural policy and administrative management,0.2,630000.0
2009/2010,0.1,S5460,0,Responsive,BD,Multilateral,31120,1,World Bank,Bangladesh,3,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Asia,BD,0.105,Agricultural development,0.2,630000.0
2009/2010,0.1,S5460,0,Responsive,BD,Multilateral,31150,1,World Bank,Bangladesh,3,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Asia,BD,0.105,Agricultural inputs,0.1,315000.0
2009/2010,0.1,S5460,0,Responsive,BD,Multilateral,31161,1,World Bank,Bangladesh,3,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Asia,BD,0.105,Food crop production,0.1,315000.0
2009/2010,0.1,S5460,0,Responsive,BD,Multilateral,31166,1,World Bank,Bangladesh,3,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Asia,BD,0.105,Agricultural extension,0.1,315000.0
2009/2010,0.1,S5460,0,Responsive,BD,Multilateral,31182,1,World Bank,Bangladesh,3,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Asia,BD,0.105,Agricultural research,0.1,315000.0
2009/2010,0.1,S5460,0,Responsive,BD,Multilateral,31191,1,World Bank,Bangladesh,3,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Asia,BD,0.105,Agricultural services,0.1,315000.0
2009/2010,0.1,S5460,0,Responsive,BD,Multilateral,31193,1,World Bank,Bangladesh,3,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Asia,BD,0.105,Agricultural financial services,0.1,315000.0
2009/2010,0.1,S5460,0,Responsive,BI,Multilateral,31110,1,World Bank,Burundi,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,BI,0.0081,Agricultural policy and administrative management,0.2,48600.0
2009/2010,0.1,S5460,0,Responsive,BI,Multilateral,31120,1,World Bank,Burundi,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,BI,0.0081,Agricultural development,0.2,48600.0
2009/2010,0.1,S5460,0,Responsive,BI,Multilateral,31150,1,World Bank,Burundi,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,BI,0.0081,Agricultural inputs,0.1,24300.0
2009/2010,0.1,S5460,0,Responsive,BI,Multilateral,31161,1,World Bank,Burundi,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,BI,0.0081,Food crop production,0.1,24300.0
2009/2010,0.1,S5460,0,Responsive,BI,Multilateral,31166,1,World Bank,Burundi,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,BI,0.0081,Agricultural extension,0.1,24300.0
2009/2010,0.1,S5460,0,Responsive,BI,Multilateral,31182,1,World Bank,Burundi,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,BI,0.0081,Agricultural research,0.1,24300.0
2009/2010,0.1,S5460,0,Responsive,BI,Multilateral,31191,1,World Bank,Burundi,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,BI,0.0081,Agricultural services,0.1,24300.0
2009/2010,0.1,S5460,0,Responsive,BI,Multilateral,31193,1,World Bank,Burundi,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,BI,0.0081,Agricultural financial services,0.1,24300.0
2009/2010,0.1,S5460,0,Responsive,BJ,Multilateral,31110,1,World Bank,Benin,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,BJ,0.0073,Agricultural policy and administrative management,0.2,43800.0
2009/2010,0.1,S5460,0,Responsive,BJ,Multilateral,31120,1,World Bank,Benin,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,BJ,0.0073,Agricultural development,0.2,43800.0
2009/2010,0.1,S5460,0,Responsive,BJ,Multilateral,31150,1,World Bank,Benin,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,BJ,0.0073,Agricultural inputs,0.1,21900.0
2009/2010,0.1,S5460,0,Responsive,BJ,Multilateral,31161,1,World Bank,Benin,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,BJ,0.0073,Food crop production,0.1,21900.0
2009/2010,0.1,S5460,0,Responsive,BJ,Multilateral,31166,1,World Bank,Benin,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,BJ,0.0073,Agricultural extension,0.1,21900.0
2009/2010,0.1,S5460,0,Responsive,BJ,Multilateral,31182,1,World Bank,Benin,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,BJ,0.0073,Agricultural research,0.1,21900.0
2009/2010,0.1,S5460,0,Responsive,BJ,Multilateral,31191,1,World Bank,Benin,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,BJ,0.0073,Agricultural services,0.1,21900.0
2009/2010,0.1,S5460,0,Responsive,BJ,Multilateral,31193,1,World Bank,Benin,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,BJ,0.0073,Agricultural financial services,0.1,21900.0
2009/2010,0.1,S5460,0,Responsive,CF,Multilateral,31110,1,World Bank,Central Afr.Rep,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,CF,0.0057,Agricultural policy and administrative management,0.2,34200.0
2009/2010,0.1,S5460,0,Responsive,CF,Multilateral,31120,1,World Bank,Central Afr.Rep,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,CF,0.0057,Agricultural development,0.2,34200.0
2009/2010,0.1,S5460,0,Responsive,CF,Multilateral,31150,1,World Bank,Central Afr.Rep,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,CF,0.0057,Agricultural inputs,0.1,17100.0
2009/2010,0.1,S5460,0,Responsive,CF,Multilateral,31161,1,World Bank,Central Afr.Rep,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,CF,0.0057,Food crop production,0.1,17100.0
2009/2010,0.1,S5460,0,Responsive,CF,Multilateral,31166,1,World Bank,Central Afr.Rep,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,CF,0.0057,Agricultural extension,0.1,17100.0
2009/2010,0.1,S5460,0,Responsive,CF,Multilateral,31182,1,World Bank,Central Afr.Rep,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,CF,0.0057,Agricultural research,0.1,17100.0
2009/2010,0.1,S5460,0,Responsive,CF,Multilateral,31191,1,World Bank,Central Afr.Rep,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,CF,0.0057,Agricultural services,0.1,17100.0
2009/2010,0.1,S5460,0,Responsive,CF,Multilateral,31193,1,World Bank,Central Afr.Rep,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,CF,0.0057,Agricultural financial services,0.1,17100.0
2009/2010,0.1,S5460,0,Responsive,DJ,Multilateral,31110,1,World Bank,Djibouti,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,DJ,0.004,Agricultural policy and administrative management,0.2,24000.0
2009/2010,0.1,S5460,0,Responsive,DJ,Multilateral,31120,1,World Bank,Djibouti,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,DJ,0.004,Agricultural development,0.2,24000.0
2009/2010,0.1,S5460,0,Responsive,DJ,Multilateral,31150,1,World Bank,Djibouti,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,DJ,0.004,Agricultural inputs,0.1,12000.0
2009/2010,0.1,S5460,0,Responsive,DJ,Multilateral,31161,1,World Bank,Djibouti,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,DJ,0.004,Food crop production,0.1,12000.0
2009/2010,0.1,S5460,0,Responsive,DJ,Multilateral,31166,1,World Bank,Djibouti,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,DJ,0.004,Agricultural extension,0.1,12000.0
2009/2010,0.1,S5460,0,Responsive,DJ,Multilateral,31182,1,World Bank,Djibouti,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,DJ,0.004,Agricultural research,0.1,12000.0
2009/2010,0.1,S5460,0,Responsive,DJ,Multilateral,31191,1,World Bank,Djibouti,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,DJ,0.004,Agricultural services,0.1,12000.0
2009/2010,0.1,S5460,0,Responsive,DJ,Multilateral,31193,1,World Bank,Djibouti,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,DJ,0.004,Agricultural financial services,0.1,12000.0
2009/2010,0.1,S5460,0,Responsive,ET,Multilateral,31110,1,World Bank,Ethiopia,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,ET,0.222,Agricultural policy and administrative management,0.2,1332000.0
2009/2010,0.1,S5460,0,Responsive,ET,Multilateral,31120,1,World Bank,Ethiopia,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,ET,0.222,Agricultural development,0.2,1332000.0
2009/2010,0.1,S5460,0,Responsive,ET,Multilateral,31150,1,World Bank,Ethiopia,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,ET,0.222,Agricultural inputs,0.1,666000.0
2009/2010,0.1,S5460,0,Responsive,ET,Multilateral,31161,1,World Bank,Ethiopia,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,ET,0.222,Food crop production,0.1,666000.0
2009/2010,0.1,S5460,0,Responsive,ET,Multilateral,31166,1,World Bank,Ethiopia,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,ET,0.222,Agricultural extension,0.1,666000.0
2009/2010,0.1,S5460,0,Responsive,ET,Multilateral,31182,1,World Bank,Ethiopia,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,ET,0.222,Agricultural research,0.1,666000.0
2009/2010,0.1,S5460,0,Responsive,ET,Multilateral,31191,1,World Bank,Ethiopia,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,ET,0.222,Agricultural services,0.1,666000.0
2009/2010,0.1,S5460,0,Responsive,ET,Multilateral,31193,1,World Bank,Ethiopia,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,ET,0.222,Agricultural financial services,0.1,666000.0
2009/2010,0.1,S5460,0,Responsive,GN,Multilateral,31110,1,World Bank,Guinea,2,0,*Bretton Woods Inst Fin Prog,1,0,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,IFI,Africa,GN,0.0081,Agricultural policy and administrative management,0.2,48600.0
