assay_id,assay_tax_id,chembl_id,variant_id,tid,assay_type,assay_organism,curated_by,assay_subcellular_fraction,assay_cell_type,description,assay_category,relationship_type,confidence_score,doc_id,tissue_id,assay_test_type,assay_strain,assay_tissue
52,,CHEMBL615175,,11512,B,,Autocuration,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,H,8,912,,,,
53,,CHEMBL615176,,11512,B,,Autocuration,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,H,8,912,,,,
54,,CHEMBL615177,,11512,B,,Autocuration,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,H,8,912,,,,
55,10116.0,CHEMBL615178,,104740,B,Rattus norvegicus,Autocuration,Membranes,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,D,5,15103,,,,
56,9606.0,CHEMBL615179,,80002,F,Homo sapiens,Intermediate,,1A9,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,N,1,5116,,,,
57,10116.0,CHEMBL615180,,104835,F,Rattus norvegicus,Autocuration,,Oocytes,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,D,7,14578,,,,
58,10116.0,CHEMBL615181,,104821,F,Rattus norvegicus,Autocuration,,Oocytes,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,D,7,14578,,,,
59,10116.0,CHEMBL615182,,104848,F,Rattus norvegicus,Autocuration,,Oocytes,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,D,7,14578,,,,
60,9606.0,CHEMBL615183,,80002,F,Homo sapiens,Expert,,1A9,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,N,1,4787,,,,
61,9606.0,CHEMBL615184,,80002,F,Homo sapiens,Intermediate,,1A9,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,N,1,4787,,,,
62,9606.0,CHEMBL615185,,80002,F,Homo sapiens,Intermediate,,1A9,Cytotoxic activity against human ovarian cancer (1A9) cell line,,N,1,3547,,,,
63,9606.0,CHEMBL615186,,80002,F,Homo sapiens,Intermediate,,1A9,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,N,1,3547,,,,
64,9606.0,CHEMBL615187,,80002,F,Homo sapiens,Intermediate,,1A9,Effective dose of compound against replication of 1A9 cell line was evaluated,,N,1,6726,,,,
65,9606.0,CHEMBL885343,,80002,F,Homo sapiens,Expert,,1A9,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,N,1,3455,,,,
66,9606.0,CHEMBL615188,,80002,F,Homo sapiens,Intermediate,,1A9,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,N,1,5726,,,,
67,9606.0,CHEMBL615189,,80002,F,Homo sapiens,Intermediate,,1A9,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,N,1,5726,,,,
68,9606.0,CHEMBL615190,,80002,F,Homo sapiens,Intermediate,,1A9,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,N,1,5726,,,,
69,9606.0,CHEMBL615191,,80002,F,Homo sapiens,Intermediate,,1A9,Inhibitory activity against Taxol resistant 1A9 cell lines,,N,1,3395,,,,
70,9606.0,CHEMBL615192,,80002,F,Homo sapiens,Expert,,1A9,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,N,1,3415,,,,
71,9606.0,CHEMBL827083,,80002,F,Homo sapiens,Expert,,1A9,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,N,1,3415,,,,
72,9606.0,CHEMBL615193,,80002,F,Homo sapiens,Expert,,1A9,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,N,1,17099,,,,
73,9606.0,CHEMBL615194,,80002,F,Homo sapiens,Intermediate,,1A9,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,N,1,17099,,,,
74,9606.0,CHEMBL615195,,80002,F,Homo sapiens,Intermediate,,1A9,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,N,1,17099,,,,
75,9606.0,CHEMBL615196,,80002,F,Homo sapiens,Intermediate,,1A9,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,N,1,17099,,,,
76,9606.0,CHEMBL615197,,81072,F,Homo sapiens,Intermediate,,Jurkat,Inhibitory concentration against Jurkat cells,,N,1,17721,,,,
77,,CHEMBL615198,,22226,F,,Intermediate,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,U,0,1229,,,,
78,10116.0,CHEMBL615199,,100121,A,Rattus norvegicus,Expert,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,D,9,11347,,,,
79,,CHEMBL615200,,11231,B,,Expert,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,H,8,17117,,,,
80,,CHEMBL615201,,11231,B,,Expert,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,H,8,17117,,,,
81,,CHEMBL615202,,11231,B,,Expert,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,H,8,17117,,,,
82,5476.0,CHEMBL615203,,11231,B,Candida albicans,Autocuration,Microsomes,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,H,8,11375,,,,
83,5476.0,CHEMBL615204,,11231,B,Candida albicans,Autocuration,Microsomes,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,H,8,11375,,,,
84,4932.0,CHEMBL615205,,11231,B,Saccharomyces cerevisiae,Autocuration,Microsomes,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,H,8,11375,,,,
85,4932.0,CHEMBL615206,,11231,B,Saccharomyces cerevisiae,Autocuration,Microsomes,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,H,8,11375,,,,
86,9823.0,CHEMBL615207,,12083,B,Sus scrofa,Autocuration,Microsomes,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",,H,8,11375,2107.0,,,Liver
87,10116.0,CHEMBL827084,,11231,B,Rattus norvegicus,Autocuration,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,H,8,791,,,,
88,10116.0,CHEMBL615208,,11231,B,Rattus norvegicus,Autocuration,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,H,8,791,,,,
89,10116.0,CHEMBL615209,,11231,B,Rattus norvegicus,Autocuration,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,H,8,791,,,,
90,10116.0,CHEMBL615210,,12083,B,Rattus norvegicus,Autocuration,Microsomes,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",,D,9,11375,2107.0,,,Liver
91,10116.0,CHEMBL615211,,12083,B,Rattus norvegicus,Autocuration,Microsomes,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,D,9,11375,2107.0,,,Liver
92,10116.0,CHEMBL615212,,12083,B,Rattus norvegicus,Autocuration,Microsomes,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",,D,9,153,2107.0,,,Liver
93,,CHEMBL615213,,11377,B,,Expert,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,H,8,8269,,,,
94,,CHEMBL615273,,11377,B,,Expert,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,H,8,8269,,,,
95,9606.0,CHEMBL615274,,81020,F,Homo sapiens,Expert,,HepG2,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,N,1,17653,,,,
96,9606.0,CHEMBL615275,,81020,F,Homo sapiens,Intermediate,,HepG2,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,N,1,14277,,,,
97,9606.0,CHEMBL615276,,81020,F,Homo sapiens,Intermediate,,HepG2,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,N,1,1717,,,,
98,9606.0,CHEMBL615277,,81020,F,Homo sapiens,Intermediate,,HepG2,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,N,1,14091,,,,
99,9606.0,CHEMBL615326,,81020,F,Homo sapiens,Intermediate,,HepG2,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,N,1,14091,,,,
100,10407.0,CHEMBL883130,,50606,F,Hepatitis B virus,Expert,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,N,1,17653,,,,
101,9606.0,CHEMBL884519,,81020,F,Homo sapiens,Intermediate,,HepG2,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,N,1,13105,,,,
102,9606.0,CHEMBL615327,,81020,F,Homo sapiens,Intermediate,,HepG2,Concentration required to inhibit 50% of 2.2.15 cell line,,N,1,1717,,,,
103,9606.0,CHEMBL615328,,81020,A,Homo sapiens,Intermediate,,HepG2,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,N,1,13105,,,,
104,9606.0,CHEMBL615329,,50587,F,Homo sapiens,Intermediate,,2.2.15,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,N,1,13600,,,,
105,9606.0,CHEMBL615330,,50587,F,Homo sapiens,Intermediate,,2.2.15,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,N,1,13467,,,,
106,10407.0,CHEMBL615331,,50606,F,Hepatitis B virus,Expert,,2.2.15,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,N,1,17477,,,,
107,9606.0,CHEMBL615332,,50587,F,Homo sapiens,Intermediate,,2.2.15,In vitro anti-HBV activity in 2.2.15 cells,,N,1,1593,,,,
108,9606.0,CHEMBL615333,,50587,F,Homo sapiens,Intermediate,,2.2.15,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,N,1,1593,,,,
109,9606.0,CHEMBL615334,,50587,F,Homo sapiens,Intermediate,,2.2.15,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,N,1,15089,,,,
110,9606.0,CHEMBL615335,,50587,F,Homo sapiens,Intermediate,,2.2.15,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,N,1,15089,,,,
111,9606.0,CHEMBL615336,,50587,F,Homo sapiens,Intermediate,,2.2.15,Cytotoxicity in 2.2.15 cells,,N,1,1593,,,,
112,9606.0,CHEMBL615337,,50587,F,Homo sapiens,Intermediate,,2.2.15,Cytotoxicity in 2.2.15 cells; Not determined,,N,1,1593,,,,
113,9606.0,CHEMBL615338,,50587,F,Homo sapiens,Intermediate,,2.2.15,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,N,1,13600,,,,
114,9606.0,CHEMBL615339,,50587,F,Homo sapiens,Intermediate,,2.2.15,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,N,1,13467,,,,
115,9606.0,CHEMBL615340,,50587,F,Homo sapiens,Intermediate,,2.2.15,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,N,1,13467,,,,
116,9606.0,CHEMBL615341,,81020,F,Homo sapiens,Intermediate,,HepG2,Antiviral activity against HBV was determined in 2.215 cell line,,N,1,14764,,,,
117,9606.0,CHEMBL615342,,22226,B,Homo sapiens,Autocuration,Microsomes,,Inhibition of 20-HETE synthesis in human renal microsomes,,U,0,6531,,,,
118,,CHEMBL615343,,22226,B,,Autocuration,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,U,0,17322,,,,
119,9606.0,CHEMBL615344,,80612,F,Homo sapiens,Intermediate,,2008,Inhibitory concentration against 2008 (ovarian) cells,,N,1,17072,,,,
120,9606.0,CHEMBL615345,,80612,F,Homo sapiens,Intermediate,,2008,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,N,1,16936,,,,
121,9606.0,CHEMBL615346,,80612,F,Homo sapiens,Intermediate,,2008,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,N,1,16936,,,,
122,9606.0,CHEMBL615347,,80612,F,Homo sapiens,Intermediate,,2008,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,N,1,17146,,,,
123,9606.0,CHEMBL615348,,80612,F,Homo sapiens,Intermediate,,2008,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,N,1,17146,,,,
124,9606.0,CHEMBL827085,,80613,F,Homo sapiens,Intermediate,,2008/R,In vitro inhibition of 2008/R ovarian cancer cell line,,N,1,10797,,,,
125,9606.0,CHEMBL615349,,80613,F,Homo sapiens,Intermediate,,2008/R,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,N,1,10797,,,,
126,9606.0,CHEMBL615350,,80614,F,Homo sapiens,Intermediate,,2008/S,In vitro inhibition of 2008/S ovarian cancer cell line,,N,1,10797,,,,
127,9606.0,CHEMBL615351,,80614,F,Homo sapiens,Intermediate,,2008/S,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,N,1,10797,,,,
128,9606.0,CHEMBL615352,,100256,B,Homo sapiens,Expert,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,S,2,4823,,,,
129,9606.0,CHEMBL615353,,100256,B,Homo sapiens,Intermediate,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,S,2,12912,,,,
130,,CHEMBL615354,,100256,B,,Expert,,,Inhibition of chymotrypsin-like activity of 20S proteasome,,S,2,2957,,,,
131,,CHEMBL615355,,100256,B,,Expert,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,S,2,2957,,,,
132,,CHEMBL615356,,100256,B,,Intermediate,,,Inhibitory activity against 20S proteosome,,S,2,3260,,,,
133,9606.0,CHEMBL615357,,22226,B,Homo sapiens,Autocuration,,,Compound was tested for inhibitory activity against tryptase,,U,0,3451,,,,
134,9606.0,CHEMBL615358,,81020,F,Homo sapiens,Intermediate,,HepG2,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,N,1,13885,,,,
135,9606.0,CHEMBL827086,,81020,F,Homo sapiens,Intermediate,,HepG2,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,N,1,13885,,,,
136,,CHEMBL615359,,22226,B,,Autocuration,,,Compound was tested for the inhibition of Alpha-glucosidase,,U,0,3676,,,,
137,,CHEMBL615360,,235,B,,Autocuration,,,Inhibitory concentration against human neutrophil elastase (HNE),,H,8,6043,,,,
138,10116.0,CHEMBL615361,,22226,F,Rattus norvegicus,Autocuration,,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,,U,0,11140,948.0,,,Heart
139,,CHEMBL615362,,19640,F,,Autocuration,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,H,8,10543,,,,
140,,CHEMBL615363,,19640,F,,Expert,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,H,8,10543,,,,
141,,CHEMBL615364,,19640,B,,Autocuration,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,H,8,10543,,,,
142,,CHEMBL615365,,19640,F,,Expert,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,H,8,10543,,,,
143,10090.0,CHEMBL615366,,80360,F,Mus musculus,Intermediate,,P338,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,N,1,11365,,,,
144,10090.0,CHEMBL615367,,80360,F,Mus musculus,Intermediate,,P338,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,N,1,11365,,,,
145,9606.0,CHEMBL615368,,80384,F,Homo sapiens,Intermediate,,PBL,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,N,1,11803,,,,
146,9940.0,CHEMBL615369,,22226,F,Ovis aries,Autocuration,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,U,0,11803,,,,
147,9940.0,CHEMBL615370,,22226,F,Ovis aries,Autocuration,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,U,0,11803,,,,
148,,CHEMBL615673,,191,B,,Autocuration,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,H,8,12278,,,,
149,9606.0,CHEMBL615674,,22226,F,Homo sapiens,Autocuration,,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,U,0,8249,,,,
150,9606.0,CHEMBL615675,,22226,F,Homo sapiens,Autocuration,,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,U,0,8249,,,,
151,9606.0,CHEMBL615676,,22226,F,Homo sapiens,Autocuration,,CCRF-CEM,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,U,0,8249,,,,
152,9606.0,CHEMBL615677,,22226,F,Homo sapiens,Autocuration,,CCRF-CEM,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,U,0,8249,,,,
153,9606.0,CHEMBL615678,,22226,F,Homo sapiens,Autocuration,,CCRF-CEM,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,U,0,8249,,,,
154,9606.0,CHEMBL615679,,22226,F,Homo sapiens,Autocuration,,CCRF-CEM,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,U,0,8249,,,,
155,9606.0,CHEMBL615680,,22226,F,Homo sapiens,Autocuration,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,U,0,8249,,,,
156,9606.0,CHEMBL615681,,22226,F,Homo sapiens,Autocuration,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,,U,0,8249,,,,
157,,CHEMBL857972,,104290,B,,Autocuration,,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,H,6,16992,,,,
