Fiscal year,Trade development (marker),Bilateral aid (international marker),Organisation sub-class,Section ID,Regional program (marker),Children issues (marker),ICT as a tool for development (marker),Biodiversity (marker),CountryRegion name,Amount spent,Indigenous issues (marker),CountryRegion percent,Organisation type,Status,FSTC percent,Urban issues (marker),Continent ID,Enviromental sustainability (marker),Branch ID,CIDA business delivery model (old),Programming process (new),Youth issues (marker),Desertification (marker),IRTC percent,Participatory development and good governance,Disability issues (marker),Knowledge for development (marker),Gender equality (marker),Organisation ID,Organisation name,Organisation class,Continent name,Project Browser country ID,CountryRegion ID,Sector ID,Sector name,Sector percent
2009/2010,0,1,INTERNATIONAL NGO,S5330,0,0,0,0,Europe MC,150000.0,0,0.05,Canadian Non-Profit Making,Terminating,0.0,0,5,0,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1014663,ICRC Appeals via CRCS,Civil Society,Europe,X4,X4,72010,Material relief assistance and services,1.0
2009/2010,0,1,NGO,S5320,0,0,0,0,Sri Lanka,500000.0,0,1.0,Foreign Non-Profit Making,Closed,0.0,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,0,1015332,Mines Advisory Group,Civil Society,Asia,LK,LK,72010,Material relief assistance and services,1.0
2009/2010,0,1,NGO,S5320,0,0,0,0,Sri Lanka,500000.0,0,1.0,Foreign Non-Profit Making,Closed,0.0,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,0,1015331,The Halo Trust,Civil Society,Asia,LK,LK,72010,Material relief assistance and services,1.0
2009/2010,0,1,NGO,S5330,0,0,0,0,Africa MC,150000.0,0,0.5,Foreign Non-Profit Making,Closed,0.0,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,1,0,1,0,1002035,International Crisis Group,Civil Society,Africa,X1,X1,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,1,NGO,S5330,0,0,0,0,Americas MC,30000.0,0,0.1,Foreign Non-Profit Making,Closed,0.0,0,1,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,1,0,1,0,1002035,International Crisis Group,Civil Society,America,X2,X2,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,1,NGO,S5330,0,0,0,0,Asia MC,90000.0,0,0.3,Foreign Non-Profit Making,Closed,0.0,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,1,0,1,0,1002035,International Crisis Group,Civil Society,Asia,X3,X3,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,1,NGO,S5330,0,0,0,0,Europe MC,30000.0,0,0.1,Foreign Non-Profit Making,Closed,0.0,0,5,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,1,0,1,0,1002035,International Crisis Group,Civil Society,Europe,X4,X4,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,1,UNITED NATIONS,S5320,0,0,0,0,Yemen,500000.0,0,1.0,Foreign Non-Profit Making,Closed,0.0,0,3,0,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,0,1001721,WFP - World Food Programme,Multilateral,Asia,YE,YE,72040,Emergency food aid,1.0
2009/2010,0,1,UNITED NATIONS,S5320,0,0,0,0,Colombia,1500000.0,0,1.0,Foreign Non-Profit Making,Closed,0.0,0,1,0,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,0,1001721,WFP - World Food Programme,Multilateral,America,CO,CO,72040,Emergency food aid,1.0
2009/2010,0,1,UNITED NATIONS,S5320,0,0,0,0,Chad,6500000.0,0,1.0,Foreign Non-Profit Making,Closed,0.0,0,2,0,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001721,WFP - World Food Programme,Multilateral,Africa,TD,TD,72040,Emergency food aid,1.0
2009/2010,0,1,UNITED NATIONS,S5320,0,0,0,0,Sudan,3950000.0,0,1.0,Foreign Non-Profit Making,Closed,0.0,0,2,0,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,0,1001721,WFP - World Food Programme,Multilateral,Africa,SD,SD,72040,Emergency food aid,1.0
2009/2010,0,0,UNITED NATIONS,S5330,0,0,0,0,Africa MC,6300000.0,0,0.45,Foreign Non-Profit Making,Closed,0.0,0,2,0,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001730,UNHCR - United Nations High Commissioner for Refugees,Multilateral,Africa,X1,X1,72010,Material relief assistance and services,1.0
2009/2010,0,0,UNITED NATIONS,S5330,0,0,0,0,Americas MC,700000.0,0,0.05,Foreign Non-Profit Making,Closed,0.0,0,1,0,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001730,UNHCR - United Nations High Commissioner for Refugees,Multilateral,America,X2,X2,72010,Material relief assistance and services,1.0
2009/2010,0,0,UNITED NATIONS,S5330,0,0,0,0,Asia MC,6300000.0,0,0.45,Foreign Non-Profit Making,Closed,0.0,0,3,0,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001730,UNHCR - United Nations High Commissioner for Refugees,Multilateral,Asia,X3,X3,72010,Material relief assistance and services,1.0
2009/2010,0,0,UNITED NATIONS,S5330,0,0,0,0,Europe MC,700000.0,0,0.05,Foreign Non-Profit Making,Closed,0.0,0,5,0,B5100,Core Funding,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001730,UNHCR - United Nations High Commissioner for Refugees,Multilateral,Europe,X4,X4,72010,Material relief assistance and services,1.0
2009/2010,0,1,INTERNATIONAL NGO,S5320,0,0,0,0,Asia MC,500000.0,0,1.0,Canadian Non-Profit Making,Closed,0.0,0,3,0,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,0,1014663,ICRC Appeals via CRCS,Civil Society,Asia,X3,X3,72010,Material relief assistance and services,1.0
2009/2010,0,1,UNITED NATIONS,S5320,0,0,0,0,Africa MC,1350000.0,0,0.5,Foreign Non-Profit Making,Closed,0.0,0,2,0,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Multilateral,Africa,X1,X1,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,1,UNITED NATIONS,S5320,0,0,0,0,Americas MC,405000.0,0,0.15,Foreign Non-Profit Making,Closed,0.0,0,1,0,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Multilateral,America,X2,X2,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,1,UNITED NATIONS,S5320,0,0,0,0,Asia MC,810000.0,0,0.3,Foreign Non-Profit Making,Closed,0.0,0,3,0,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Multilateral,Asia,X3,X3,72050,Relief co-ordination; protection and support services,1.0
2009/2010,0,1,UNITED NATIONS,S5320,0,0,0,0,Europe MC,135000.0,0,0.05,Foreign Non-Profit Making,Closed,0.0,0,5,0,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Multilateral,Europe,X4,X4,72050,Relief co-ordination; protection and support services,1.0
2009/2010,1,1,IFI,S5460,0,0,0,0,Afghanistan,39000.0,0,0.0065,Foreign Non-Profit Making,Operational,0.1,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Asia,AF,AF,31110,Agricultural policy and administrative management,0.2
2009/2010,1,1,IFI,S5460,0,0,0,0,Afghanistan,39000.0,0,0.0065,Foreign Non-Profit Making,Operational,0.1,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Asia,AF,AF,31120,Agricultural development,0.2
2009/2010,1,1,IFI,S5460,0,0,0,0,Afghanistan,19500.0,0,0.0065,Foreign Non-Profit Making,Operational,0.1,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Asia,AF,AF,31150,Agricultural inputs,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Afghanistan,19500.0,0,0.0065,Foreign Non-Profit Making,Operational,0.1,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Asia,AF,AF,31161,Food crop production,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Afghanistan,19500.0,0,0.0065,Foreign Non-Profit Making,Operational,0.1,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Asia,AF,AF,31166,Agricultural extension,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Afghanistan,19500.0,0,0.0065,Foreign Non-Profit Making,Operational,0.1,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Asia,AF,AF,31182,Agricultural research,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Afghanistan,19500.0,0,0.0065,Foreign Non-Profit Making,Operational,0.1,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Asia,AF,AF,31191,Agricultural services,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Afghanistan,19500.0,0,0.0065,Foreign Non-Profit Making,Operational,0.1,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Asia,AF,AF,31193,Agricultural financial services,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Bangladesh,630000.0,0,0.105,Foreign Non-Profit Making,Operational,0.1,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Asia,BD,BD,31110,Agricultural policy and administrative management,0.2
2009/2010,1,1,IFI,S5460,0,0,0,0,Bangladesh,630000.0,0,0.105,Foreign Non-Profit Making,Operational,0.1,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Asia,BD,BD,31120,Agricultural development,0.2
2009/2010,1,1,IFI,S5460,0,0,0,0,Bangladesh,315000.0,0,0.105,Foreign Non-Profit Making,Operational,0.1,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Asia,BD,BD,31150,Agricultural inputs,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Bangladesh,315000.0,0,0.105,Foreign Non-Profit Making,Operational,0.1,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Asia,BD,BD,31161,Food crop production,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Bangladesh,315000.0,0,0.105,Foreign Non-Profit Making,Operational,0.1,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Asia,BD,BD,31166,Agricultural extension,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Bangladesh,315000.0,0,0.105,Foreign Non-Profit Making,Operational,0.1,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Asia,BD,BD,31182,Agricultural research,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Bangladesh,315000.0,0,0.105,Foreign Non-Profit Making,Operational,0.1,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Asia,BD,BD,31191,Agricultural services,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Bangladesh,315000.0,0,0.105,Foreign Non-Profit Making,Operational,0.1,0,3,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Asia,BD,BD,31193,Agricultural financial services,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Burundi,48600.0,0,0.0081,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BI,BI,31110,Agricultural policy and administrative management,0.2
2009/2010,1,1,IFI,S5460,0,0,0,0,Burundi,48600.0,0,0.0081,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BI,BI,31120,Agricultural development,0.2
2009/2010,1,1,IFI,S5460,0,0,0,0,Burundi,24300.0,0,0.0081,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BI,BI,31150,Agricultural inputs,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Burundi,24300.0,0,0.0081,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BI,BI,31161,Food crop production,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Burundi,24300.0,0,0.0081,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BI,BI,31166,Agricultural extension,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Burundi,24300.0,0,0.0081,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BI,BI,31182,Agricultural research,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Burundi,24300.0,0,0.0081,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BI,BI,31191,Agricultural services,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Burundi,24300.0,0,0.0081,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BI,BI,31193,Agricultural financial services,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Benin,43800.0,0,0.0073,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BJ,BJ,31110,Agricultural policy and administrative management,0.2
2009/2010,1,1,IFI,S5460,0,0,0,0,Benin,43800.0,0,0.0073,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BJ,BJ,31120,Agricultural development,0.2
2009/2010,1,1,IFI,S5460,0,0,0,0,Benin,21900.0,0,0.0073,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BJ,BJ,31150,Agricultural inputs,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Benin,21900.0,0,0.0073,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BJ,BJ,31161,Food crop production,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Benin,21900.0,0,0.0073,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BJ,BJ,31166,Agricultural extension,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Benin,21900.0,0,0.0073,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BJ,BJ,31182,Agricultural research,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Benin,21900.0,0,0.0073,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BJ,BJ,31191,Agricultural services,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Benin,21900.0,0,0.0073,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,BJ,BJ,31193,Agricultural financial services,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Central Afr.Rep,34200.0,0,0.0057,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,CF,CF,31110,Agricultural policy and administrative management,0.2
2009/2010,1,1,IFI,S5460,0,0,0,0,Central Afr.Rep,34200.0,0,0.0057,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,CF,CF,31120,Agricultural development,0.2
2009/2010,1,1,IFI,S5460,0,0,0,0,Central Afr.Rep,17100.0,0,0.0057,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,CF,CF,31150,Agricultural inputs,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Central Afr.Rep,17100.0,0,0.0057,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,CF,CF,31161,Food crop production,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Central Afr.Rep,17100.0,0,0.0057,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,CF,CF,31166,Agricultural extension,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Central Afr.Rep,17100.0,0,0.0057,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,CF,CF,31182,Agricultural research,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Central Afr.Rep,17100.0,0,0.0057,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,CF,CF,31191,Agricultural services,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Central Afr.Rep,17100.0,0,0.0057,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,CF,CF,31193,Agricultural financial services,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Djibouti,24000.0,0,0.004,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,DJ,DJ,31110,Agricultural policy and administrative management,0.2
2009/2010,1,1,IFI,S5460,0,0,0,0,Djibouti,24000.0,0,0.004,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,DJ,DJ,31120,Agricultural development,0.2
2009/2010,1,1,IFI,S5460,0,0,0,0,Djibouti,12000.0,0,0.004,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,DJ,DJ,31150,Agricultural inputs,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Djibouti,12000.0,0,0.004,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,DJ,DJ,31161,Food crop production,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Djibouti,12000.0,0,0.004,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,DJ,DJ,31166,Agricultural extension,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Djibouti,12000.0,0,0.004,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,DJ,DJ,31182,Agricultural research,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Djibouti,12000.0,0,0.004,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,DJ,DJ,31191,Agricultural services,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Djibouti,12000.0,0,0.004,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,DJ,DJ,31193,Agricultural financial services,0.1
2009/2010,1,1,IFI,S5460,0,0,0,0,Ethiopia,1332000.0,0,0.222,Foreign Non-Profit Making,Operational,0.1,0,2,1,B5100,Responsive,Uncoded: Pre-APP,0,0,0.0,0,0,0,1,1001306,World Bank,Multilateral,Africa,ET,ET,31110,Agricultural policy and administrative management,0.2
