assays_ss_d,assays_td,assays_ss_ctgr,assays_ss_tst_tp,assays_cnfdnc_scr,assays_ss_strn,assays_rltnshp_tp,assays_ss_sbclllr_frctn,assays_ss_tss,assays_ss_cll_tp,assays_crtd_b,assays_dscrptn,assays_ss_tp,assays_src_d,assays_vrnt_d,assays_dc_d,assays_chmbl_d,assays_cll_d,assays_b_frmt,assays_tss_d
42,100263,,,3,,M,,,,Expert,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,1,,6592,CHEMBL615154,,BAO_0000225,
43,13053,,,8,,H,,,,Autocuration,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,1,,898,CHEMBL615155,,BAO_0000019,
44,13053,,,8,,H,,,,Autocuration,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,1,,898,CHEMBL615156,,BAO_0000019,
45,20001,,,8,,H,,,,Autocuration,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,1,,13163,CHEMBL615157,,BAO_0000019,
46,20001,,,8,,H,,,,Autocuration,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,1,,13163,CHEMBL615158,,BAO_0000019,
47,12971,,,9,,D,,,,Expert,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,1,,10691,CHEMBL615159,,BAO_0000019,
48,12971,,,9,,D,,,,Expert,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,1,,10691,CHEMBL615172,,BAO_0000019,
49,12971,,,9,,D,,,,Expert,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,1,,10691,CHEMBL615173,,BAO_0000019,
50,12971,,,9,,D,,,,Expert,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,1,,10691,CHEMBL615174,,BAO_0000019,
51,13053,,,8,,H,,,,Autocuration,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,1,,898,CHEMBL884518,,BAO_0000019,
52,11512,,,8,,H,,,,Autocuration,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,1,,912,CHEMBL615175,,BAO_0000357,
53,11512,,,8,,H,,,,Autocuration,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,1,,912,CHEMBL615176,,BAO_0000357,
54,11512,,,8,,H,,,,Autocuration,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,1,,912,CHEMBL615177,,BAO_0000357,
55,104740,,,5,,D,Membranes,,,Autocuration,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,1,,15103,CHEMBL615178,,BAO_0000249,
56,80002,,,1,,N,,,1A9,Intermediate,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,1,,5116,CHEMBL615179,506.0,BAO_0000219,
57,104835,,,7,,D,,,Oocytes,Autocuration,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,1,,14578,CHEMBL615180,,BAO_0000219,
58,104821,,,7,,D,,,Oocytes,Autocuration,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,1,,14578,CHEMBL615181,,BAO_0000219,
59,104848,,,7,,D,,,Oocytes,Autocuration,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,1,,14578,CHEMBL615182,,BAO_0000219,
60,80002,,,1,,N,,,1A9,Expert,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,1,,4787,CHEMBL615183,506.0,BAO_0000219,
61,80002,,,1,,N,,,1A9,Intermediate,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,1,,4787,CHEMBL615184,506.0,BAO_0000219,
62,80002,,,1,,N,,,1A9,Intermediate,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,1,,3547,CHEMBL615185,506.0,BAO_0000219,
63,80002,,,1,,N,,,1A9,Intermediate,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,1,,3547,CHEMBL615186,506.0,BAO_0000219,
64,80002,,,1,,N,,,1A9,Intermediate,Effective dose of compound against replication of 1A9 cell line was evaluated,F,1,,6726,CHEMBL615187,506.0,BAO_0000219,
65,80002,,,1,,N,,,1A9,Expert,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,1,,3455,CHEMBL885343,506.0,BAO_0000219,
66,80002,,,1,,N,,,1A9,Intermediate,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,1,,5726,CHEMBL615188,506.0,BAO_0000219,
67,80002,,,1,,N,,,1A9,Intermediate,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,1,,5726,CHEMBL615189,506.0,BAO_0000219,
68,80002,,,1,,N,,,1A9,Intermediate,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,1,,5726,CHEMBL615190,506.0,BAO_0000219,
69,80002,,,1,,N,,,1A9,Intermediate,Inhibitory activity against Taxol resistant 1A9 cell lines,F,1,,3395,CHEMBL615191,506.0,BAO_0000219,
70,80002,,,1,,N,,,1A9,Expert,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,1,,3415,CHEMBL615192,506.0,BAO_0000219,
71,80002,,,1,,N,,,1A9,Expert,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,1,,3415,CHEMBL827083,506.0,BAO_0000219,
72,80002,,,1,,N,,,1A9,Expert,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,1,,17099,CHEMBL615193,506.0,BAO_0000219,
73,80002,,,1,,N,,,1A9,Intermediate,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,1,,17099,CHEMBL615194,506.0,BAO_0000219,
74,80002,,,1,,N,,,1A9,Intermediate,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,1,,17099,CHEMBL615195,506.0,BAO_0000219,
75,80002,,,1,,N,,,1A9,Intermediate,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,1,,17099,CHEMBL615196,506.0,BAO_0000219,
76,81072,,,1,,N,,,Jurkat,Intermediate,Inhibitory concentration against Jurkat cells,F,1,,17721,CHEMBL615197,503.0,BAO_0000219,
77,22226,,,0,,U,,,,Intermediate,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,1,,1229,CHEMBL615198,,BAO_0000019,
78,100121,,,9,,D,,,,Expert,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,1,,11347,CHEMBL615199,,BAO_0000357,
79,11231,,,8,,H,,,,Expert,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,1,,17117,CHEMBL615200,,BAO_0000357,
80,11231,,,8,,H,,,,Expert,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,1,,17117,CHEMBL615201,,BAO_0000357,
81,11231,,,8,,H,,,,Expert,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,1,,17117,CHEMBL615202,,BAO_0000357,
82,11231,,,8,,H,Microsomes,,,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,1,,11375,CHEMBL615203,,BAO_0000251,
83,11231,,,8,,H,Microsomes,,,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,1,,11375,CHEMBL615204,,BAO_0000251,
84,11231,,,8,,H,Microsomes,,,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,1,,11375,CHEMBL615205,,BAO_0000251,
85,11231,,,8,,H,Microsomes,,,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,1,,11375,CHEMBL615206,,BAO_0000251,
86,12083,,,8,,H,Microsomes,Liver,,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,1,,11375,CHEMBL615207,,BAO_0000251,2107.0
87,11231,,,8,,H,,,,Autocuration,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,1,,791,CHEMBL827084,,BAO_0000019,
88,11231,,,8,,H,,,,Autocuration,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,1,,791,CHEMBL615208,,BAO_0000019,
89,11231,,,8,,H,,,,Autocuration,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,1,,791,CHEMBL615209,,BAO_0000019,
90,12083,,,9,,D,Microsomes,Liver,,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,1,,11375,CHEMBL615210,,BAO_0000251,2107.0
91,12083,,,9,,D,Microsomes,Liver,,Autocuration,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,1,,11375,CHEMBL615211,,BAO_0000251,2107.0
92,12083,,,9,,D,Microsomes,Liver,,Autocuration,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,1,,153,CHEMBL615212,,BAO_0000251,2107.0
93,11377,,,8,,H,,,,Expert,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,1,,8269,CHEMBL615213,,BAO_0000357,
94,11377,,,8,,H,,,,Expert,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,1,,8269,CHEMBL615273,,BAO_0000357,
95,81020,,,1,,N,,,HepG2,Expert,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,1,,17653,CHEMBL615274,726.0,BAO_0000219,
96,81020,,,1,,N,,,HepG2,Intermediate,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,1,,14277,CHEMBL615275,726.0,BAO_0000219,
97,81020,,,1,,N,,,HepG2,Intermediate,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,1,,1717,CHEMBL615276,726.0,BAO_0000219,
98,81020,,,1,,N,,,HepG2,Intermediate,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,1,,14091,CHEMBL615277,726.0,BAO_0000219,
99,81020,,,1,,N,,,HepG2,Intermediate,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,1,,14091,CHEMBL615326,726.0,BAO_0000219,
100,50606,,,1,,N,,,,Expert,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,1,,17653,CHEMBL883130,,BAO_0000218,
101,81020,,,1,,N,,,HepG2,Intermediate,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,1,,13105,CHEMBL884519,726.0,BAO_0000219,
102,81020,,,1,,N,,,HepG2,Intermediate,Concentration required to inhibit 50% of 2.2.15 cell line,F,1,,1717,CHEMBL615327,726.0,BAO_0000219,
103,81020,,,1,,N,,,HepG2,Intermediate,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,1,,13105,CHEMBL615328,726.0,BAO_0000219,
104,50587,,,1,,N,,,2.2.15,Intermediate,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,1,,13600,CHEMBL615329,,BAO_0000218,
105,50587,,,1,,N,,,2.2.15,Intermediate,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,1,,13467,CHEMBL615330,,BAO_0000218,
106,50606,,,1,,N,,,2.2.15,Expert,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,1,,17477,CHEMBL615331,,BAO_0000218,
107,50587,,,1,,N,,,2.2.15,Intermediate,In vitro anti-HBV activity in 2.2.15 cells,F,1,,1593,CHEMBL615332,,BAO_0000218,
108,50587,,,1,,N,,,2.2.15,Intermediate,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,1,,1593,CHEMBL615333,,BAO_0000218,
109,50587,,,1,,N,,,2.2.15,Intermediate,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,1,,15089,CHEMBL615334,,BAO_0000218,
110,50587,,,1,,N,,,2.2.15,Intermediate,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,1,,15089,CHEMBL615335,,BAO_0000218,
111,50587,,,1,,N,,,2.2.15,Intermediate,Cytotoxicity in 2.2.15 cells,F,1,,1593,CHEMBL615336,,BAO_0000218,
112,50587,,,1,,N,,,2.2.15,Intermediate,Cytotoxicity in 2.2.15 cells; Not determined,F,1,,1593,CHEMBL615337,,BAO_0000218,
113,50587,,,1,,N,,,2.2.15,Intermediate,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,1,,13600,CHEMBL615338,,BAO_0000218,
114,50587,,,1,,N,,,2.2.15,Intermediate,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,1,,13467,CHEMBL615339,,BAO_0000218,
115,50587,,,1,,N,,,2.2.15,Intermediate,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,1,,13467,CHEMBL615340,,BAO_0000218,
116,81020,,,1,,N,,,HepG2,Intermediate,Antiviral activity against HBV was determined in 2.215 cell line,F,1,,14764,CHEMBL615341,726.0,BAO_0000219,
117,22226,,,0,,U,Microsomes,,,Autocuration,Inhibition of 20-HETE synthesis in human renal microsomes,B,1,,6531,CHEMBL615342,,BAO_0000251,
118,22226,,,0,,U,,,,Autocuration,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,1,,17322,CHEMBL615343,,BAO_0000019,
119,80612,,,1,,N,,,2008,Intermediate,Inhibitory concentration against 2008 (ovarian) cells,F,1,,17072,CHEMBL615344,388.0,BAO_0000219,
120,80612,,,1,,N,,,2008,Intermediate,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,1,,16936,CHEMBL615345,388.0,BAO_0000219,
121,80612,,,1,,N,,,2008,Intermediate,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,1,,16936,CHEMBL615346,388.0,BAO_0000219,
122,80612,,,1,,N,,,2008,Intermediate,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,1,,17146,CHEMBL615347,388.0,BAO_0000219,
123,80612,,,1,,N,,,2008,Intermediate,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,1,,17146,CHEMBL615348,388.0,BAO_0000219,
124,80613,,,1,,N,,,2008/R,Intermediate,In vitro inhibition of 2008/R ovarian cancer cell line,F,1,,10797,CHEMBL827085,561.0,BAO_0000219,
125,80613,,,1,,N,,,2008/R,Intermediate,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,1,,10797,CHEMBL615349,561.0,BAO_0000219,
126,80614,,,1,,N,,,2008/S,Intermediate,In vitro inhibition of 2008/S ovarian cancer cell line,F,1,,10797,CHEMBL615350,389.0,BAO_0000219,
127,80614,,,1,,N,,,2008/S,Intermediate,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,1,,10797,CHEMBL615351,389.0,BAO_0000219,
128,100256,,,2,,S,,,,Expert,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,1,,4823,CHEMBL615352,,BAO_0000220,
129,100256,,,2,,S,,,,Intermediate,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,1,,12912,CHEMBL615353,,BAO_0000220,
130,100256,,,2,,S,,,,Expert,Inhibition of chymotrypsin-like activity of 20S proteasome,B,1,,2957,CHEMBL615354,,BAO_0000220,
131,100256,,,2,,S,,,,Expert,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,1,,2957,CHEMBL615355,,BAO_0000220,
132,100256,,,2,,S,,,,Intermediate,Inhibitory activity against 20S proteosome,B,1,,3260,CHEMBL615356,,BAO_0000220,
133,22226,,,0,,U,,,,Autocuration,Compound was tested for inhibitory activity against tryptase,B,1,,3451,CHEMBL615357,,BAO_0000019,
134,81020,,,1,,N,,,HepG2,Intermediate,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,1,,13885,CHEMBL615358,726.0,BAO_0000219,
135,81020,,,1,,N,,,HepG2,Intermediate,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,1,,13885,CHEMBL827086,726.0,BAO_0000219,
136,22226,,,0,,U,,,,Autocuration,Compound was tested for the inhibition of Alpha-glucosidase,B,1,,3676,CHEMBL615359,,BAO_0000019,
137,235,,,8,,H,,,,Autocuration,Inhibitory concentration against human neutrophil elastase (HNE),B,1,,6043,CHEMBL615360,,BAO_0000357,
138,22226,,,0,,U,,Heart,,Autocuration,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,1,,11140,CHEMBL615361,,BAO_0000218,948.0
139,19640,,,8,,H,,,,Autocuration,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,1,,10543,CHEMBL615362,,BAO_0000019,
140,19640,,,8,,H,,,,Expert,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,1,,10543,CHEMBL615363,,BAO_0000019,
141,19640,,,8,,H,,,,Autocuration,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,1,,10543,CHEMBL615364,,BAO_0000357,
142,19640,,,8,,H,,,,Expert,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,1,,10543,CHEMBL615365,,BAO_0000019,
143,80360,,,1,,N,,,P338,Intermediate,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,1,,11365,CHEMBL615366,524.0,BAO_0000219,
144,80360,,,1,,N,,,P338,Intermediate,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,1,,11365,CHEMBL615367,524.0,BAO_0000219,
145,80384,,,1,,N,,,PBL,Intermediate,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,1,,11803,CHEMBL615368,554.0,BAO_0000219,
146,22226,,,0,,U,,,,Autocuration,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,1,,11803,CHEMBL615369,,BAO_0000019,
147,22226,,,0,,U,,,,Autocuration,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,1,,11803,CHEMBL615370,,BAO_0000019,
148,191,,,8,,H,,,,Autocuration,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,1,,12278,CHEMBL615673,,BAO_0000357,
149,22226,,,0,,U,,,,Autocuration,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,1,,8249,CHEMBL615674,,BAO_0000019,
150,22226,,,0,,U,,,,Autocuration,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,1,,8249,CHEMBL615675,,BAO_0000019,
151,22226,,,0,,U,,,CCRF-CEM,Autocuration,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,1,,8249,CHEMBL615676,635.0,BAO_0000219,
152,22226,,,0,,U,,,CCRF-CEM,Autocuration,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,1,,8249,CHEMBL615677,635.0,BAO_0000219,
153,22226,,,0,,U,,,CCRF-CEM,Autocuration,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,1,,8249,CHEMBL615678,635.0,BAO_0000219,
