fsclr,sctrd,clmtchngdpttn(mrkr),rgnstnclss,prjctbrwsrcntrd,cdbsnssdlvrmdl(ld),dvsnnm,knwldgfrdvlpmnt(mrkr),ntdmnt(prjct-lvlbdgt),stts,gndrqlt(mrkr),thsss(mrkr),prjctnmbr,prgrmmngprcss(nw),fndcntrd,bdvrst(mrkr),rbnsss(mrkr),chldrnsss(mrkr),ndgnssss(mrkr),dsbltsss(mrkr),ctstlfrdvlpmnt(mrkr),rgnstnd,rgnstnnm,rgnstntp,rgnstnsb-clss,cntnntd,cntnntnm,cntrrgnd,cntrrgnnm,cntrrgnprcnt,sctrnm,sctrprcnt,mntspnt
2009/2010,72010,0,Civil Society,LK,Responsive,MHDInternational Humanitarian Assistance,0,500000.0,Closed,0,0,M013175001,Uncoded: Pre-APP,5303,0,0,0,0,0,0,1015331,The Halo Trust,Foreign Non-Profit Making,NGO,3,Asia,LK,Sri Lanka,1.0,Material relief assistance and services,1.0,500000.0
2009/2010,72050,0,Civil Society,X1,Responsive,MHDInternational Humanitarian Assistance,1,600000.0,Closed,0,0,M013176001,Uncoded: Pre-APP,5230,0,0,0,0,0,0,1002035,International Crisis Group,Foreign Non-Profit Making,NGO,2,Africa,X1,Africa MC,0.5,Relief co-ordination; protection and support services,1.0,150000.0
2009/2010,72050,0,Civil Society,X2,Responsive,MHDInternational Humanitarian Assistance,1,600000.0,Closed,0,0,M013176001,Uncoded: Pre-APP,5230,0,0,0,0,0,0,1002035,International Crisis Group,Foreign Non-Profit Making,NGO,1,America,X2,Americas MC,0.1,Relief co-ordination; protection and support services,1.0,30000.0
2009/2010,72050,0,Civil Society,X3,Responsive,MHDInternational Humanitarian Assistance,1,600000.0,Closed,0,0,M013176001,Uncoded: Pre-APP,5230,0,0,0,0,0,0,1002035,International Crisis Group,Foreign Non-Profit Making,NGO,3,Asia,X3,Asia MC,0.3,Relief co-ordination; protection and support services,1.0,90000.0
2009/2010,72050,0,Civil Society,X4,Responsive,MHDInternational Humanitarian Assistance,1,600000.0,Closed,0,0,M013176001,Uncoded: Pre-APP,5230,0,0,0,0,0,0,1002035,International Crisis Group,Foreign Non-Profit Making,NGO,5,Europe,X4,Europe MC,0.1,Relief co-ordination; protection and support services,1.0,30000.0
2009/2010,72040,0,Multilateral,YE,Responsive,MHDInternational Humanitarian Assistance,0,1800000.0,Closed,0,0,M013177001,Uncoded: Pre-APP,5309,0,0,0,0,0,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,UNITED NATIONS,3,Asia,YE,Yemen,1.0,Emergency food aid,1.0,500000.0
2009/2010,72040,0,Multilateral,CO,Responsive,MHDInternational Humanitarian Assistance,0,3000000.0,Closed,0,0,M013178001,Uncoded: Pre-APP,5309,0,0,0,0,0,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,UNITED NATIONS,1,America,CO,Colombia,1.0,Emergency food aid,1.0,1500000.0
2009/2010,72040,0,Multilateral,TD,Responsive,MHDInternational Humanitarian Assistance,0,6500000.0,Closed,1,0,M013180001,Uncoded: Pre-APP,5309,0,0,0,0,0,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,UNITED NATIONS,2,Africa,TD,Chad,1.0,Emergency food aid,1.0,6500000.0
2009/2010,72040,0,Multilateral,SD,Responsive,MHDInternational Humanitarian Assistance,0,22450000.0,Closed,0,0,M013181001,Uncoded: Pre-APP,5309,0,0,0,0,0,0,1001721,WFP - World Food Programme,Foreign Non-Profit Making,UNITED NATIONS,2,Africa,SD,Sudan,1.0,Emergency food aid,1.0,3950000.0
2009/2010,72010,0,Multilateral,X1,Core Funding,MHDInternational Humanitarian Assistance,0,14000000.0,Closed,1,0,M013182001,Uncoded: Pre-APP,5311,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,UNITED NATIONS,2,Africa,X1,Africa MC,0.45,Material relief assistance and services,1.0,6300000.0
2009/2010,72010,0,Multilateral,X2,Core Funding,MHDInternational Humanitarian Assistance,0,14000000.0,Closed,1,0,M013182001,Uncoded: Pre-APP,5311,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,UNITED NATIONS,1,America,X2,Americas MC,0.05,Material relief assistance and services,1.0,700000.0
2009/2010,72010,0,Multilateral,X3,Core Funding,MHDInternational Humanitarian Assistance,0,14000000.0,Closed,1,0,M013182001,Uncoded: Pre-APP,5311,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,UNITED NATIONS,3,Asia,X3,Asia MC,0.45,Material relief assistance and services,1.0,6300000.0
2009/2010,72010,0,Multilateral,X4,Core Funding,MHDInternational Humanitarian Assistance,0,14000000.0,Closed,1,0,M013182001,Uncoded: Pre-APP,5311,0,0,0,0,0,0,1001730,UNHCR - United Nations High Commissioner for Refugees,Foreign Non-Profit Making,UNITED NATIONS,5,Europe,X4,Europe MC,0.05,Material relief assistance and services,1.0,700000.0
2009/2010,72010,0,Civil Society,X3,Responsive,MHDInternational Humanitarian Assistance,0,500000.0,Closed,0,0,M013183001,Uncoded: Pre-APP,5303,0,0,0,0,0,0,1014663,ICRC Appeals via CRCS,Canadian Non-Profit Making,INTERNATIONAL NGO,3,Asia,X3,Asia MC,1.0,Material relief assistance and services,1.0,500000.0
2009/2010,72050,0,Multilateral,X1,Responsive,MHDInternational Humanitarian Assistance,0,2700000.0,Closed,0,0,M013184001,Uncoded: Pre-APP,5303,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,UNITED NATIONS,2,Africa,X1,Africa MC,0.5,Relief co-ordination; protection and support services,1.0,1350000.0
2009/2010,72050,0,Multilateral,X2,Responsive,MHDInternational Humanitarian Assistance,0,2700000.0,Closed,0,0,M013184001,Uncoded: Pre-APP,5303,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,UNITED NATIONS,1,America,X2,Americas MC,0.15,Relief co-ordination; protection and support services,1.0,405000.0
2009/2010,72050,0,Multilateral,X3,Responsive,MHDInternational Humanitarian Assistance,0,2700000.0,Closed,0,0,M013184001,Uncoded: Pre-APP,5303,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,UNITED NATIONS,3,Asia,X3,Asia MC,0.3,Relief co-ordination; protection and support services,1.0,810000.0
2009/2010,72050,0,Multilateral,X4,Responsive,MHDInternational Humanitarian Assistance,0,2700000.0,Closed,0,0,M013184001,Uncoded: Pre-APP,5303,0,0,0,0,0,0,1003586,OCHA - Office for the Coordination of Humanitarian Affairs,Foreign Non-Profit Making,UNITED NATIONS,5,Europe,X4,Europe MC,0.05,Relief co-ordination; protection and support services,1.0,135000.0
2009/2010,31110,0,Multilateral,AF,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Asia,AF,Afghanistan,0.0065,Agricultural policy and administrative management,0.2,39000.0
2009/2010,31120,0,Multilateral,AF,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Asia,AF,Afghanistan,0.0065,Agricultural development,0.2,39000.0
2009/2010,31150,0,Multilateral,AF,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Asia,AF,Afghanistan,0.0065,Agricultural inputs,0.1,19500.0
2009/2010,31161,0,Multilateral,AF,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Asia,AF,Afghanistan,0.0065,Food crop production,0.1,19500.0
2009/2010,31166,0,Multilateral,AF,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Asia,AF,Afghanistan,0.0065,Agricultural extension,0.1,19500.0
2009/2010,31182,0,Multilateral,AF,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Asia,AF,Afghanistan,0.0065,Agricultural research,0.1,19500.0
2009/2010,31191,0,Multilateral,AF,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Asia,AF,Afghanistan,0.0065,Agricultural services,0.1,19500.0
2009/2010,31193,0,Multilateral,AF,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Asia,AF,Afghanistan,0.0065,Agricultural financial services,0.1,19500.0
2009/2010,31110,0,Multilateral,BD,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Asia,BD,Bangladesh,0.105,Agricultural policy and administrative management,0.2,630000.0
2009/2010,31120,0,Multilateral,BD,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Asia,BD,Bangladesh,0.105,Agricultural development,0.2,630000.0
2009/2010,31150,0,Multilateral,BD,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Asia,BD,Bangladesh,0.105,Agricultural inputs,0.1,315000.0
2009/2010,31161,0,Multilateral,BD,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Asia,BD,Bangladesh,0.105,Food crop production,0.1,315000.0
2009/2010,31166,0,Multilateral,BD,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Asia,BD,Bangladesh,0.105,Agricultural extension,0.1,315000.0
2009/2010,31182,0,Multilateral,BD,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Asia,BD,Bangladesh,0.105,Agricultural research,0.1,315000.0
2009/2010,31191,0,Multilateral,BD,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Asia,BD,Bangladesh,0.105,Agricultural services,0.1,315000.0
2009/2010,31193,0,Multilateral,BD,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,3,Asia,BD,Bangladesh,0.105,Agricultural financial services,0.1,315000.0
2009/2010,31110,0,Multilateral,BI,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,BI,Burundi,0.0081,Agricultural policy and administrative management,0.2,48600.0
2009/2010,31120,0,Multilateral,BI,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,BI,Burundi,0.0081,Agricultural development,0.2,48600.0
2009/2010,31150,0,Multilateral,BI,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,BI,Burundi,0.0081,Agricultural inputs,0.1,24300.0
2009/2010,31161,0,Multilateral,BI,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,BI,Burundi,0.0081,Food crop production,0.1,24300.0
2009/2010,31166,0,Multilateral,BI,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,BI,Burundi,0.0081,Agricultural extension,0.1,24300.0
2009/2010,31182,0,Multilateral,BI,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,BI,Burundi,0.0081,Agricultural research,0.1,24300.0
2009/2010,31191,0,Multilateral,BI,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,BI,Burundi,0.0081,Agricultural services,0.1,24300.0
2009/2010,31193,0,Multilateral,BI,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,BI,Burundi,0.0081,Agricultural financial services,0.1,24300.0
2009/2010,31110,0,Multilateral,BJ,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,BJ,Benin,0.0073,Agricultural policy and administrative management,0.2,43800.0
2009/2010,31120,0,Multilateral,BJ,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,BJ,Benin,0.0073,Agricultural development,0.2,43800.0
2009/2010,31150,0,Multilateral,BJ,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,BJ,Benin,0.0073,Agricultural inputs,0.1,21900.0
2009/2010,31161,0,Multilateral,BJ,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,BJ,Benin,0.0073,Food crop production,0.1,21900.0
2009/2010,31166,0,Multilateral,BJ,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,BJ,Benin,0.0073,Agricultural extension,0.1,21900.0
2009/2010,31182,0,Multilateral,BJ,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,BJ,Benin,0.0073,Agricultural research,0.1,21900.0
2009/2010,31191,0,Multilateral,BJ,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,BJ,Benin,0.0073,Agricultural services,0.1,21900.0
2009/2010,31193,0,Multilateral,BJ,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,BJ,Benin,0.0073,Agricultural financial services,0.1,21900.0
2009/2010,31110,0,Multilateral,CF,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,CF,Central Afr.Rep,0.0057,Agricultural policy and administrative management,0.2,34200.0
2009/2010,31120,0,Multilateral,CF,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,CF,Central Afr.Rep,0.0057,Agricultural development,0.2,34200.0
2009/2010,31150,0,Multilateral,CF,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,CF,Central Afr.Rep,0.0057,Agricultural inputs,0.1,17100.0
2009/2010,31161,0,Multilateral,CF,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,CF,Central Afr.Rep,0.0057,Food crop production,0.1,17100.0
2009/2010,31166,0,Multilateral,CF,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,CF,Central Afr.Rep,0.0057,Agricultural extension,0.1,17100.0
2009/2010,31182,0,Multilateral,CF,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,CF,Central Afr.Rep,0.0057,Agricultural research,0.1,17100.0
2009/2010,31191,0,Multilateral,CF,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,CF,Central Afr.Rep,0.0057,Agricultural services,0.1,17100.0
2009/2010,31193,0,Multilateral,CF,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,CF,Central Afr.Rep,0.0057,Agricultural financial services,0.1,17100.0
2009/2010,31110,0,Multilateral,DJ,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,DJ,Djibouti,0.004,Agricultural policy and administrative management,0.2,24000.0
2009/2010,31120,0,Multilateral,DJ,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,DJ,Djibouti,0.004,Agricultural development,0.2,24000.0
2009/2010,31150,0,Multilateral,DJ,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,DJ,Djibouti,0.004,Agricultural inputs,0.1,12000.0
2009/2010,31161,0,Multilateral,DJ,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,DJ,Djibouti,0.004,Food crop production,0.1,12000.0
2009/2010,31166,0,Multilateral,DJ,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,DJ,Djibouti,0.004,Agricultural extension,0.1,12000.0
2009/2010,31182,0,Multilateral,DJ,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,DJ,Djibouti,0.004,Agricultural research,0.1,12000.0
2009/2010,31191,0,Multilateral,DJ,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,DJ,Djibouti,0.004,Agricultural services,0.1,12000.0
2009/2010,31193,0,Multilateral,DJ,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,DJ,Djibouti,0.004,Agricultural financial services,0.1,12000.0
2009/2010,31110,0,Multilateral,ET,Responsive,MED Economic Development,0,30000000.0,Operational,1,0,M013185001,Uncoded: Pre-APP,5461,0,0,0,0,0,0,1001306,World Bank,Foreign Non-Profit Making,IFI,2,Africa,ET,Ethiopia,0.222,Agricultural policy and administrative management,0.2,1332000.0
