ASI,ASSSUBCELFR,Descri,TISI,VAI,Ti,ASSCTY,RELAT,CONFISC,CUB,SRI,SASI,CHI,CI,BAFO
7559,,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,,,50597,,N,1,Intermediate,1,,CHEMBL621131,,BAO_0000218
7560,,Half life (T1/2) after oral administration in rat,,,50597,,N,1,Intermediate,1,,CHEMBL621132,,BAO_0000218
7561,,Half life of compound after iv administration of 20 mg/kg dose in rat,,,50597,,N,1,Intermediate,1,,CHEMBL621133,,BAO_0000218
7562,,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,,,50597,,N,1,Expert,1,,CHEMBL621312,,BAO_0000218
7563,,Half life of compound was determined in rat,,,50597,,N,1,Intermediate,1,,CHEMBL621313,,BAO_0000218
7564,,Half life of compound was determined in rat blood,178.0,,50597,,N,1,Intermediate,1,,CHEMBL621314,,BAO_0000218
7565,,Half life at 1 mg/kg was determined in rat,,,50597,,N,1,Intermediate,1,,CHEMBL621315,,BAO_0000218
7566,,Half life at 10 mg/kg was determined in rat,,,50597,,N,1,Intermediate,1,,CHEMBL621316,,BAO_0000218
7567,,Half life in rats,,,50597,,N,1,Intermediate,1,,CHEMBL621317,,BAO_0000218
7568,,Half life in rats in hours,,,50597,,N,1,Intermediate,1,,CHEMBL621318,,BAO_0000218
7569,,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,,50597,,N,1,Intermediate,1,,CHEMBL621319,,BAO_0000218
7570,,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,,,50597,,N,1,Intermediate,1,,CHEMBL621377,,BAO_0000218
7571,,Half life was determined,,,50597,,N,1,Intermediate,1,,CHEMBL621378,,BAO_0000218
7572,,Half life after i.v. administration,,,50597,,N,1,Intermediate,1,,CHEMBL876599,,BAO_0000218
7573,,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,,,50597,,N,1,Intermediate,1,,CHEMBL621379,,BAO_0000218
7574,,Half life in rat plasma,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL621380,,BAO_0000218
7575,,Half life in rat plasma; Not detected,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL621381,,BAO_0000218
7576,,Half life in rats,,,50597,,N,1,Intermediate,1,,CHEMBL618515,,BAO_0000218
7577,,Half life period of compound was determined after peroral administration,,,50597,,N,1,Intermediate,1,,CHEMBL618516,,BAO_0000218
7578,,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,,,50597,,N,1,Intermediate,1,,CHEMBL618517,,BAO_0000218
7579,,Half life period in rat,,,50597,,N,1,Intermediate,1,,CHEMBL618518,,BAO_0000218
7580,,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,,,50597,,N,1,Intermediate,1,,CHEMBL618519,,BAO_0000218
7581,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,,,50597,,N,1,Intermediate,1,,CHEMBL618698,,BAO_0000218
7582,,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,,,50597,,N,1,Intermediate,1,,CHEMBL618862,,BAO_0000218
7583,,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,,,50597,,N,1,Intermediate,1,,CHEMBL618863,,BAO_0000218
7584,,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,,,50597,,N,1,Intermediate,1,,CHEMBL618864,,BAO_0000218
7585,,Half life time in rat the dose of 2 mg/kg,,,50597,,N,1,Intermediate,1,,CHEMBL618865,,BAO_0000218
7586,,Half-life 24 hr after 10 mg/kg iv administration in rats,,,50597,,N,1,Intermediate,1,,CHEMBL618866,,BAO_0000218
7587,,Half-life 24 hr after 2 mg/kg iv administration in rats,,,50597,,N,1,Intermediate,1,,CHEMBL618867,,BAO_0000218
7588,,Half-life consistent with the observed metabolic steady state in rats,,,50597,,N,1,Intermediate,1,,CHEMBL875828,,BAO_0000218
7589,,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,,,50597,,N,1,Intermediate,1,,CHEMBL618868,,BAO_0000218
7590,,Half-life for oxidative metabolic stability was determined using male human,,,50597,,N,1,Intermediate,1,,CHEMBL618869,,BAO_0000218
7591,,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",,,50597,,N,1,Intermediate,1,,CHEMBL618870,,BAO_0000218
7592,,Half-life in rat plasma,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL618871,,BAO_0000218
7593,,Half-life in rat plasma was determined,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL618872,,BAO_0000218
7594,,Half-life in rats was determined,,,50597,,N,1,Intermediate,1,,CHEMBL873816,,BAO_0000218
7595,,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,,,22224,,U,0,Autocuration,1,,CHEMBL618873,,BAO_0000218
7596,,Area under curve after oral dose of 0.1 mg//kg,,,22224,,U,0,Autocuration,1,,CHEMBL621602,,BAO_0000019
7597,,Area under curve after oral dose of 0.3 mg/kg,,,22224,,U,0,Autocuration,1,,CHEMBL621603,,BAO_0000218
7598,,Area under curve after oral dose of 1 mg/kg,,,22224,,U,0,Autocuration,1,,CHEMBL621604,,BAO_0000218
7599,,Area under curve after oral dose of 10 mg/kg,,,22224,,U,0,Autocuration,1,,CHEMBL621605,,BAO_0000218
7600,,Area under curve after oral dose of 23.4 mg/kg,,,22224,,U,0,Autocuration,1,,CHEMBL621606,,BAO_0000218
7601,,Area under curve after oral dose of 3 mg/kg,,,22224,,U,0,Autocuration,1,,CHEMBL621607,,BAO_0000218
7602,,Area under curve after oral dose of 3.87 mg/kg,,,22224,,U,0,Autocuration,1,,CHEMBL621608,,BAO_0000218
7603,,Area under curve was determined,,,22224,,U,0,Autocuration,1,,CHEMBL621609,,BAO_0000019
7604,,Area under curve at a dose of 10 mg/kg,,,22224,,U,0,Autocuration,1,,CHEMBL621610,,BAO_0000218
7605,,Area under curve was determined; ND=No data,,,50597,,N,1,Intermediate,1,,CHEMBL621611,,BAO_0000218
7606,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,,,50597,,N,1,Intermediate,1,,CHEMBL621612,,BAO_0000218
7607,,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,,,50597,,N,1,Intermediate,1,,CHEMBL622308,,BAO_0000218
7608,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,,,50597,,N,1,Intermediate,1,,CHEMBL622309,,BAO_0000218
7609,,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,,,50597,,N,1,Intermediate,1,,CHEMBL622310,,BAO_0000218
7610,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,,,50597,,N,1,Intermediate,1,,CHEMBL622311,,BAO_0000218
7611,,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,,,50597,,N,1,Intermediate,1,,CHEMBL622312,,BAO_0000218
7612,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,,,50597,,N,1,Intermediate,1,,CHEMBL622931,,BAO_0000218
7613,,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,,,50597,,N,1,Intermediate,1,,CHEMBL622932,,BAO_0000218
7614,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622736,,BAO_0000218
7615,,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622737,,BAO_0000218
7616,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622738,,BAO_0000218
7617,,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622739,,BAO_0000218
7618,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622740,,BAO_0000218
7619,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622741,,BAO_0000218
7620,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622742,,BAO_0000218
7621,,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,1969.0,,50597,,N,1,Intermediate,1,,CHEMBL622743,,BAO_0000218
7622,,AUC in mice,1969.0,,50594,,N,1,Intermediate,1,,CHEMBL622744,,BAO_0000218
7623,,Area under curve was measured from the graph obtained from concentration Vs time,,,22224,,U,0,Autocuration,1,,CHEMBL624134,,BAO_0000019
7624,,Area under curve value of compound per hour after oral administration,,,22224,,U,0,Autocuration,1,,CHEMBL624135,,BAO_0000019
7625,,Area under curve was determined after oral administration in rats,,,50597,,N,1,Intermediate,1,,CHEMBL624136,,BAO_0000218
7626,,Area under curve was determined after oral administration in rats; No data,,,50597,,N,1,Intermediate,1,,CHEMBL624137,,BAO_0000218
7627,,Area under curve was determined after oral administration in rats;No data,,,50597,,N,1,Intermediate,1,,CHEMBL624320,,BAO_0000218
7628,,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,,,50588,,N,1,Intermediate,1,,CHEMBL624321,,BAO_0000218
7629,,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,,,50597,,N,1,Intermediate,1,,CHEMBL624322,,BAO_0000218
7630,,Area under curve was determined for the compound after iv dose of 5.06 in rats,,,50597,,N,1,Intermediate,1,,CHEMBL624323,,BAO_0000218
7631,,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,,,50597,,N,1,Intermediate,1,,CHEMBL624324,,BAO_0000218
7632,,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,,,50597,,N,1,Intermediate,1,,CHEMBL624325,,BAO_0000218
7633,,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,,,50597,,N,1,Intermediate,1,,CHEMBL624326,,BAO_0000218
7634,,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,,,50597,,N,1,Intermediate,1,,CHEMBL624327,,BAO_0000218
7635,,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,,,50597,,N,1,Intermediate,1,,CHEMBL624328,,BAO_0000218
7636,,Area under curve was determined in Dogs after peroral administration,,,50588,,N,1,Intermediate,1,,CHEMBL627848,,BAO_0000218
7637,,Area under curve was determined in Rats after peroral administration,,,50597,,N,1,Intermediate,1,,CHEMBL627849,,BAO_0000218
7638,,Area under curve was determined in carotid blood of rat when administered intradermally,,,50597,,N,1,Intermediate,1,,CHEMBL627850,,BAO_0000218
7639,,Area under curve was determined in portal blood of rat when administered intradermally,,,50597,,N,1,Intermediate,1,,CHEMBL627851,,BAO_0000218
7640,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,,50594,,N,1,Intermediate,1,,CHEMBL627852,,BAO_0000218
7641,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,,50594,,N,1,Intermediate,1,,CHEMBL627853,,BAO_0000218
7642,,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),,,50594,,N,1,Intermediate,1,,CHEMBL627854,,BAO_0000218
7643,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,,,50594,,N,1,Intermediate,1,,CHEMBL627855,,BAO_0000218
7644,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),,,50594,,N,1,Intermediate,1,,CHEMBL627856,,BAO_0000218
7645,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,,,50594,,N,1,Intermediate,1,,CHEMBL875339,,BAO_0000218
7646,,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),,,50594,,N,1,Intermediate,1,,CHEMBL627857,,BAO_0000218
7647,,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,2106.0,,50597,,N,1,Intermediate,1,,CHEMBL627858,,BAO_0000218
7648,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,178.0,,50597,,N,1,Intermediate,1,,CHEMBL627859,,BAO_0000218
7649,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,955.0,,50597,,N,1,Intermediate,1,,CHEMBL627860,,BAO_0000218
7650,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,948.0,,50597,,N,1,Intermediate,1,,CHEMBL627019,,BAO_0000218
7651,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL627020,,BAO_0000218
7652,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL627021,,BAO_0000218
7653,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,2385.0,,50597,,N,1,Intermediate,1,,CHEMBL627022,,BAO_0000218
7654,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,,,50597,,N,1,Intermediate,1,,CHEMBL627023,,BAO_0000218
7655,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,2106.0,,50597,,N,1,Intermediate,1,,CHEMBL627024,,BAO_0000218
7656,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,2046.0,,50597,,N,1,Intermediate,1,,CHEMBL627025,,BAO_0000218
7657,,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,2113.0,,50597,,N,1,Intermediate,1,,CHEMBL627026,,BAO_0000218
7658,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,178.0,,50597,,N,1,Intermediate,1,,CHEMBL627027,,BAO_0000218
7659,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,955.0,,50597,,N,1,Intermediate,1,,CHEMBL627028,,BAO_0000218
7660,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,948.0,,50597,,N,1,Intermediate,1,,CHEMBL627029,,BAO_0000218
7661,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,2113.0,,50597,,N,1,Intermediate,1,,CHEMBL627030,,BAO_0000218
7662,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL627031,,BAO_0000218
7663,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in lung; Expressed as percent dose/organ,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL627032,,BAO_0000218
7664,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in muscle; Expressed as percent dose/organ,2385.0,,50597,,N,1,Intermediate,1,,CHEMBL627033,,BAO_0000218
7665,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in skin; Expressed as percent dose/organ,,,50597,,N,1,Intermediate,1,,CHEMBL627034,,BAO_0000218
7666,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in spleen; Expressed as percent dose/organ,2106.0,,50597,,N,1,Intermediate,1,,CHEMBL627035,,BAO_0000218
7667,,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in thyroid; Expressed as percent dose/organ,2046.0,,50597,,N,1,Intermediate,1,,CHEMBL627036,,BAO_0000218
7668,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in blood; Expressed as percent dose/organ,178.0,,50597,,N,1,Intermediate,1,,CHEMBL875340,,BAO_0000218
7669,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in heart; Expressed as percent dose/organ,948.0,,50597,,N,1,Intermediate,1,,CHEMBL627037,,BAO_0000218
7670,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in kidney; Expressed as percent dose/organ,2113.0,,50597,,N,1,Intermediate,1,,CHEMBL627038,,BAO_0000218
7671,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in liver; Expressed as percent dose/organ,2107.0,,50597,,N,1,Intermediate,1,,CHEMBL627039,,BAO_0000218
7672,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in muscle; Expressed as percent dose/organ,2385.0,,50597,,N,1,Intermediate,1,,CHEMBL627040,,BAO_0000218
7673,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in spleen; Expressed as percent dose/organ,2106.0,,50597,,N,1,Intermediate,1,,CHEMBL624663,,BAO_0000218
7674,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in thyroid; Expressed as percent dose/organ,2046.0,,50597,,N,1,Intermediate,1,,CHEMBL625963,,BAO_0000218
7675,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in brain; Expressed as percent dose/organ,955.0,,50597,,N,1,Intermediate,1,,CHEMBL876799,,BAO_0000218
7676,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in lung; Expressed as percent dose/organ,2048.0,,50597,,N,1,Intermediate,1,,CHEMBL626133,,BAO_0000218
7677,,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in skin; Expressed as percent dose/organ,,,50597,,N,1,Intermediate,1,,CHEMBL626134,,BAO_0000218
7678,,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg,,,50597,,N,1,Intermediate,1,,CHEMBL626135,,BAO_0000218
7679,,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg,,,50597,,N,1,Intermediate,1,,CHEMBL626136,,BAO_0000218
7680,,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg; Below detection limit,,,50597,,N,1,Intermediate,1,,CHEMBL626137,,BAO_0000218
7681,,In vivo concentration in rat plasma exposure at 8 hour after oral administration 50 mg/kg,,,50597,,N,1,Intermediate,1,,CHEMBL626138,,BAO_0000218
7682,,In vivo concentration in rat plasma exposure at 8 hour after oral administration 50 mg/kg,,,50597,,N,1,Intermediate,1,,CHEMBL626139,,BAO_0000218
7683,,C max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,,,50597,,N,1,Intermediate,1,,CHEMBL626140,,BAO_0000218
7684,,C max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,,,50597,,N,1,Intermediate,1,,CHEMBL626141,,BAO_0000218
7685,,C24h in rat p.o. at 20 mg/kg concentration,,,50597,,N,1,Intermediate,1,,CHEMBL626142,,BAO_0000218
7686,,Biodistribution in normal rat muscle in the presence of 0.005 M Gd/0.01 M lig at 2 hr,2385.0,,50597,,N,1,Intermediate,1,,CHEMBL627930,,BAO_0000218
7687,,Biodistribution in normal rat muscle in the presence of 0.01 M Gd/0.05 M lig,2385.0,,50597,,N,1,Intermediate,1,,CHEMBL627931,,BAO_0000218
7688,,Biodistribution in normal rat muscle in the presence of NAC Gd 0.01 M lig at 2 hr,2385.0,,50597,,N,1,Intermediate,1,,CHEMBL627932,,BAO_0000218
7689,,Biodistribution in normal rat spleen in the presence of 0.005 M Gd/0.01 M lig at 2 hr,2106.0,,50597,,N,1,Intermediate,1,,CHEMBL627933,,BAO_0000218
7690,,Biodistribution in normal rat spleen in the presence of 0.01 M Gd/0.05 M lig,2106.0,,50597,,N,1,Intermediate,1,,CHEMBL627934,,BAO_0000218
7691,,Biodistribution in normal rat spleen in the presence of NAC Gd 0.01 M lig at 2 hr,2106.0,,50597,,N,1,Intermediate,1,,CHEMBL627935,,BAO_0000218
7692,,Biodistribution in rat blood in the presence of 0.001 M/0.008 M GdDTPA-AEP,178.0,,50597,,N,1,Intermediate,1,,CHEMBL627936,,BAO_0000218
7693,,Biodistribution in rat blood in the presence of 0.01 M GdDTPA-BDP,178.0,,50597,,N,1,Intermediate,1,,CHEMBL627937,,BAO_0000218
7694,,Biodistribution in rat blood in the presence of 0.01 M/0.01 M GdDTPA-AEP,178.0,,50597,,N,1,Intermediate,1,,CHEMBL627938,,BAO_0000218
7695,,Biodistribution in rat blood in the presence of 0.05 M Gd/0.15 M lig,178.0,,50597,,N,1,Intermediate,1,,CHEMBL627939,,BAO_0000218
7696,,Biodistribution in rat blood in the presence of 0.05 M GdDTPA-BDP,178.0,,50597,,N,1,Intermediate,1,,CHEMBL627940,,BAO_0000218
7697,,Biodistribution in rat blood in the presence of 0.05 M/0.05 M GdDTPA-AEP,178.0,,50597,,N,1,Intermediate,1,,CHEMBL627941,,BAO_0000218
7698,,Biodistribution in rat blood in the presence of 0.05 M/0.08 M GdDTPA-HPDP,178.0,,50597,,N,1,Intermediate,1,,CHEMBL876800,,BAO_0000218
7699,,Biodistribution in rat blood in the presence of 0.10 M GdDTPA-BDP,178.0,,50597,,N,1,Intermediate,1,,CHEMBL627942,,BAO_0000218
7700,,Biodistribution in rat blood in the presence of 0.10 M/0.11 M GdDTPA-AEP,178.0,,50597,,N,1,Intermediate,1,,CHEMBL627943,,BAO_0000218
7701,,Biodistribution in rat blood in the presence of 50 Gd/kg at 15 min,178.0,,50597,,N,1,Intermediate,1,,CHEMBL627944,,BAO_0000218
7702,,Biodistribution in rat blood in the presence of 50 Gd/kg at 2 hr,178.0,,50597,,N,1,Intermediate,1,,CHEMBL627945,,BAO_0000218
7703,,Biodistribution in rat blood in the presence of 50 Gd/kg at 6 hr,178.0,,50597,,N,1,Intermediate,1,,CHEMBL628584,,BAO_0000218
7704,,Biodistribution in rat blood in the presence of GdDTPA at 15 min,178.0,,50597,,N,1,Intermediate,1,,CHEMBL628585,,BAO_0000218
7705,,Biodistribution in rat blood in the presence of GdDTPA at 1 hr,178.0,,50597,,N,1,Intermediate,1,,CHEMBL628586,,BAO_0000218
