assays_ss_d,assays_src_d,assays_dscrptn,assays_ss_rgnsm,assays_cnfdnc_scr,assays_td,assays_ss_sbclllr_frctn,assays_rltnshp_tp,assays_crtd_b,assays_src_ss_d,assays_chmbl_d,assays_cll_d,assays_b_frmt,assays_tss_d,assays_vrnt_d
7537,1,solubility in water (ug/mL) at 37 degree C.,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618659,,BAO_0000218,,
7538,1,First pass metabolism and metabolic bioavailability using rat hepatic microsomes,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618660,,BAO_0000218,,
7539,1,In vitro stability relative to (+)-AJ76 in rat hepatocyte assay,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618661,,BAO_0000218,,
7540,1,Half life in rats,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL873807,,BAO_0000218,,
7541,1,Half life in Dawley rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618662,,BAO_0000218,,
7542,1,Half life period after 3 mg/kg iv administration,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618663,,BAO_0000218,,
7543,1,Half life period after 3 mg/kg iv administration in rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618664,,BAO_0000218,,
7544,1,Half life period after 3 mg/kg iv administration in the rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618665,,BAO_0000218,,
7545,1,Half life period in female Sprague-Dawley rats,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL876498,,BAO_0000218,,
7546,1,Half life period in rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618666,,BAO_0000218,,
7547,1,Half-life in rats was determined,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL620440,,BAO_0000218,,
7548,1,Half-life in rats with metabolic oxidation,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL620441,,BAO_0000218,,
7549,1,Half-life in rats,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL620442,,BAO_0000218,,
7550,1,T 1/2 at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL620443,,BAO_0000218,,
7551,1,T 1/2 at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL620444,,BAO_0000218,,
7552,1,T max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL620445,,BAO_0000218,,
7553,1,T max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL620446,,BAO_0000218,,
7554,1,Biological half-life measured in plasma of rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL620447,,BAO_0000218,1969.0,
7555,1,Biological half-life measured in plasma of rat; 22-25,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621129,,BAO_0000218,1969.0,
7556,1,Biological half-life measured in plasma of rat; 9-16,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621130,,BAO_0000218,1969.0,
7557,1,Compound was evaluated for its half life when administered intravenously in rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL873808,,BAO_0000218,,
7558,1,Compound was evaluated for pharmacokinetic parameter percent bioavailability at 8 h,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL876598,,BAO_0000218,,
7559,1,Evaluated for pharmacokinetic parameter half-life in rat at the dose 50 mg/kg,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621131,,BAO_0000218,,
7560,1,Half life (T1/2) after oral administration in rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621132,,BAO_0000218,,
7561,1,Half life of compound after iv administration of 20 mg/kg dose in rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621133,,BAO_0000218,,
7562,1,Half life of compound determined in rat after iv administration at a dose of 10 mg/kg,Rattus norvegicus,1,50597,,N,Expert,,CHEMBL621312,,BAO_0000218,,
7563,1,Half life of compound was determined in rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621313,,BAO_0000218,,
7564,1,Half life of compound was determined in rat blood,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621314,,BAO_0000218,178.0,
7565,1,Half life at 1 mg/kg was determined in rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621315,,BAO_0000218,,
7566,1,Half life at 10 mg/kg was determined in rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621316,,BAO_0000218,,
7567,1,Half life in rats,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621317,,BAO_0000218,,
7568,1,Half life in rats in hours,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621318,,BAO_0000218,,
7569,1,Half life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621319,,BAO_0000218,,
7570,1,Half life was calculated at a single intravenous administration of 20 mg/kg in rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621377,,BAO_0000218,,
7571,1,Half life was determined,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621378,,BAO_0000218,,
7572,1,Half life after i.v. administration,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL876599,,BAO_0000218,,
7573,1,Half life in rat after intravenous administration at a concentration 0.5 mg/kg,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621379,,BAO_0000218,,
7574,1,Half life in rat plasma,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621380,,BAO_0000218,1969.0,
7575,1,Half life in rat plasma; Not detected,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621381,,BAO_0000218,1969.0,
7576,1,Half life in rats,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618515,,BAO_0000218,,
7577,1,Half life period of compound was determined after peroral administration,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618516,,BAO_0000218,,
7578,1,Half life period of compound was determined at a dose of 3 mg/kg by intravenous administration,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618517,,BAO_0000218,,
7579,1,Half life period in rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618518,,BAO_0000218,,
7580,1,Half life period was evaluated against Sprague-Dawley rats at a dose of 15 mg/kg after iv administration,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618519,,BAO_0000218,,
7581,1,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618698,,BAO_0000218,,
7582,1,Half life period was evaluated in Sprague-Dawley rats at a dose of 15 mg/kg after po administration; Not available,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618862,,BAO_0000218,,
7583,1,Half life period was determined after intravenous administration at a dose 5 mg/kg to male Sprague-Dawley rats,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618863,,BAO_0000218,,
7584,1,Half life period was determined for compound after intravenous administration in rats at 24 uM/kg,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618864,,BAO_0000218,,
7585,1,Half life time in rat the dose of 2 mg/kg,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618865,,BAO_0000218,,
7586,1,Half-life 24 hr after 10 mg/kg iv administration in rats,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618866,,BAO_0000218,,
7587,1,Half-life 24 hr after 2 mg/kg iv administration in rats,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618867,,BAO_0000218,,
7588,1,Half-life consistent with the observed metabolic steady state in rats,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL875828,,BAO_0000218,,
7589,1,Half-life following 10 mg/kg intravenous or 50 mg/kg oral dosing in rats was determined,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618868,,BAO_0000218,,
7590,1,Half-life for oxidative metabolic stability was determined using male human,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618869,,BAO_0000218,,
7591,1,"Half-life in fischer rats at 5 mg/kg dose, administered intravenously",Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618870,,BAO_0000218,,
7592,1,Half-life in rat plasma,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618871,,BAO_0000218,1969.0,
7593,1,Half-life in rat plasma was determined,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL618872,,BAO_0000218,1969.0,
7594,1,Half-life in rats was determined,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL873816,,BAO_0000218,,
7595,1,Area under curve of acid 2a was determined by HPLC at a dosage of 54.5 mg/kg administered intragastrically by gavage method in dog,,0,22224,,U,Autocuration,,CHEMBL618873,,BAO_0000218,,
7596,1,Area under curve after oral dose of 0.1 mg//kg,,0,22224,,U,Autocuration,,CHEMBL621602,,BAO_0000019,,
7597,1,Area under curve after oral dose of 0.3 mg/kg,,0,22224,,U,Autocuration,,CHEMBL621603,,BAO_0000218,,
7598,1,Area under curve after oral dose of 1 mg/kg,,0,22224,,U,Autocuration,,CHEMBL621604,,BAO_0000218,,
7599,1,Area under curve after oral dose of 10 mg/kg,,0,22224,,U,Autocuration,,CHEMBL621605,,BAO_0000218,,
7600,1,Area under curve after oral dose of 23.4 mg/kg,,0,22224,,U,Autocuration,,CHEMBL621606,,BAO_0000218,,
7601,1,Area under curve after oral dose of 3 mg/kg,,0,22224,,U,Autocuration,,CHEMBL621607,,BAO_0000218,,
7602,1,Area under curve after oral dose of 3.87 mg/kg,,0,22224,,U,Autocuration,,CHEMBL621608,,BAO_0000218,,
7603,1,Area under curve was determined,,0,22224,,U,Autocuration,,CHEMBL621609,,BAO_0000019,,
7604,1,Area under curve at a dose of 10 mg/kg,,0,22224,,U,Autocuration,,CHEMBL621610,,BAO_0000218,,
7605,1,Area under curve was determined; ND=No data,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621611,,BAO_0000218,,
7606,1,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL621612,,BAO_0000218,,
7607,1,Area under curve was evaluated in rat brain when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL622308,,BAO_0000218,,
7608,1,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL622309,,BAO_0000218,,
7609,1,Area under curve was evaluated in rat brain when administered intravenously at a dose of 10 mg/kg for infinite hours,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL622310,,BAO_0000218,,
7610,1,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL622311,,BAO_0000218,,
7611,1,Area under curve was evaluated in rat brain when administered perorally at a dose of 100 mg/kg for infinite hours; Not calculated,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL622312,,BAO_0000218,,
7612,1,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL622931,,BAO_0000218,,
7613,1,Area under curve was evaluated in rat brain when administered perorally at a dose of 10 mg/kg for infinite hours; Not calculated,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL622932,,BAO_0000218,,
7614,1,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for 4 or 6 hours,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL622736,,BAO_0000218,1969.0,
7615,1,Area under curve was evaluated in rat plasma when administered intraperitoneally at a dose of 10 mg/kg for infinite hours,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL622737,,BAO_0000218,1969.0,
7616,1,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for 4 or 6 hours,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL622738,,BAO_0000218,1969.0,
7617,1,Area under curve was evaluated in rat plasma when administered intravenously at a dose of 10 mg/kg for infinite hours,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL622739,,BAO_0000218,1969.0,
7618,1,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for 4 or 6 hours,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL622740,,BAO_0000218,1969.0,
7619,1,Area under curve was evaluated in rat plasma when administered perorally at a dose of 100 mg/kg for infinite hours,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL622741,,BAO_0000218,1969.0,
7620,1,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for 4 or 6 hours,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL622742,,BAO_0000218,1969.0,
7621,1,Area under curve was evaluated in rat plasma when administered perorally at a dose of 10 mg/kg for infinite hours,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL622743,,BAO_0000218,1969.0,
7622,1,AUC in mice,Mus musculus,1,50594,,N,Intermediate,,CHEMBL622744,,BAO_0000218,1969.0,
7623,1,Area under curve was measured from the graph obtained from concentration Vs time,,0,22224,,U,Autocuration,,CHEMBL624134,,BAO_0000019,,
7624,1,Area under curve value of compound per hour after oral administration,,0,22224,,U,Autocuration,,CHEMBL624135,,BAO_0000019,,
7625,1,Area under curve was determined after oral administration in rats,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL624136,,BAO_0000218,,
7626,1,Area under curve was determined after oral administration in rats; No data,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL624137,,BAO_0000218,,
7627,1,Area under curve was determined after oral administration in rats;No data,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL624320,,BAO_0000218,,
7628,1,Area under curve was determined by HPLC at a dosage of 2.27 mg/kg administered intravenously by bolus method in dog,Canis lupus familiaris,1,50588,,N,Intermediate,,CHEMBL624321,,BAO_0000218,,
7629,1,Area under curve was determined for the compound after iv dose of 4.74 mg/kg in rats,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL624322,,BAO_0000218,,
7630,1,Area under curve was determined for the compound after iv dose of 5.06 in rats,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL624323,,BAO_0000218,,
7631,1,Area under curve was determined for the compound after iv dose of 5.10 mg/kg in rats,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL624324,,BAO_0000218,,
7632,1,Area under curve was determined for the compound after po dose of 5.01 mg/kg in rats,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL624325,,BAO_0000218,,
7633,1,Area under curve was determined for the compound after po dose of 5.03 mg/kg in rats,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL624326,,BAO_0000218,,
7634,1,Area under curve was determined for the compound after po dose of 5.22 mg/kg in rats,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL624327,,BAO_0000218,,
7635,1,Area under curve was determined for the compound after po dose of 5.46 mg/kg in rats,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL624328,,BAO_0000218,,
7636,1,Area under curve was determined in Dogs after peroral administration,Canis lupus familiaris,1,50588,,N,Intermediate,,CHEMBL627848,,BAO_0000218,,
7637,1,Area under curve was determined in Rats after peroral administration,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627849,,BAO_0000218,,
7638,1,Area under curve was determined in carotid blood of rat when administered intradermally,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627850,,BAO_0000218,,
7639,1,Area under curve was determined in portal blood of rat when administered intradermally,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627851,,BAO_0000218,,
7640,1,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,Mus musculus,1,50594,,N,Intermediate,,CHEMBL627852,,BAO_0000218,,
7641,1,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,Mus musculus,1,50594,,N,Intermediate,,CHEMBL627853,,BAO_0000218,,
7642,1,Area under curve was determined using 0.4% Methyl cellulose (MC) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (micronized sample),Mus musculus,1,50594,,N,Intermediate,,CHEMBL627854,,BAO_0000218,,
7643,1,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg,Mus musculus,1,50594,,N,Intermediate,,CHEMBL627855,,BAO_0000218,,
7644,1,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered intravenously to nude mice at a dose of 25 mg/kg (run time 7 hr),Mus musculus,1,50594,,N,Intermediate,,CHEMBL627856,,BAO_0000218,,
7645,1,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg,Mus musculus,1,50594,,N,Intermediate,,CHEMBL875339,,BAO_0000218,,
7646,1,Area under curve was determined using 20%aqueous hydroxypropyl-beta-cyclodextrin (HPbetaCD) as vehicle. Compound was administered orally to nude mice at a dose of 25 mg/kg (Run time = 7 hr),Mus musculus,1,50594,,N,Intermediate,,CHEMBL627857,,BAO_0000218,,
7647,1,Biodistribution of the radiolabeled compound (2-5 uCi) in rat spleen 65 mins after i.v. administration,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627858,,BAO_0000218,2106.0,
7648,1,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in blood; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627859,,BAO_0000218,178.0,
7649,1,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in brain; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627860,,BAO_0000218,955.0,
7650,1,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in heart; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627019,,BAO_0000218,948.0,
7651,1,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in liver; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627020,,BAO_0000218,2107.0,
7652,1,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in lung; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627021,,BAO_0000218,2048.0,
7653,1,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in muscle; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627022,,BAO_0000218,2385.0,
7654,1,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in skin; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627023,,BAO_0000218,,
7655,1,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in spleen; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627024,,BAO_0000218,2106.0,
7656,1,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in thyroid; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627025,,BAO_0000218,2046.0,
7657,1,In vivo biodistribution in rats after an intravenous injection at 15 min was determined in kidney; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627026,,BAO_0000218,2113.0,
7658,1,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in blood; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627027,,BAO_0000218,178.0,
7659,1,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in brain; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627028,,BAO_0000218,955.0,
7660,1,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in heart; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627029,,BAO_0000218,948.0,
7661,1,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in kidney; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627030,,BAO_0000218,2113.0,
7662,1,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in liver; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627031,,BAO_0000218,2107.0,
7663,1,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in lung; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627032,,BAO_0000218,2048.0,
7664,1,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in muscle; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627033,,BAO_0000218,2385.0,
7665,1,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in skin; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627034,,BAO_0000218,,
7666,1,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in spleen; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627035,,BAO_0000218,2106.0,
7667,1,In vivo biodistribution in rats after an intravenous injection at 2 min was determined in thyroid; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627036,,BAO_0000218,2046.0,
7668,1,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in blood; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL875340,,BAO_0000218,178.0,
7669,1,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in heart; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627037,,BAO_0000218,948.0,
7670,1,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in kidney; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627038,,BAO_0000218,2113.0,
7671,1,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in liver; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627039,,BAO_0000218,2107.0,
7672,1,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in muscle; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627040,,BAO_0000218,2385.0,
7673,1,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in spleen; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL624663,,BAO_0000218,2106.0,
7674,1,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in thyroid; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL625963,,BAO_0000218,2046.0,
7675,1,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in brain; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL876799,,BAO_0000218,955.0,
7676,1,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in lung; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL626133,,BAO_0000218,2048.0,
7677,1,In vivo biodistribution in rats after an intravenous injection at 60 min was determined in skin; Expressed as percent dose/organ,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL626134,,BAO_0000218,,
7678,1,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL626135,,BAO_0000218,,
7679,1,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL626136,,BAO_0000218,,
7680,1,In vivo concentration in rat liver exposure 8 hour after oral administration 50 mg/kg; Below detection limit,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL626137,,BAO_0000218,,
7681,1,In vivo concentration in rat plasma exposure at 8 hour after oral administration 50 mg/kg,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL626138,,BAO_0000218,,
7682,1,In vivo concentration in rat plasma exposure at 8 hour after oral administration 50 mg/kg,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL626139,,BAO_0000218,,
7683,1,C max at a dose of 10 mg/Kg administered intravenously in female hanover-wistar rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL626140,,BAO_0000218,,
7684,1,C max at a dose of 10 mg/Kg administered perorally in female hanover-wistar rat,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL626141,,BAO_0000218,,
7685,1,C24h in rat p.o. at 20 mg/kg concentration,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL626142,,BAO_0000218,,
7686,1,Biodistribution in normal rat muscle in the presence of 0.005 M Gd/0.01 M lig at 2 hr,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627930,,BAO_0000218,2385.0,
7687,1,Biodistribution in normal rat muscle in the presence of 0.01 M Gd/0.05 M lig,Rattus norvegicus,1,50597,,N,Intermediate,,CHEMBL627931,,BAO_0000218,2385.0,
