ASSI,CONSC,SRASI,BAFO,CUB,TISI,ASSTI,ASCET,ASSUBFR,Ti,RELATT,SI,CHI,CEI,VARI
34,8,,BAO_0000357,Autocuration,,,,,12054,H,1,CHEMBL615146,,
35,8,,BAO_0000357,Autocuration,,,,,12054,H,1,CHEMBL615147,,
36,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615148,,
37,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615149,,
38,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615150,,
39,3,,BAO_0000225,Intermediate,,,,,22222,M,1,CHEMBL615151,,
40,3,,BAO_0000225,Intermediate,,,,,22222,M,1,CHEMBL615152,,
41,3,,BAO_0000225,Expert,,,,,100263,M,1,CHEMBL615153,,
42,3,,BAO_0000225,Expert,,,,,100263,M,1,CHEMBL615154,,
43,8,,BAO_0000019,Autocuration,,,,,13053,H,1,CHEMBL615155,,
44,8,,BAO_0000019,Autocuration,,,,,13053,H,1,CHEMBL615156,,
45,8,,BAO_0000019,Autocuration,,,,,20001,H,1,CHEMBL615157,,
46,8,,BAO_0000019,Autocuration,,,,,20001,H,1,CHEMBL615158,,
47,9,,BAO_0000019,Expert,,,,,12971,D,1,CHEMBL615159,,
48,9,,BAO_0000019,Expert,,,,,12971,D,1,CHEMBL615172,,
49,9,,BAO_0000019,Expert,,,,,12971,D,1,CHEMBL615173,,
50,9,,BAO_0000019,Expert,,,,,12971,D,1,CHEMBL615174,,
51,8,,BAO_0000019,Autocuration,,,,,13053,H,1,CHEMBL884518,,
52,8,,BAO_0000357,Autocuration,,,,,11512,H,1,CHEMBL615175,,
53,8,,BAO_0000357,Autocuration,,,,,11512,H,1,CHEMBL615176,,
54,8,,BAO_0000357,Autocuration,,,,,11512,H,1,CHEMBL615177,,
55,5,,BAO_0000249,Autocuration,,,,Membranes,104740,D,1,CHEMBL615178,,
56,1,,BAO_0000219,Intermediate,,,1A9,,80002,N,1,CHEMBL615179,506.0,
57,7,,BAO_0000219,Autocuration,,,Oocytes,,104835,D,1,CHEMBL615180,,
58,7,,BAO_0000219,Autocuration,,,Oocytes,,104821,D,1,CHEMBL615181,,
59,7,,BAO_0000219,Autocuration,,,Oocytes,,104848,D,1,CHEMBL615182,,
60,1,,BAO_0000219,Expert,,,1A9,,80002,N,1,CHEMBL615183,506.0,
61,1,,BAO_0000219,Intermediate,,,1A9,,80002,N,1,CHEMBL615184,506.0,
62,1,,BAO_0000219,Intermediate,,,1A9,,80002,N,1,CHEMBL615185,506.0,
63,1,,BAO_0000219,Intermediate,,,1A9,,80002,N,1,CHEMBL615186,506.0,
64,1,,BAO_0000219,Intermediate,,,1A9,,80002,N,1,CHEMBL615187,506.0,
65,1,,BAO_0000219,Expert,,,1A9,,80002,N,1,CHEMBL885343,506.0,
66,1,,BAO_0000219,Intermediate,,,1A9,,80002,N,1,CHEMBL615188,506.0,
67,1,,BAO_0000219,Intermediate,,,1A9,,80002,N,1,CHEMBL615189,506.0,
68,1,,BAO_0000219,Intermediate,,,1A9,,80002,N,1,CHEMBL615190,506.0,
69,1,,BAO_0000219,Intermediate,,,1A9,,80002,N,1,CHEMBL615191,506.0,
70,1,,BAO_0000219,Expert,,,1A9,,80002,N,1,CHEMBL615192,506.0,
71,1,,BAO_0000219,Expert,,,1A9,,80002,N,1,CHEMBL827083,506.0,
72,1,,BAO_0000219,Expert,,,1A9,,80002,N,1,CHEMBL615193,506.0,
73,1,,BAO_0000219,Intermediate,,,1A9,,80002,N,1,CHEMBL615194,506.0,
74,1,,BAO_0000219,Intermediate,,,1A9,,80002,N,1,CHEMBL615195,506.0,
75,1,,BAO_0000219,Intermediate,,,1A9,,80002,N,1,CHEMBL615196,506.0,
76,1,,BAO_0000219,Intermediate,,,Jurkat,,81072,N,1,CHEMBL615197,503.0,
77,0,,BAO_0000019,Intermediate,,,,,22226,U,1,CHEMBL615198,,
78,9,,BAO_0000357,Expert,,,,,100121,D,1,CHEMBL615199,,
79,8,,BAO_0000357,Expert,,,,,11231,H,1,CHEMBL615200,,
80,8,,BAO_0000357,Expert,,,,,11231,H,1,CHEMBL615201,,
81,8,,BAO_0000357,Expert,,,,,11231,H,1,CHEMBL615202,,
82,8,,BAO_0000251,Autocuration,,,,Microsomes,11231,H,1,CHEMBL615203,,
83,8,,BAO_0000251,Autocuration,,,,Microsomes,11231,H,1,CHEMBL615204,,
84,8,,BAO_0000251,Autocuration,,,,Microsomes,11231,H,1,CHEMBL615205,,
85,8,,BAO_0000251,Autocuration,,,,Microsomes,11231,H,1,CHEMBL615206,,
86,8,,BAO_0000251,Autocuration,2107.0,Liver,,Microsomes,12083,H,1,CHEMBL615207,,
87,8,,BAO_0000019,Autocuration,,,,,11231,H,1,CHEMBL827084,,
88,8,,BAO_0000019,Autocuration,,,,,11231,H,1,CHEMBL615208,,
89,8,,BAO_0000019,Autocuration,,,,,11231,H,1,CHEMBL615209,,
90,9,,BAO_0000251,Autocuration,2107.0,Liver,,Microsomes,12083,D,1,CHEMBL615210,,
91,9,,BAO_0000251,Autocuration,2107.0,Liver,,Microsomes,12083,D,1,CHEMBL615211,,
92,9,,BAO_0000251,Autocuration,2107.0,Liver,,Microsomes,12083,D,1,CHEMBL615212,,
93,8,,BAO_0000357,Expert,,,,,11377,H,1,CHEMBL615213,,
94,8,,BAO_0000357,Expert,,,,,11377,H,1,CHEMBL615273,,
95,1,,BAO_0000219,Expert,,,HepG2,,81020,N,1,CHEMBL615274,726.0,
96,1,,BAO_0000219,Intermediate,,,HepG2,,81020,N,1,CHEMBL615275,726.0,
97,1,,BAO_0000219,Intermediate,,,HepG2,,81020,N,1,CHEMBL615276,726.0,
98,1,,BAO_0000219,Intermediate,,,HepG2,,81020,N,1,CHEMBL615277,726.0,
99,1,,BAO_0000219,Intermediate,,,HepG2,,81020,N,1,CHEMBL615326,726.0,
100,1,,BAO_0000218,Expert,,,,,50606,N,1,CHEMBL883130,,
101,1,,BAO_0000219,Intermediate,,,HepG2,,81020,N,1,CHEMBL884519,726.0,
102,1,,BAO_0000219,Intermediate,,,HepG2,,81020,N,1,CHEMBL615327,726.0,
103,1,,BAO_0000219,Intermediate,,,HepG2,,81020,N,1,CHEMBL615328,726.0,
104,1,,BAO_0000218,Intermediate,,,2.2.15,,50587,N,1,CHEMBL615329,,
105,1,,BAO_0000218,Intermediate,,,2.2.15,,50587,N,1,CHEMBL615330,,
106,1,,BAO_0000218,Expert,,,2.2.15,,50606,N,1,CHEMBL615331,,
107,1,,BAO_0000218,Intermediate,,,2.2.15,,50587,N,1,CHEMBL615332,,
108,1,,BAO_0000218,Intermediate,,,2.2.15,,50587,N,1,CHEMBL615333,,
109,1,,BAO_0000218,Intermediate,,,2.2.15,,50587,N,1,CHEMBL615334,,
110,1,,BAO_0000218,Intermediate,,,2.2.15,,50587,N,1,CHEMBL615335,,
111,1,,BAO_0000218,Intermediate,,,2.2.15,,50587,N,1,CHEMBL615336,,
112,1,,BAO_0000218,Intermediate,,,2.2.15,,50587,N,1,CHEMBL615337,,
113,1,,BAO_0000218,Intermediate,,,2.2.15,,50587,N,1,CHEMBL615338,,
114,1,,BAO_0000218,Intermediate,,,2.2.15,,50587,N,1,CHEMBL615339,,
115,1,,BAO_0000218,Intermediate,,,2.2.15,,50587,N,1,CHEMBL615340,,
116,1,,BAO_0000219,Intermediate,,,HepG2,,81020,N,1,CHEMBL615341,726.0,
117,0,,BAO_0000251,Autocuration,,,,Microsomes,22226,U,1,CHEMBL615342,,
118,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615343,,
119,1,,BAO_0000219,Intermediate,,,2008,,80612,N,1,CHEMBL615344,388.0,
120,1,,BAO_0000219,Intermediate,,,2008,,80612,N,1,CHEMBL615345,388.0,
121,1,,BAO_0000219,Intermediate,,,2008,,80612,N,1,CHEMBL615346,388.0,
122,1,,BAO_0000219,Intermediate,,,2008,,80612,N,1,CHEMBL615347,388.0,
123,1,,BAO_0000219,Intermediate,,,2008,,80612,N,1,CHEMBL615348,388.0,
124,1,,BAO_0000219,Intermediate,,,2008/R,,80613,N,1,CHEMBL827085,561.0,
125,1,,BAO_0000219,Intermediate,,,2008/R,,80613,N,1,CHEMBL615349,561.0,
126,1,,BAO_0000219,Intermediate,,,2008/S,,80614,N,1,CHEMBL615350,389.0,
127,1,,BAO_0000219,Intermediate,,,2008/S,,80614,N,1,CHEMBL615351,389.0,
128,2,,BAO_0000220,Expert,,,,,100256,S,1,CHEMBL615352,,
129,2,,BAO_0000220,Intermediate,,,,,100256,S,1,CHEMBL615353,,
130,2,,BAO_0000220,Expert,,,,,100256,S,1,CHEMBL615354,,
131,2,,BAO_0000220,Expert,,,,,100256,S,1,CHEMBL615355,,
132,2,,BAO_0000220,Intermediate,,,,,100256,S,1,CHEMBL615356,,
133,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615357,,
134,1,,BAO_0000219,Intermediate,,,HepG2,,81020,N,1,CHEMBL615358,726.0,
135,1,,BAO_0000219,Intermediate,,,HepG2,,81020,N,1,CHEMBL827086,726.0,
136,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615359,,
137,8,,BAO_0000357,Autocuration,,,,,235,H,1,CHEMBL615360,,
138,0,,BAO_0000218,Autocuration,948.0,Heart,,,22226,U,1,CHEMBL615361,,
139,8,,BAO_0000019,Autocuration,,,,,19640,H,1,CHEMBL615362,,
140,8,,BAO_0000019,Expert,,,,,19640,H,1,CHEMBL615363,,
141,8,,BAO_0000357,Autocuration,,,,,19640,H,1,CHEMBL615364,,
142,8,,BAO_0000019,Expert,,,,,19640,H,1,CHEMBL615365,,
143,1,,BAO_0000219,Intermediate,,,P338,,80360,N,1,CHEMBL615366,524.0,
144,1,,BAO_0000219,Intermediate,,,P338,,80360,N,1,CHEMBL615367,524.0,
145,1,,BAO_0000219,Intermediate,,,PBL,,80384,N,1,CHEMBL615368,554.0,
146,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615369,,
147,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615370,,
148,8,,BAO_0000357,Autocuration,,,,,191,H,1,CHEMBL615673,,
149,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615674,,
150,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615675,,
151,0,,BAO_0000219,Autocuration,,,CCRF-CEM,,22226,U,1,CHEMBL615676,635.0,
152,0,,BAO_0000219,Autocuration,,,CCRF-CEM,,22226,U,1,CHEMBL615677,635.0,
153,0,,BAO_0000219,Autocuration,,,CCRF-CEM,,22226,U,1,CHEMBL615678,635.0,
154,0,,BAO_0000219,Autocuration,,,CCRF-CEM,,22226,U,1,CHEMBL615679,635.0,
155,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615680,,
156,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615681,,
157,6,,BAO_0000249,Autocuration,,,,,104290,H,1,CHEMBL857972,,
158,1,,BAO_0000218,Intermediate,,,,,50264,N,1,CHEMBL857899,,
159,1,,BAO_0000218,Intermediate,,,,,50527,N,1,CHEMBL615371,,
160,1,,BAO_0000218,Expert,,,HEL,,50527,N,1,CHEMBL615372,468.0,
161,1,,BAO_0000218,Intermediate,,,,,50527,N,1,CHEMBL615373,,
162,1,,BAO_0000218,Intermediate,,,,,50527,N,1,CHEMBL615374,,
163,1,,BAO_0000218,Intermediate,,,,,50145,N,1,CHEMBL615375,,
164,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615376,,
165,8,,BAO_0000249,Expert,,,,,11143,H,1,CHEMBL615377,,
166,8,,BAO_0000357,Expert,,,,,18077,H,1,CHEMBL615378,,
167,1,,BAO_0000219,Intermediate,,,1-87 tumor cell line,,80609,N,1,CHEMBL615379,832.0,
168,9,,BAO_0000219,Expert,,,,,12166,D,1,CHEMBL615380,,
169,9,,BAO_0000357,Autocuration,,,,,100171,D,1,CHEMBL615381,,
170,9,,BAO_0000357,Autocuration,,,,,100171,D,1,CHEMBL615382,,
171,9,,BAO_0000357,Autocuration,,,,,100171,D,1,CHEMBL615383,,
172,9,,BAO_0000357,Autocuration,,,,,100171,D,1,CHEMBL615384,,
173,9,,BAO_0000357,Autocuration,,,,,100171,D,1,CHEMBL615385,,
174,9,,BAO_0000357,Autocuration,,,,,100171,D,1,CHEMBL615386,,
175,9,,BAO_0000357,Autocuration,,,,,100171,D,1,CHEMBL615387,,
176,9,,BAO_0000357,Autocuration,,,,,100171,D,1,CHEMBL615388,,
177,9,,BAO_0000357,Autocuration,,,,,100171,D,1,CHEMBL615214,,
178,9,,BAO_0000357,Autocuration,,,,,100171,D,1,CHEMBL827087,,
179,9,,BAO_0000357,Autocuration,,,,,100171,D,1,CHEMBL615215,,
180,9,,BAO_0000357,Autocuration,,,,,100171,D,1,CHEMBL615216,,
181,9,,BAO_0000357,Autocuration,,,,,100171,D,1,CHEMBL615217,,
182,9,,BAO_0000357,Autocuration,,,,,100171,D,1,CHEMBL615218,,
183,9,,BAO_0000357,Autocuration,,,,,100171,D,1,CHEMBL615219,,
184,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615220,,
185,1,,BAO_0000219,Intermediate,,,C3H 10T1/2,,80049,N,1,CHEMBL615221,294.0,
186,0,,BAO_0000019,Intermediate,,,,,22226,U,1,CHEMBL615222,,
187,8,,BAO_0000357,Autocuration,,,,,11489,H,1,CHEMBL615223,,
188,8,,BAO_0000357,Autocuration,,,,,11862,H,1,CHEMBL615224,,
189,8,,BAO_0000357,Autocuration,,,,,11862,H,1,CHEMBL615225,,
190,8,,BAO_0000357,Autocuration,,,,,11489,H,1,CHEMBL615226,,
191,8,,BAO_0000357,Autocuration,,,,,11862,H,1,CHEMBL615227,,
192,9,,BAO_0000019,Expert,,,,,12347,D,1,CHEMBL615228,,
193,9,,BAO_0000357,Expert,,,,,100120,D,1,CHEMBL615229,,
194,9,,BAO_0000357,Expert,2369.0,Adrenal gland,,,100120,D,1,CHEMBL615230,,
195,9,,BAO_0000357,Expert,,,,,100120,D,1,CHEMBL615231,,
196,9,,BAO_0000357,Expert,,,,,100120,D,1,CHEMBL884520,,
197,9,,BAO_0000357,Expert,,,,,100120,D,1,CHEMBL615232,,
198,8,,BAO_0000019,Autocuration,,,,,10328,H,1,CHEMBL615233,,
199,8,,BAO_0000357,Autocuration,,,,,11490,H,1,CHEMBL827088,,
200,8,,BAO_0000357,Autocuration,,,,,11490,H,1,CHEMBL615234,,
201,8,,BAO_0000019,Autocuration,,,,,11134,H,1,CHEMBL615235,,
202,8,,BAO_0000019,Autocuration,,,,,12052,H,1,CHEMBL615236,,
203,8,,BAO_0000019,Autocuration,,,,,11134,H,1,CHEMBL615237,,
204,8,,BAO_0000019,Autocuration,,,,,11134,H,1,CHEMBL615238,,
205,8,,BAO_0000019,Autocuration,,,,,11134,H,1,CHEMBL615239,,
206,9,,BAO_0000019,Autocuration,,,,,11134,D,1,CHEMBL615240,,
207,8,,BAO_0000019,Expert,,,,,11835,H,1,CHEMBL615241,,
208,8,,BAO_0000357,Expert,,,,,11601,H,1,CHEMBL615242,,
209,8,,BAO_0000019,Autocuration,,,,,11134,H,1,CHEMBL615243,,
210,8,,BAO_0000019,Autocuration,,,,,11134,H,1,CHEMBL615244,,
211,8,,BAO_0000019,Autocuration,,,,,11134,H,1,CHEMBL615245,,
212,8,,BAO_0000019,Autocuration,,,,,11134,H,1,CHEMBL615246,,
213,8,,BAO_0000019,Autocuration,,,,,11134,H,1,CHEMBL615247,,
214,8,,BAO_0000019,Autocuration,,,,,11134,H,1,CHEMBL615248,,
215,8,,BAO_0000357,Autocuration,,,,,11601,H,1,CHEMBL615249,,
216,8,,BAO_0000357,Autocuration,,,,,11601,H,1,CHEMBL615250,,
217,8,,BAO_0000019,Autocuration,,,,,12052,H,1,CHEMBL615251,,
218,8,,BAO_0000019,Autocuration,,,,,12052,H,1,CHEMBL615252,,
219,8,,BAO_0000019,Expert,,,,,12052,H,1,CHEMBL828340,,
220,8,,BAO_0000019,Autocuration,,,,,12052,H,1,CHEMBL615253,,
221,8,,BAO_0000019,Autocuration,,,,,12052,H,1,CHEMBL615254,,
222,8,,BAO_0000019,Autocuration,,,,,12052,H,1,CHEMBL615255,,
223,8,,BAO_0000019,Autocuration,,,,,12052,H,1,CHEMBL615256,,
224,8,,BAO_0000019,Autocuration,,,,,12052,H,1,CHEMBL615257,,
225,8,,BAO_0000019,Autocuration,,,,,12052,H,1,CHEMBL615258,,
226,1,,BAO_0000219,Intermediate,,,41M,,80007,N,1,CHEMBL615259,621.0,
227,1,,BAO_0000219,Expert,,,41M,,80007,N,1,CHEMBL615260,621.0,
228,1,,BAO_0000219,Intermediate,,,41M,,80007,N,1,CHEMBL615261,621.0,
229,1,,BAO_0000219,Intermediate,,,41M,,80007,N,1,CHEMBL615262,621.0,
230,1,,BAO_0000219,Expert,,,41M,,80007,N,1,CHEMBL615263,621.0,
231,1,,BAO_0000219,Expert,,,41M,,80007,N,1,CHEMBL838393,621.0,
232,1,,BAO_0000219,Intermediate,,,41M,,80007,N,1,CHEMBL615264,621.0,
233,9,,BAO_0000357,Expert,,,,,84,D,1,CHEMBL615265,,
234,9,,BAO_0000357,Expert,,,,,68,D,1,CHEMBL615266,,
235,8,,BAO_0000357,Expert,,,,,68,H,1,CHEMBL615267,,
236,8,,BAO_0000357,Expert,,,,,10201,H,1,CHEMBL615268,,
237,8,,BAO_0000357,Expert,,,,,10201,H,1,CHEMBL615269,,
238,8,,BAO_0000357,Expert,,,,,10201,H,1,CHEMBL615270,,
239,8,,BAO_0000357,Autocuration,,,,,12220,H,1,CHEMBL615271,,
240,8,,BAO_0000357,Autocuration,,,,,11303,H,1,CHEMBL615272,,
241,8,,BAO_0000357,Autocuration,,,,,11303,H,1,CHEMBL615103,,
242,8,,BAO_0000357,Autocuration,,,,,11303,H,1,CHEMBL615104,,
243,8,,BAO_0000357,Autocuration,,,,,12220,H,1,CHEMBL615105,,
244,8,,BAO_0000357,Autocuration,,,,,12220,H,1,CHEMBL872866,,
245,8,,BAO_0000357,Autocuration,,,,,11303,H,1,CHEMBL615106,,
246,8,,BAO_0000019,Autocuration,,,,,11303,H,1,CHEMBL615107,,
247,8,,BAO_0000357,Autocuration,,,,,11303,H,1,CHEMBL615108,,
248,8,,BAO_0000357,Autocuration,,,,,11303,H,1,CHEMBL615109,,
249,8,,BAO_0000357,Autocuration,,,,,11303,H,1,CHEMBL615110,,
250,8,,BAO_0000019,Autocuration,,,,,11303,H,1,CHEMBL840105,,
251,8,,BAO_0000019,Autocuration,,,,,11303,H,1,CHEMBL615111,,
252,8,,BAO_0000019,Autocuration,,,,,11303,H,1,CHEMBL615112,,
253,8,,BAO_0000019,Autocuration,,,,,11303,H,1,CHEMBL615113,,
254,8,,BAO_0000019,Autocuration,,,,,11303,H,1,CHEMBL615114,,
255,8,,BAO_0000357,Autocuration,,,,,11303,H,1,CHEMBL615115,,
256,8,,BAO_0000019,Autocuration,,,,,11303,H,1,CHEMBL615116,,
257,8,,BAO_0000357,Autocuration,,,,,11303,H,1,CHEMBL615698,,
258,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615699,,
259,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615700,,
260,8,,BAO_0000357,Expert,,,,,100249,H,1,CHEMBL615701,,
261,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615702,,
262,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615703,,
263,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615704,,
264,6,,BAO_0000019,Autocuration,,,,,104698,H,1,CHEMBL615705,,
265,6,,BAO_0000019,Autocuration,,,,,104698,H,1,CHEMBL615706,,
266,9,,BAO_0000221,Intermediate,2116.0,Ileum,,,20033,D,1,CHEMBL615707,,
267,8,,BAO_0000019,Expert,,,,,10623,H,1,CHEMBL615708,,
268,8,,BAO_0000357,Autocuration,,,,,121,H,1,CHEMBL615709,,
269,0,,BAO_0000218,Autocuration,,,,,22226,U,1,CHEMBL615710,,
270,8,,BAO_0000019,Autocuration,,,,,12688,H,1,CHEMBL615711,,
271,9,,BAO_0000357,Expert,,,,,121,D,1,CHEMBL615712,,
272,9,,BAO_0000357,Expert,,,,,121,D,1,CHEMBL836325,,
273,8,,BAO_0000019,Autocuration,,,,,12198,H,1,CHEMBL615713,,
274,8,,BAO_0000357,Autocuration,,,,,12198,H,1,CHEMBL615714,,
275,8,,BAO_0000019,Autocuration,,,,,12198,H,1,CHEMBL615715,,
276,8,,BAO_0000019,Autocuration,,,,,12198,H,1,CHEMBL615716,,
277,4,,BAO_0000019,Autocuration,,,,,104714,H,1,CHEMBL615717,,
278,8,,BAO_0000019,Expert,,,,,10577,H,1,CHEMBL881818,,
279,8,,BAO_0000357,Expert,,,,,105,H,1,CHEMBL884540,,
280,5,,BAO_0000224,Autocuration,,,,,104744,D,1,CHEMBL615718,,
281,4,,BAO_0000224,Autocuration,,,,,104744,H,1,CHEMBL615719,,
282,4,,BAO_0000249,Autocuration,,,,Membranes,104744,H,1,CHEMBL615720,,
283,4,,BAO_0000249,Autocuration,,,,Membranes,104744,H,1,CHEMBL615721,,
284,4,,BAO_0000019,Autocuration,,,,,104744,H,1,CHEMBL615722,,
285,8,,BAO_0000019,Autocuration,,,,,51,H,1,CHEMBL615723,,
286,8,,BAO_0000221,Autocuration,10000000.0,Hippocampus,,,51,H,1,CHEMBL615724,,
287,8,,BAO_0000221,Autocuration,10000000.0,Hippocampus,,,51,H,1,CHEMBL615725,,
288,8,,BAO_0000221,Autocuration,10000000.0,Hippocampus,,,51,H,1,CHEMBL615726,,
289,8,,BAO_0000218,Autocuration,,,,,10576,H,1,CHEMBL615727,,
290,9,,BAO_0000019,Intermediate,,,,,105570,D,1,CHEMBL615728,,
291,8,,BAO_0000219,Autocuration,,,CHO,,279,H,1,CHEMBL857971,449.0,
292,8,,BAO_0000357,Autocuration,,,,,107,H,1,CHEMBL615729,,
293,9,,BAO_0000019,Expert,,,,,12687,D,1,CHEMBL615730,,
294,8,,BAO_0000019,Expert,,,,,12687,H,1,CHEMBL615731,,
295,8,,BAO_0000019,Expert,,,,,12687,H,1,CHEMBL615732,,
296,8,,BAO_0000019,Expert,,,,,12687,H,1,CHEMBL615733,,
297,8,,BAO_0000019,Expert,,,,,12687,H,1,CHEMBL615734,,
298,8,,BAO_0000019,Autocuration,,,,,12687,H,1,CHEMBL615735,,
299,8,,BAO_0000019,Expert,,,,,12687,H,1,CHEMBL615736,,
300,9,,BAO_0000221,Intermediate,2116.0,Ileum,,,20033,D,1,CHEMBL615737,,
301,9,,BAO_0000221,Intermediate,2116.0,Ileum,,,20033,D,1,CHEMBL615738,,
302,9,,BAO_0000221,Intermediate,2116.0,Ileum,,,20033,D,1,CHEMBL615739,,
303,8,,BAO_0000357,Autocuration,,,,,10623,H,1,CHEMBL615278,,
304,9,,BAO_0000019,Expert,,,,,10623,D,1,CHEMBL615279,,
305,8,,BAO_0000357,Expert,,,,,168,H,1,CHEMBL615280,,
306,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615281,,
307,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615282,,
308,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615283,,
309,1,,BAO_0000219,Autocuration,,,HL-60,,80156,N,1,CHEMBL615284,649.0,
310,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615285,,
311,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615286,,
312,7,,BAO_0000219,Autocuration,,,Oocytes,,104703,D,1,CHEMBL615287,,
313,2,,BAO_0000220,Intermediate,,,,,100256,S,1,CHEMBL615288,,
314,2,,BAO_0000220,Intermediate,,,,,100256,S,1,CHEMBL615289,,
315,1,,BAO_0000219,Intermediate,,,A2780,,81034,N,1,CHEMBL615290,478.0,
316,1,,BAO_0000219,Intermediate,,,A2780,,81034,N,1,CHEMBL884522,478.0,
317,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615291,,
318,3,,BAO_0000225,Intermediate,,,,,22222,M,1,CHEMBL615292,,
319,3,,BAO_0000225,Intermediate,,,,,22222,M,1,CHEMBL615293,,
320,3,,BAO_0000225,Intermediate,,,,,22222,M,1,CHEMBL615294,,
321,3,,BAO_0000225,Intermediate,,,,,22222,M,1,CHEMBL615295,,
322,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL825021,,
323,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615296,,
324,0,,BAO_0000019,Autocuration,,,,,22226,U,1,CHEMBL615297,,
