assay_id,assay_category,assay_tissue,variant_id,assay_organism,chembl_id,doc_id,assay_strain,tid,curated_by,assay_tax_id,description,assay_type,assay_test_type,assay_cell_type,assay_subcellular_fraction,relationship_type
13,,,,Staphylococcus aureus,CHEMBL857900,11324,,50185,Intermediate,1280.0,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,,N
14,,,,Staphylococcus aureus,CHEMBL615129,11324,,50185,Intermediate,1280.0,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,,N
15,,,,Staphylococcus aureus,CHEMBL615130,11324,,50185,Intermediate,1280.0,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,,N
16,,,,Staphylococcus aureus,CHEMBL615131,11324,,50185,Intermediate,1280.0,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",F,,,,N
17,,,,Rattus norvegicus,CHEMBL884521,11347,,100122,Expert,10116.0,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,A,,,,D
18,,,,,CHEMBL615132,16474,,12054,Autocuration,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,H
19,,,,,CHEMBL615133,10091,,12054,Autocuration,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,B,,,,H
20,,,,,CHEMBL615134,16474,,12054,Autocuration,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,H
21,,,,,CHEMBL615135,16474,,12054,Autocuration,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),B,,,,H
22,,,,,CHEMBL615136,16474,,12054,Autocuration,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),B,,,,H
23,,,,,CHEMBL615137,16474,,12054,Autocuration,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,H
24,,,,,CHEMBL615138,16474,,12054,Autocuration,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,B,,,,H
25,,,,,CHEMBL836324,14352,,22226,Autocuration,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",B,,,,U
26,,,,Oryctolagus cuniculus,CHEMBL615139,5646,,12054,Autocuration,9986.0,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,B,,,,H
27,,,,Oryctolagus cuniculus,CHEMBL615140,5646,,12054,Autocuration,9986.0,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),B,,,,H
28,,,,,CHEMBL615141,10997,,12426,Autocuration,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,B,,,,H
29,,,,soya bean,CHEMBL615142,6309,,12054,Autocuration,3847.0,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,B,,,,H
30,,,,Glycine max,CHEMBL615143,167,,12054,Autocuration,3847.0,Inhibitory activity against soybean 15-lipoxygenase was evaluated,B,,,,H
31,,,,Glycine max,CHEMBL615144,167,,12054,Autocuration,3847.0,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,B,,,,H
32,,,,Glycine max,CHEMBL872867,11087,,12054,Autocuration,3847.0,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,,,H
33,,,,Glycine max,CHEMBL615145,11087,,12054,Autocuration,3847.0,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,,,H
34,,,,Glycine max,CHEMBL615146,13622,,12054,Autocuration,3847.0,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,,H
35,,,,Glycine max,CHEMBL615147,13622,,12054,Autocuration,3847.0,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,,H
36,,,,Rattus norvegicus,CHEMBL615148,11347,,22226,Autocuration,10116.0,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,,,U
37,,,,Escherichia coli,CHEMBL615149,5926,,22226,Autocuration,562.0,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,,,U
38,,,,,CHEMBL615150,4567,,22226,Autocuration,,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,,U
39,,,,,CHEMBL615151,3782,,22222,Intermediate,,Dissociation constant towards 16S rRNA construct A,B,,,,M
40,,,,,CHEMBL615152,3782,,22222,Intermediate,,Dissociation constant towards 16S rRNA construct B,B,,,,M
41,,,,Escherichia coli,CHEMBL615153,4466,,100263,Expert,562.0,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,,,M
42,,,,Escherichia coli,CHEMBL615154,6592,,100263,Expert,562.0,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,,,M
43,,,,,CHEMBL615155,898,,13053,Autocuration,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,H
44,,,,,CHEMBL615156,898,,13053,Autocuration,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,H
45,,,,Homo sapiens,CHEMBL615157,13163,,20001,Autocuration,9606.0,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,,H
46,,,,Homo sapiens,CHEMBL615158,13163,,20001,Autocuration,9606.0,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,,H
47,,,,Rattus norvegicus,CHEMBL615159,10691,,12971,Expert,10116.0,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,,D
48,,,,Rattus norvegicus,CHEMBL615172,10691,,12971,Expert,10116.0,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,,D
49,,,,Rattus norvegicus,CHEMBL615173,10691,,12971,Expert,10116.0,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,,D
50,,,,Rattus norvegicus,CHEMBL615174,10691,,12971,Expert,10116.0,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,,D
51,,,,,CHEMBL884518,898,,13053,Autocuration,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,H
52,,,,,CHEMBL615175,912,,11512,Autocuration,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,,H
53,,,,,CHEMBL615176,912,,11512,Autocuration,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,,H
54,,,,,CHEMBL615177,912,,11512,Autocuration,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,,H
55,,,,Rattus norvegicus,CHEMBL615178,15103,,104740,Autocuration,10116.0,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,,Membranes,D
56,,,,Homo sapiens,CHEMBL615179,5116,,80002,Intermediate,9606.0,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,1A9,,N
57,,,,Rattus norvegicus,CHEMBL615180,14578,,104835,Autocuration,10116.0,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,Oocytes,,D
58,,,,Rattus norvegicus,CHEMBL615181,14578,,104821,Autocuration,10116.0,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,Oocytes,,D
59,,,,Rattus norvegicus,CHEMBL615182,14578,,104848,Autocuration,10116.0,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,Oocytes,,D
60,,,,Homo sapiens,CHEMBL615183,4787,,80002,Expert,9606.0,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,1A9,,N
61,,,,Homo sapiens,CHEMBL615184,4787,,80002,Intermediate,9606.0,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,1A9,,N
62,,,,Homo sapiens,CHEMBL615185,3547,,80002,Intermediate,9606.0,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,1A9,,N
63,,,,Homo sapiens,CHEMBL615186,3547,,80002,Intermediate,9606.0,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,1A9,,N
64,,,,Homo sapiens,CHEMBL615187,6726,,80002,Intermediate,9606.0,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,1A9,,N
65,,,,Homo sapiens,CHEMBL885343,3455,,80002,Expert,9606.0,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,1A9,,N
66,,,,Homo sapiens,CHEMBL615188,5726,,80002,Intermediate,9606.0,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,1A9,,N
67,,,,Homo sapiens,CHEMBL615189,5726,,80002,Intermediate,9606.0,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,1A9,,N
68,,,,Homo sapiens,CHEMBL615190,5726,,80002,Intermediate,9606.0,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,1A9,,N
69,,,,Homo sapiens,CHEMBL615191,3395,,80002,Intermediate,9606.0,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,1A9,,N
70,,,,Homo sapiens,CHEMBL615192,3415,,80002,Expert,9606.0,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,1A9,,N
71,,,,Homo sapiens,CHEMBL827083,3415,,80002,Expert,9606.0,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,1A9,,N
72,,,,Homo sapiens,CHEMBL615193,17099,,80002,Expert,9606.0,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,1A9,,N
73,,,,Homo sapiens,CHEMBL615194,17099,,80002,Intermediate,9606.0,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,1A9,,N
74,,,,Homo sapiens,CHEMBL615195,17099,,80002,Intermediate,9606.0,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,1A9,,N
75,,,,Homo sapiens,CHEMBL615196,17099,,80002,Intermediate,9606.0,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,1A9,,N
76,,,,Homo sapiens,CHEMBL615197,17721,,81072,Intermediate,9606.0,Inhibitory concentration against Jurkat cells,F,,Jurkat,,N
77,,,,,CHEMBL615198,1229,,22226,Intermediate,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,U
78,,,,Rattus norvegicus,CHEMBL615199,11347,,100121,Expert,10116.0,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,,,D
79,,,,,CHEMBL615200,17117,,11231,Expert,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,H
80,,,,,CHEMBL615201,17117,,11231,Expert,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,H
81,,,,,CHEMBL615202,17117,,11231,Expert,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,H
82,,,,Candida albicans,CHEMBL615203,11375,,11231,Autocuration,5476.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,,Microsomes,H
83,,,,Candida albicans,CHEMBL615204,11375,,11231,Autocuration,5476.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,,Microsomes,H
84,,,,Saccharomyces cerevisiae,CHEMBL615205,11375,,11231,Autocuration,4932.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,,Microsomes,H
85,,,,Saccharomyces cerevisiae,CHEMBL615206,11375,,11231,Autocuration,4932.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,,Microsomes,H
86,,Liver,,Sus scrofa,CHEMBL615207,11375,,12083,Autocuration,9823.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,,Microsomes,H
87,,,,Rattus norvegicus,CHEMBL827084,791,,11231,Autocuration,10116.0,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,,,H
88,,,,Rattus norvegicus,CHEMBL615208,791,,11231,Autocuration,10116.0,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,,,H
89,,,,Rattus norvegicus,CHEMBL615209,791,,11231,Autocuration,10116.0,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,,,H
90,,Liver,,Rattus norvegicus,CHEMBL615210,11375,,12083,Autocuration,10116.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,,Microsomes,D
91,,Liver,,Rattus norvegicus,CHEMBL615211,11375,,12083,Autocuration,10116.0,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Microsomes,D
92,,Liver,,Rattus norvegicus,CHEMBL615212,153,,12083,Autocuration,10116.0,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Microsomes,D
93,,,,,CHEMBL615213,8269,,11377,Expert,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,H
94,,,,,CHEMBL615273,8269,,11377,Expert,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,H
95,,,,Homo sapiens,CHEMBL615274,17653,,81020,Expert,9606.0,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,HepG2,,N
96,,,,Homo sapiens,CHEMBL615275,14277,,81020,Intermediate,9606.0,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,HepG2,,N
97,,,,Homo sapiens,CHEMBL615276,1717,,81020,Intermediate,9606.0,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,HepG2,,N
98,,,,Homo sapiens,CHEMBL615277,14091,,81020,Intermediate,9606.0,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,HepG2,,N
99,,,,Homo sapiens,CHEMBL615326,14091,,81020,Intermediate,9606.0,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,HepG2,,N
100,,,,Hepatitis B virus,CHEMBL883130,17653,,50606,Expert,10407.0,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,,N
101,,,,Homo sapiens,CHEMBL884519,13105,,81020,Intermediate,9606.0,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,HepG2,,N
102,,,,Homo sapiens,CHEMBL615327,1717,,81020,Intermediate,9606.0,Concentration required to inhibit 50% of 2.2.15 cell line,F,,HepG2,,N
103,,,,Homo sapiens,CHEMBL615328,13105,,81020,Intermediate,9606.0,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,HepG2,,N
104,,,,Homo sapiens,CHEMBL615329,13600,,50587,Intermediate,9606.0,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,2.2.15,,N
105,,,,Homo sapiens,CHEMBL615330,13467,,50587,Intermediate,9606.0,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,2.2.15,,N
106,,,,Hepatitis B virus,CHEMBL615331,17477,,50606,Expert,10407.0,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,2.2.15,,N
107,,,,Homo sapiens,CHEMBL615332,1593,,50587,Intermediate,9606.0,In vitro anti-HBV activity in 2.2.15 cells,F,,2.2.15,,N
108,,,,Homo sapiens,CHEMBL615333,1593,,50587,Intermediate,9606.0,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,2.2.15,,N
109,,,,Homo sapiens,CHEMBL615334,15089,,50587,Intermediate,9606.0,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,2.2.15,,N
110,,,,Homo sapiens,CHEMBL615335,15089,,50587,Intermediate,9606.0,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,2.2.15,,N
111,,,,Homo sapiens,CHEMBL615336,1593,,50587,Intermediate,9606.0,Cytotoxicity in 2.2.15 cells,F,,2.2.15,,N
112,,,,Homo sapiens,CHEMBL615337,1593,,50587,Intermediate,9606.0,Cytotoxicity in 2.2.15 cells; Not determined,F,,2.2.15,,N
113,,,,Homo sapiens,CHEMBL615338,13600,,50587,Intermediate,9606.0,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,2.2.15,,N
114,,,,Homo sapiens,CHEMBL615339,13467,,50587,Intermediate,9606.0,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,2.2.15,,N
115,,,,Homo sapiens,CHEMBL615340,13467,,50587,Intermediate,9606.0,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,2.2.15,,N
116,,,,Homo sapiens,CHEMBL615341,14764,,81020,Intermediate,9606.0,Antiviral activity against HBV was determined in 2.215 cell line,F,,HepG2,,N
117,,,,Homo sapiens,CHEMBL615342,6531,,22226,Autocuration,9606.0,Inhibition of 20-HETE synthesis in human renal microsomes,B,,,Microsomes,U
118,,,,,CHEMBL615343,17322,,22226,Autocuration,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,U
119,,,,Homo sapiens,CHEMBL615344,17072,,80612,Intermediate,9606.0,Inhibitory concentration against 2008 (ovarian) cells,F,,2008,,N
120,,,,Homo sapiens,CHEMBL615345,16936,,80612,Intermediate,9606.0,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,2008,,N
121,,,,Homo sapiens,CHEMBL615346,16936,,80612,Intermediate,9606.0,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,2008,,N
122,,,,Homo sapiens,CHEMBL615347,17146,,80612,Intermediate,9606.0,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,2008,,N
123,,,,Homo sapiens,CHEMBL615348,17146,,80612,Intermediate,9606.0,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,2008,,N
124,,,,Homo sapiens,CHEMBL827085,10797,,80613,Intermediate,9606.0,In vitro inhibition of 2008/R ovarian cancer cell line,F,,2008/R,,N
125,,,,Homo sapiens,CHEMBL615349,10797,,80613,Intermediate,9606.0,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,2008/R,,N
126,,,,Homo sapiens,CHEMBL615350,10797,,80614,Intermediate,9606.0,In vitro inhibition of 2008/S ovarian cancer cell line,F,,2008/S,,N
127,,,,Homo sapiens,CHEMBL615351,10797,,80614,Intermediate,9606.0,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,2008/S,,N
128,,,,Homo sapiens,CHEMBL615352,4823,,100256,Expert,9606.0,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,,,S
129,,,,Homo sapiens,CHEMBL615353,12912,,100256,Intermediate,9606.0,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,B,,,,S
130,,,,,CHEMBL615354,2957,,100256,Expert,,Inhibition of chymotrypsin-like activity of 20S proteasome,B,,,,S
131,,,,,CHEMBL615355,2957,,100256,Expert,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,B,,,,S
132,,,,,CHEMBL615356,3260,,100256,Intermediate,,Inhibitory activity against 20S proteosome,B,,,,S
133,,,,Homo sapiens,CHEMBL615357,3451,,22226,Autocuration,9606.0,Compound was tested for inhibitory activity against tryptase,B,,,,U
134,,,,Homo sapiens,CHEMBL615358,13885,,81020,Intermediate,9606.0,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,F,,HepG2,,N
135,,,,Homo sapiens,CHEMBL827086,13885,,81020,Intermediate,9606.0,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,F,,HepG2,,N
136,,,,,CHEMBL615359,3676,,22226,Autocuration,,Compound was tested for the inhibition of Alpha-glucosidase,B,,,,U
137,,,,,CHEMBL615360,6043,,235,Autocuration,,Inhibitory concentration against human neutrophil elastase (HNE),B,,,,H
138,,Heart,,Rattus norvegicus,CHEMBL615361,11140,,22226,Autocuration,10116.0,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,F,,,,U
139,,,,,CHEMBL615362,10543,,19640,Autocuration,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,H
140,,,,,CHEMBL615363,10543,,19640,Expert,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,H
141,,,,,CHEMBL615364,10543,,19640,Autocuration,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,B,,,,H
142,,,,,CHEMBL615365,10543,,19640,Expert,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,F,,,,H
143,,,,Mus musculus,CHEMBL615366,11365,,80360,Intermediate,10090.0,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,F,,P338,,N
144,,,,Mus musculus,CHEMBL615367,11365,,80360,Intermediate,10090.0,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,F,,P338,,N
145,,,,Homo sapiens,CHEMBL615368,11803,,80384,Intermediate,9606.0,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,F,,PBL,,N
146,,,,Ovis aries,CHEMBL615369,11803,,22226,Autocuration,9940.0,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,F,,,,U
147,,,,Ovis aries,CHEMBL615370,11803,,22226,Autocuration,9940.0,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,F,,,,U
148,,,,,CHEMBL615673,12278,,191,Autocuration,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),B,,,,H
149,,,,Homo sapiens,CHEMBL615674,8249,,22226,Autocuration,9606.0,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,F,,,,U
150,,,,Homo sapiens,CHEMBL615675,8249,,22226,Autocuration,9606.0,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,,,U
151,,,,Homo sapiens,CHEMBL615676,8249,,22226,Autocuration,9606.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,CCRF-CEM,,U
152,,,,Homo sapiens,CHEMBL615677,8249,,22226,Autocuration,9606.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,CCRF-CEM,,U
153,,,,Homo sapiens,CHEMBL615678,8249,,22226,Autocuration,9606.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,CCRF-CEM,,U
154,,,,Homo sapiens,CHEMBL615679,8249,,22226,Autocuration,9606.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,CCRF-CEM,,U
155,,,,Homo sapiens,CHEMBL615680,8249,,22226,Autocuration,9606.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,,,U
156,,,,Homo sapiens,CHEMBL615681,8249,,22226,Autocuration,9606.0,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,,,U
157,,,,,CHEMBL857972,16992,,104290,Autocuration,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,H
158,,,,Streptococcus pyogenes,CHEMBL857899,10543,,50264,Intermediate,1314.0,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,,,N
159,,,,Human herpesvirus 3,CHEMBL615371,17833,,50527,Intermediate,10335.0,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,,,N
160,,,,vericilla zoster virus,CHEMBL615372,17290,,50527,Expert,10335.0,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,HEL,,N
161,,,,vericilla zoster virus,CHEMBL615373,17290,,50527,Intermediate,10335.0,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,,,N
162,,,,vericilla zoster virus,CHEMBL615374,17290,,50527,Intermediate,10335.0,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,,,N
163,,,,escherichia cloac,CHEMBL615375,10932,,50145,Intermediate,561.0,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,,,N
