assays_ASSI,assays_BFOR,assays_Descri,assays_TISI,assays_RELAT,assays_SI,assays_ASSCET,assays_CHI,assays_ASTET,assays_T,assays_DI,assays_ASSUBCEFR,assays_ASTIS,assays_ASSTY,assays_ASSST,assays_ASSCAT,assays_CURAB,assays_SASI,assays_CI,assays_VARI
15,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,N,1,,CHEMBL615130,,50185,11324,,,F,,,Intermediate,,,
16,BAO_0000218,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",,N,1,,CHEMBL615131,,50185,11324,,,F,,,Intermediate,,,
17,BAO_0000357,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,,D,1,,CHEMBL884521,,100122,11347,,,A,,,Expert,,,
18,BAO_0000357,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),,H,1,,CHEMBL615132,,12054,16474,,,B,,,Autocuration,,,
19,BAO_0000019,Inhibition of partially purified 15-lipoxygenase from human leukocytes,,H,1,,CHEMBL615133,,12054,10091,,,B,,,Autocuration,,,
20,BAO_0000357,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,H,1,,CHEMBL615134,,12054,16474,,,B,,,Autocuration,,,
21,BAO_0000357,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),,H,1,,CHEMBL615135,,12054,16474,,,B,,,Autocuration,,,
22,BAO_0000357,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),,H,1,,CHEMBL615136,,12054,16474,,,B,,,Autocuration,,,
23,BAO_0000357,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,H,1,,CHEMBL615137,,12054,16474,,,B,,,Autocuration,,,
24,BAO_0000357,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,,H,1,,CHEMBL615138,,12054,16474,,,B,,,Autocuration,,,
25,BAO_0000219,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",,U,1,,CHEMBL836324,,22226,14352,,,B,,,Autocuration,,,
26,BAO_0000357,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,,H,1,,CHEMBL615139,,12054,5646,,,B,,,Autocuration,,,
27,BAO_0000357,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),,H,1,,CHEMBL615140,,12054,5646,,,B,,,Autocuration,,,
28,BAO_0000219,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,,H,1,,CHEMBL615141,,12426,10997,,,B,,,Autocuration,,,
29,BAO_0000357,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,,H,1,,CHEMBL615142,,12054,6309,,,B,,,Autocuration,,,
30,BAO_0000357,Inhibitory activity against soybean 15-lipoxygenase was evaluated,,H,1,,CHEMBL615143,,12054,167,,,B,,,Autocuration,,,
31,BAO_0000357,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,,H,1,,CHEMBL615144,,12054,167,,,B,,,Autocuration,,,
32,BAO_0000357,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,,H,1,,CHEMBL872867,,12054,11087,,,B,,,Autocuration,,,
33,BAO_0000357,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,,H,1,,CHEMBL615145,,12054,11087,,,B,,,Autocuration,,,
34,BAO_0000357,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,,H,1,,CHEMBL615146,,12054,13622,,,B,,,Autocuration,,,
35,BAO_0000357,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,,H,1,,CHEMBL615147,,12054,13622,,,B,,,Autocuration,,,
36,BAO_0000019,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,,U,1,,CHEMBL615148,,22226,11347,,,A,,,Autocuration,,,
37,BAO_0000019,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,,U,1,,CHEMBL615149,,22226,5926,,,B,,,Autocuration,,,
38,BAO_0000019,Dissociation constant with dimeric 16S rRNA RNA construct B,,U,1,,CHEMBL615150,,22226,4567,,,B,,,Autocuration,,,
39,BAO_0000225,Dissociation constant towards 16S rRNA construct A,,M,1,,CHEMBL615151,,22222,3782,,,B,,,Intermediate,,,
40,BAO_0000225,Dissociation constant towards 16S rRNA construct B,,M,1,,CHEMBL615152,,22222,3782,,,B,,,Intermediate,,,
41,BAO_0000225,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,,M,1,,CHEMBL615153,,100263,4466,,,B,,,Expert,,,
42,BAO_0000225,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,,M,1,,CHEMBL615154,,100263,6592,,,B,,,Expert,,,
43,BAO_0000019,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,H,1,,CHEMBL615155,,13053,898,,,B,,,Autocuration,,,
44,BAO_0000019,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,H,1,,CHEMBL615156,,13053,898,,,B,,,Autocuration,,,
45,BAO_0000019,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,H,1,,CHEMBL615157,,20001,13163,,,B,,,Autocuration,,,
46,BAO_0000019,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,,H,1,,CHEMBL615158,,20001,13163,,,B,,,Autocuration,,,
47,BAO_0000019,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,D,1,,CHEMBL615159,,12971,10691,,,B,,,Expert,,,
48,BAO_0000019,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",,D,1,,CHEMBL615172,,12971,10691,,,B,,,Expert,,,
49,BAO_0000019,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,D,1,,CHEMBL615173,,12971,10691,,,B,,,Expert,,,
50,BAO_0000019,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",,D,1,,CHEMBL615174,,12971,10691,,,B,,,Expert,,,
51,BAO_0000019,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),,H,1,,CHEMBL884518,,13053,898,,,B,,,Autocuration,,,
52,BAO_0000357,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),,H,1,,CHEMBL615175,,11512,912,,,B,,,Autocuration,,,
53,BAO_0000357,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,,H,1,,CHEMBL615176,,11512,912,,,B,,,Autocuration,,,
54,BAO_0000357,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,,H,1,,CHEMBL615177,,11512,912,,,B,,,Autocuration,,,
55,BAO_0000249,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,,D,1,,CHEMBL615178,,104740,15103,Membranes,,B,,,Autocuration,,,
56,BAO_0000219,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,,N,1,1A9,CHEMBL615179,,80002,5116,,,F,,,Intermediate,,506.0,
57,BAO_0000219,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,,D,1,Oocytes,CHEMBL615180,,104835,14578,,,F,,,Autocuration,,,
58,BAO_0000219,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,,D,1,Oocytes,CHEMBL615181,,104821,14578,,,F,,,Autocuration,,,
59,BAO_0000219,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,,D,1,Oocytes,CHEMBL615182,,104848,14578,,,F,,,Autocuration,,,
60,BAO_0000219,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,,N,1,1A9,CHEMBL615183,,80002,4787,,,F,,,Expert,,506.0,
61,BAO_0000219,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,,N,1,1A9,CHEMBL615184,,80002,4787,,,F,,,Intermediate,,506.0,
62,BAO_0000219,Cytotoxic activity against human ovarian cancer (1A9) cell line,,N,1,1A9,CHEMBL615185,,80002,3547,,,F,,,Intermediate,,506.0,
63,BAO_0000219,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,,N,1,1A9,CHEMBL615186,,80002,3547,,,F,,,Intermediate,,506.0,
64,BAO_0000219,Effective dose of compound against replication of 1A9 cell line was evaluated,,N,1,1A9,CHEMBL615187,,80002,6726,,,F,,,Intermediate,,506.0,
65,BAO_0000219,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,,N,1,1A9,CHEMBL885343,,80002,3455,,,F,,,Expert,,506.0,
66,BAO_0000219,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),,N,1,1A9,CHEMBL615188,,80002,5726,,,F,,,Intermediate,,506.0,
67,BAO_0000219,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,,N,1,1A9,CHEMBL615189,,80002,5726,,,F,,,Intermediate,,506.0,
68,BAO_0000219,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,,N,1,1A9,CHEMBL615190,,80002,5726,,,F,,,Intermediate,,506.0,
69,BAO_0000219,Inhibitory activity against Taxol resistant 1A9 cell lines,,N,1,1A9,CHEMBL615191,,80002,3395,,,F,,,Intermediate,,506.0,
70,BAO_0000219,Cytotoxicity against human ovarian cancer (1A9) cell lines.,,N,1,1A9,CHEMBL615192,,80002,3415,,,F,,,Expert,,506.0,
71,BAO_0000219,Percentage inhibition of human ovarian cancer (1A9) cell lines.,,N,1,1A9,CHEMBL827083,,80002,3415,,,F,,,Expert,,506.0,
72,BAO_0000219,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,,N,1,1A9,CHEMBL615193,,80002,17099,,,F,,,Expert,,506.0,
73,BAO_0000219,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,,N,1,1A9,CHEMBL615194,,80002,17099,,,F,,,Intermediate,,506.0,
74,BAO_0000219,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,,N,1,1A9,CHEMBL615195,,80002,17099,,,F,,,Intermediate,,506.0,
75,BAO_0000219,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,,N,1,1A9,CHEMBL615196,,80002,17099,,,F,,,Intermediate,,506.0,
76,BAO_0000219,Inhibitory concentration against Jurkat cells,,N,1,Jurkat,CHEMBL615197,,81072,17721,,,F,,,Intermediate,,503.0,
77,BAO_0000019,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,,U,1,,CHEMBL615198,,22226,1229,,,F,,,Intermediate,,,
78,BAO_0000357,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,,D,1,,CHEMBL615199,,100121,11347,,,A,,,Expert,,,
79,BAO_0000357,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,H,1,,CHEMBL615200,,11231,17117,,,B,,,Expert,,,
80,BAO_0000357,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",,H,1,,CHEMBL615201,,11231,17117,,,B,,,Expert,,,
81,BAO_0000357,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",,H,1,,CHEMBL615202,,11231,17117,,,B,,,Expert,,,
82,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",,H,1,,CHEMBL615203,,11231,11375,Microsomes,,B,,,Autocuration,,,
83,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",,H,1,,CHEMBL615204,,11231,11375,Microsomes,,B,,,Autocuration,,,
84,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",,H,1,,CHEMBL615205,,11231,11375,Microsomes,,B,,,Autocuration,,,
85,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",,H,1,,CHEMBL615206,,11231,11375,Microsomes,,B,,,Autocuration,,,
86,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",2107.0,H,1,,CHEMBL615207,,12083,11375,Microsomes,Liver,B,,,Autocuration,,,
87,BAO_0000019,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",,H,1,,CHEMBL827084,,11231,791,,,B,,,Autocuration,,,
88,BAO_0000019,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",,H,1,,CHEMBL615208,,11231,791,,,B,,,Autocuration,,,
89,BAO_0000019,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",,H,1,,CHEMBL615209,,11231,791,,,B,,,Autocuration,,,
90,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",2107.0,D,1,,CHEMBL615210,,12083,11375,Microsomes,Liver,B,,,Autocuration,,,
91,BAO_0000251,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",2107.0,D,1,,CHEMBL615211,,12083,11375,Microsomes,Liver,B,,,Autocuration,,,
92,BAO_0000251,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",2107.0,D,1,,CHEMBL615212,,12083,153,Microsomes,Liver,B,,,Autocuration,,,
93,BAO_0000357,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),,H,1,,CHEMBL615213,,11377,8269,,,B,,,Expert,,,
94,BAO_0000357,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,,H,1,,CHEMBL615273,,11377,8269,,,B,,,Expert,,,
95,BAO_0000219,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,N,1,HepG2,CHEMBL615274,,81020,17653,,,F,,,Expert,,726.0,
96,BAO_0000219,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,,N,1,HepG2,CHEMBL615275,,81020,14277,,,F,,,Intermediate,,726.0,
97,BAO_0000219,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,,N,1,HepG2,CHEMBL615276,,81020,1717,,,F,,,Intermediate,,726.0,
98,BAO_0000219,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,,N,1,HepG2,CHEMBL615277,,81020,14091,,,F,,,Intermediate,,726.0,
99,BAO_0000219,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,,N,1,HepG2,CHEMBL615326,,81020,14091,,,F,,,Intermediate,,726.0,
100,BAO_0000218,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,,N,1,,CHEMBL883130,,50606,17653,,,F,,,Expert,,,
101,BAO_0000219,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,,N,1,HepG2,CHEMBL884519,,81020,13105,,,F,,,Intermediate,,726.0,
102,BAO_0000219,Concentration required to inhibit 50% of 2.2.15 cell line,,N,1,HepG2,CHEMBL615327,,81020,1717,,,F,,,Intermediate,,726.0,
103,BAO_0000219,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,,N,1,HepG2,CHEMBL615328,,81020,13105,,,A,,,Intermediate,,726.0,
104,BAO_0000218,Cytotoxic activity of compound against uninfected 2.2.15 cells.,,N,1,2.2.15,CHEMBL615329,,50587,13600,,,F,,,Intermediate,,,
105,BAO_0000218,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,,N,1,2.2.15,CHEMBL615330,,50587,13467,,,F,,,Intermediate,,,
106,BAO_0000218,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",,N,1,2.2.15,CHEMBL615331,,50606,17477,,,F,,,Expert,,,
107,BAO_0000218,In vitro anti-HBV activity in 2.2.15 cells,,N,1,2.2.15,CHEMBL615332,,50587,1593,,,F,,,Intermediate,,,
108,BAO_0000218,In vitro anti-HBV activity in 2.2.15 cells; Not determined,,N,1,2.2.15,CHEMBL615333,,50587,1593,,,F,,,Intermediate,,,
109,BAO_0000218,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,,N,1,2.2.15,CHEMBL615334,,50587,15089,,,F,,,Intermediate,,,
110,BAO_0000218,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,,N,1,2.2.15,CHEMBL615335,,50587,15089,,,F,,,Intermediate,,,
111,BAO_0000218,Cytotoxicity in 2.2.15 cells,,N,1,2.2.15,CHEMBL615336,,50587,1593,,,F,,,Intermediate,,,
112,BAO_0000218,Cytotoxicity in 2.2.15 cells; Not determined,,N,1,2.2.15,CHEMBL615337,,50587,1593,,,F,,,Intermediate,,,
113,BAO_0000218,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,,N,1,2.2.15,CHEMBL615338,,50587,13600,,,F,,,Intermediate,,,
114,BAO_0000218,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,,N,1,2.2.15,CHEMBL615339,,50587,13467,,,F,,,Intermediate,,,
115,BAO_0000218,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,,N,1,2.2.15,CHEMBL615340,,50587,13467,,,F,,,Intermediate,,,
116,BAO_0000219,Antiviral activity against HBV was determined in 2.215 cell line,,N,1,HepG2,CHEMBL615341,,81020,14764,,,F,,,Intermediate,,726.0,
117,BAO_0000251,Inhibition of 20-HETE synthesis in human renal microsomes,,U,1,,CHEMBL615342,,22226,6531,Microsomes,,B,,,Autocuration,,,
118,BAO_0000019,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,,U,1,,CHEMBL615343,,22226,17322,,,B,,,Autocuration,,,
119,BAO_0000219,Inhibitory concentration against 2008 (ovarian) cells,,N,1,2008,CHEMBL615344,,80612,17072,,,F,,,Intermediate,,388.0,
120,BAO_0000219,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,,N,1,2008,CHEMBL615345,,80612,16936,,,F,,,Intermediate,,388.0,
121,BAO_0000219,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),,N,1,2008,CHEMBL615346,,80612,16936,,,F,,,Intermediate,,388.0,
122,BAO_0000219,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,,N,1,2008,CHEMBL615347,,80612,17146,,,F,,,Intermediate,,388.0,
123,BAO_0000219,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,,N,1,2008,CHEMBL615348,,80612,17146,,,F,,,Intermediate,,388.0,
124,BAO_0000219,In vitro inhibition of 2008/R ovarian cancer cell line,,N,1,2008/R,CHEMBL827085,,80613,10797,,,F,,,Intermediate,,561.0,
125,BAO_0000219,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,,N,1,2008/R,CHEMBL615349,,80613,10797,,,F,,,Intermediate,,561.0,
126,BAO_0000219,In vitro inhibition of 2008/S ovarian cancer cell line,,N,1,2008/S,CHEMBL615350,,80614,10797,,,F,,,Intermediate,,389.0,
127,BAO_0000219,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,,N,1,2008/S,CHEMBL615351,,80614,10797,,,F,,,Intermediate,,389.0,
128,BAO_0000220,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,,S,1,,CHEMBL615352,,100256,4823,,,B,,,Expert,,,
129,BAO_0000220,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,,S,1,,CHEMBL615353,,100256,12912,,,B,,,Intermediate,,,
130,BAO_0000220,Inhibition of chymotrypsin-like activity of 20S proteasome,,S,1,,CHEMBL615354,,100256,2957,,,B,,,Expert,,,
131,BAO_0000220,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,,S,1,,CHEMBL615355,,100256,2957,,,B,,,Expert,,,
132,BAO_0000220,Inhibitory activity against 20S proteosome,,S,1,,CHEMBL615356,,100256,3260,,,B,,,Intermediate,,,
133,BAO_0000019,Compound was tested for inhibitory activity against tryptase,,U,1,,CHEMBL615357,,22226,3451,,,B,,,Autocuration,,,
134,BAO_0000219,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,,N,1,HepG2,CHEMBL615358,,81020,13885,,,F,,,Intermediate,,726.0,
135,BAO_0000219,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,,N,1,HepG2,CHEMBL827086,,81020,13885,,,F,,,Intermediate,,726.0,
136,BAO_0000019,Compound was tested for the inhibition of Alpha-glucosidase,,U,1,,CHEMBL615359,,22226,3676,,,B,,,Autocuration,,,
137,BAO_0000357,Inhibitory concentration against human neutrophil elastase (HNE),,H,1,,CHEMBL615360,,235,6043,,,B,,,Autocuration,,,
138,BAO_0000218,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,948.0,U,1,,CHEMBL615361,,22226,11140,,Heart,F,,,Autocuration,,,
139,BAO_0000019,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,H,1,,CHEMBL615362,,19640,10543,,,F,,,Autocuration,,,
140,BAO_0000019,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,H,1,,CHEMBL615363,,19640,10543,,,F,,,Expert,,,
141,BAO_0000357,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,,H,1,,CHEMBL615364,,19640,10543,,,B,,,Autocuration,,,
142,BAO_0000019,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,,H,1,,CHEMBL615365,,19640,10543,,,F,,,Expert,,,
143,BAO_0000219,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,,N,1,P338,CHEMBL615366,,80360,11365,,,F,,,Intermediate,,524.0,
144,BAO_0000219,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,,N,1,P338,CHEMBL615367,,80360,11365,,,F,,,Intermediate,,524.0,
145,BAO_0000219,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,,N,1,PBL,CHEMBL615368,,80384,11803,,,F,,,Intermediate,,554.0,
146,BAO_0000019,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,,U,1,,CHEMBL615369,,22226,11803,,,F,,,Autocuration,,,
147,BAO_0000019,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,,U,1,,CHEMBL615370,,22226,11803,,,F,,,Autocuration,,,
148,BAO_0000357,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),,H,1,,CHEMBL615673,,191,12278,,,B,,,Autocuration,,,
149,BAO_0000019,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,,U,1,,CHEMBL615674,,22226,8249,,,F,,,Autocuration,,,
150,BAO_0000019,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,,U,1,,CHEMBL615675,,22226,8249,,,F,,,Autocuration,,,
151,BAO_0000219,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,,U,1,CCRF-CEM,CHEMBL615676,,22226,8249,,,F,,,Autocuration,,635.0,
152,BAO_0000219,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,,U,1,CCRF-CEM,CHEMBL615677,,22226,8249,,,F,,,Autocuration,,635.0,
153,BAO_0000219,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,,U,1,CCRF-CEM,CHEMBL615678,,22226,8249,,,F,,,Autocuration,,635.0,
154,BAO_0000219,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,,U,1,CCRF-CEM,CHEMBL615679,,22226,8249,,,F,,,Autocuration,,635.0,
155,BAO_0000019,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,,U,1,,CHEMBL615680,,22226,8249,,,F,,,Autocuration,,,
