FiYe,CIDABusDeliMod,CoReID,Bio,OrganN,DivID,ProPr,DiviN,ContiID,SecID,PrNum,TrDev,BraN,ContiN,CounRegPer,UrIs,ChIss,YoIss,IndiIss,DisIs,ICTAAToFoDev,KnoFoDevelo,GeEq,OrgaID,OrgTy,OrgCl,OrgS,ProjBrCoID,CoReNa,SeID,SecN,SePerc,AmoSpe
2009/2010,Responsive,TD,0,WFP - World Food Programme,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,2,S5320,M013180001,0,MFM Global Issues and Development,Africa,1.0,0,0,0,0,0,0,0,1,1001721,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,TD,Chad,72040,Emergency food aid,1.0,6500000.0
2009/2010,Responsive,SD,0,WFP - World Food Programme,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,2,S5320,M013181001,0,MFM Global Issues and Development,Africa,1.0,0,0,0,0,0,0,0,0,1001721,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,SD,Sudan,72040,Emergency food aid,1.0,3950000.0
2009/2010,Core Funding,X1,0,UNHCR - United Nations High Commissioner for Refugees,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,2,S5330,M013182001,0,MFM Global Issues and Development,Africa,0.45,0,0,0,0,0,0,0,1,1001730,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,X1,Africa MC,72010,Material relief assistance and services,1.0,6300000.0
2009/2010,Core Funding,X2,0,UNHCR - United Nations High Commissioner for Refugees,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,1,S5330,M013182001,0,MFM Global Issues and Development,America,0.05,0,0,0,0,0,0,0,1,1001730,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,X2,Americas MC,72010,Material relief assistance and services,1.0,700000.0
2009/2010,Core Funding,X3,0,UNHCR - United Nations High Commissioner for Refugees,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,3,S5330,M013182001,0,MFM Global Issues and Development,Asia,0.45,0,0,0,0,0,0,0,1,1001730,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,X3,Asia MC,72010,Material relief assistance and services,1.0,6300000.0
2009/2010,Core Funding,X4,0,UNHCR - United Nations High Commissioner for Refugees,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,5,S5330,M013182001,0,MFM Global Issues and Development,Europe,0.05,0,0,0,0,0,0,0,1,1001730,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,X4,Europe MC,72010,Material relief assistance and services,1.0,700000.0
2009/2010,Responsive,X3,0,ICRC Appeals via CRCS,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,3,S5320,M013183001,0,MFM Global Issues and Development,Asia,1.0,0,0,0,0,0,0,0,0,1014663,Canadian Non-Profit Making,Civil Society,INTERNATIONAL NGO,X3,Asia MC,72010,Material relief assistance and services,1.0,500000.0
2009/2010,Responsive,X1,0,OCHA - Office for the Coordination of Humanitarian Affairs,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,2,S5320,M013184001,0,MFM Global Issues and Development,Africa,0.5,0,0,0,0,0,0,0,0,1003586,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,X1,Africa MC,72050,Relief co-ordination; protection and support services,1.0,1350000.0
2009/2010,Responsive,X2,0,OCHA - Office for the Coordination of Humanitarian Affairs,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,1,S5320,M013184001,0,MFM Global Issues and Development,America,0.15,0,0,0,0,0,0,0,0,1003586,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,X2,Americas MC,72050,Relief co-ordination; protection and support services,1.0,405000.0
2009/2010,Responsive,X3,0,OCHA - Office for the Coordination of Humanitarian Affairs,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,3,S5320,M013184001,0,MFM Global Issues and Development,Asia,0.3,0,0,0,0,0,0,0,0,1003586,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,X3,Asia MC,72050,Relief co-ordination; protection and support services,1.0,810000.0
2009/2010,Responsive,X4,0,OCHA - Office for the Coordination of Humanitarian Affairs,D5301,Uncoded: Pre-APP,MHDInternational Humanitarian Assistance,5,S5320,M013184001,0,MFM Global Issues and Development,Europe,0.05,0,0,0,0,0,0,0,0,1003586,Foreign Non-Profit Making,Multilateral,UNITED NATIONS,X4,Europe MC,72050,Relief co-ordination; protection and support services,1.0,135000.0
2009/2010,Responsive,AF,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,3,S5460,M013185001,1,MFM Global Issues and Development,Asia,0.0065,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,AF,Afghanistan,31110,Agricultural policy and administrative management,0.2,39000.0
2009/2010,Responsive,AF,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,3,S5460,M013185001,1,MFM Global Issues and Development,Asia,0.0065,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,AF,Afghanistan,31120,Agricultural development,0.2,39000.0
2009/2010,Responsive,AF,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,3,S5460,M013185001,1,MFM Global Issues and Development,Asia,0.0065,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,AF,Afghanistan,31150,Agricultural inputs,0.1,19500.0
2009/2010,Responsive,AF,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,3,S5460,M013185001,1,MFM Global Issues and Development,Asia,0.0065,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,AF,Afghanistan,31161,Food crop production,0.1,19500.0
2009/2010,Responsive,AF,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,3,S5460,M013185001,1,MFM Global Issues and Development,Asia,0.0065,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,AF,Afghanistan,31166,Agricultural extension,0.1,19500.0
2009/2010,Responsive,AF,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,3,S5460,M013185001,1,MFM Global Issues and Development,Asia,0.0065,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,AF,Afghanistan,31182,Agricultural research,0.1,19500.0
2009/2010,Responsive,AF,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,3,S5460,M013185001,1,MFM Global Issues and Development,Asia,0.0065,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,AF,Afghanistan,31191,Agricultural services,0.1,19500.0
2009/2010,Responsive,AF,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,3,S5460,M013185001,1,MFM Global Issues and Development,Asia,0.0065,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,AF,Afghanistan,31193,Agricultural financial services,0.1,19500.0
2009/2010,Responsive,BD,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,3,S5460,M013185001,1,MFM Global Issues and Development,Asia,0.105,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BD,Bangladesh,31110,Agricultural policy and administrative management,0.2,630000.0
2009/2010,Responsive,BD,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,3,S5460,M013185001,1,MFM Global Issues and Development,Asia,0.105,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BD,Bangladesh,31120,Agricultural development,0.2,630000.0
2009/2010,Responsive,BD,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,3,S5460,M013185001,1,MFM Global Issues and Development,Asia,0.105,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BD,Bangladesh,31150,Agricultural inputs,0.1,315000.0
2009/2010,Responsive,BD,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,3,S5460,M013185001,1,MFM Global Issues and Development,Asia,0.105,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BD,Bangladesh,31161,Food crop production,0.1,315000.0
2009/2010,Responsive,BD,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,3,S5460,M013185001,1,MFM Global Issues and Development,Asia,0.105,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BD,Bangladesh,31166,Agricultural extension,0.1,315000.0
2009/2010,Responsive,BD,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,3,S5460,M013185001,1,MFM Global Issues and Development,Asia,0.105,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BD,Bangladesh,31182,Agricultural research,0.1,315000.0
2009/2010,Responsive,BD,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,3,S5460,M013185001,1,MFM Global Issues and Development,Asia,0.105,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BD,Bangladesh,31191,Agricultural services,0.1,315000.0
2009/2010,Responsive,BD,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,3,S5460,M013185001,1,MFM Global Issues and Development,Asia,0.105,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BD,Bangladesh,31193,Agricultural financial services,0.1,315000.0
2009/2010,Responsive,BI,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0081,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BI,Burundi,31110,Agricultural policy and administrative management,0.2,48600.0
2009/2010,Responsive,BI,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0081,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BI,Burundi,31120,Agricultural development,0.2,48600.0
2009/2010,Responsive,BI,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0081,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BI,Burundi,31150,Agricultural inputs,0.1,24300.0
2009/2010,Responsive,BI,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0081,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BI,Burundi,31161,Food crop production,0.1,24300.0
2009/2010,Responsive,BI,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0081,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BI,Burundi,31166,Agricultural extension,0.1,24300.0
2009/2010,Responsive,BI,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0081,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BI,Burundi,31182,Agricultural research,0.1,24300.0
2009/2010,Responsive,BI,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0081,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BI,Burundi,31191,Agricultural services,0.1,24300.0
2009/2010,Responsive,BI,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0081,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BI,Burundi,31193,Agricultural financial services,0.1,24300.0
2009/2010,Responsive,BJ,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0073,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BJ,Benin,31110,Agricultural policy and administrative management,0.2,43800.0
2009/2010,Responsive,BJ,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0073,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BJ,Benin,31120,Agricultural development,0.2,43800.0
2009/2010,Responsive,BJ,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0073,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BJ,Benin,31150,Agricultural inputs,0.1,21900.0
2009/2010,Responsive,BJ,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0073,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BJ,Benin,31161,Food crop production,0.1,21900.0
2009/2010,Responsive,BJ,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0073,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BJ,Benin,31166,Agricultural extension,0.1,21900.0
2009/2010,Responsive,BJ,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0073,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BJ,Benin,31182,Agricultural research,0.1,21900.0
2009/2010,Responsive,BJ,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0073,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BJ,Benin,31191,Agricultural services,0.1,21900.0
2009/2010,Responsive,BJ,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0073,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,BJ,Benin,31193,Agricultural financial services,0.1,21900.0
2009/2010,Responsive,CF,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0057,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,CF,Central Afr.Rep,31110,Agricultural policy and administrative management,0.2,34200.0
2009/2010,Responsive,CF,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0057,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,CF,Central Afr.Rep,31120,Agricultural development,0.2,34200.0
2009/2010,Responsive,CF,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0057,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,CF,Central Afr.Rep,31150,Agricultural inputs,0.1,17100.0
2009/2010,Responsive,CF,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0057,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,CF,Central Afr.Rep,31161,Food crop production,0.1,17100.0
2009/2010,Responsive,CF,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0057,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,CF,Central Afr.Rep,31166,Agricultural extension,0.1,17100.0
2009/2010,Responsive,CF,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0057,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,CF,Central Afr.Rep,31182,Agricultural research,0.1,17100.0
2009/2010,Responsive,CF,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0057,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,CF,Central Afr.Rep,31191,Agricultural services,0.1,17100.0
2009/2010,Responsive,CF,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.0057,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,CF,Central Afr.Rep,31193,Agricultural financial services,0.1,17100.0
2009/2010,Responsive,DJ,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.004,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,DJ,Djibouti,31110,Agricultural policy and administrative management,0.2,24000.0
2009/2010,Responsive,DJ,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.004,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,DJ,Djibouti,31120,Agricultural development,0.2,24000.0
2009/2010,Responsive,DJ,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.004,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,DJ,Djibouti,31150,Agricultural inputs,0.1,12000.0
2009/2010,Responsive,DJ,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.004,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,DJ,Djibouti,31161,Food crop production,0.1,12000.0
2009/2010,Responsive,DJ,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.004,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,DJ,Djibouti,31166,Agricultural extension,0.1,12000.0
2009/2010,Responsive,DJ,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.004,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,DJ,Djibouti,31182,Agricultural research,0.1,12000.0
2009/2010,Responsive,DJ,0,World Bank,D5430,Uncoded: Pre-APP,MED Economic Development,2,S5460,M013185001,1,MFM Global Issues and Development,Africa,0.004,0,0,0,0,0,0,0,1,1001306,Foreign Non-Profit Making,Multilateral,IFI,DJ,Djibouti,31191,Agricultural services,0.1,12000.0
