assay_id,curated_by,assay_tax_id,assay_test_type,src_id,tissue_id,assay_category,description,relationship_type,assay_subcellular_fraction,cell_id,doc_id,assay_type,assay_organism,assay_strain,assay_tissue,assay_cell_type
16,Intermediate,1280.0,,1,,,"The compound was tested for minimum inhibitory concentration in Staphylococcus aureus,147N penicillin sensitive Staphylococcus aureus",N,,,11324,F,Staphylococcus aureus,,,
17,Expert,10116.0,,1,,,Inhibition of cytochrome P450 progesterone 15-alpha hydroxylase,D,,,11347,A,Rattus norvegicus,,,
18,Autocuration,,,1,,,Concentration that cause 50% activation of human reticulocyte 15-lipoxygenase (15-HLO),H,,,16474,B,,,,
19,Autocuration,,,1,,,Inhibition of partially purified 15-lipoxygenase from human leukocytes,H,,,10091,B,,,,
20,Autocuration,,,1,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),H,,,16474,B,,,,
21,Autocuration,,,1,,,Compound was evaluated for the percent increase in activation concentration of human reticulocyte 15-lipoxygenase (15-HLO),H,,,16474,B,,,,
22,Autocuration,,,1,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO),H,,,16474,B,,,,
23,Autocuration,,,1,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,H,,,16474,B,,,,
24,Autocuration,,,1,,,Inhibitory activity against human reticulocyte 15-lipoxygenase (15-HLO); NI is no inhibition,H,,,16474,B,,,,
25,Autocuration,,,1,,,"Inhibitory concentration against 15-lipoxygenase, by inhibiting 15-HETE production by human umbilical vein endothelial cells (HUVEC) stimulated by calcium ionophore A 23187 at concentration of 10e-5 M.",U,,,14352,B,,,,
26,Autocuration,9986.0,,1,,,In vitro inhibitory activity of compound on rabbit reticulocyte 15-lipoxygenase,H,,,5646,B,Oryctolagus cuniculus,,,
27,Autocuration,9986.0,,1,,,Inhibition of rabbit reticulocyte 15-lipoxygenase by compound (30 uM),H,,,5646,B,Oryctolagus cuniculus,,,
28,Autocuration,,,1,,,Inhibitory activity against 15-lipoxygenase in rat polymorphonuclear leukocytes,H,,,10997,B,,,,
29,Autocuration,3847.0,,1,,,Inhibitory activity against 15-lipoxygenase was determined obtained from soya bean,H,,,6309,B,soya bean,,,
30,Autocuration,3847.0,,1,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated,H,,,167,B,Glycine max,,,
31,Autocuration,3847.0,,1,,,Inhibitory activity against soybean 15-lipoxygenase was evaluated at 100 uM,H,,,167,B,Glycine max,,,
32,Autocuration,3847.0,,1,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,H,,,11087,B,Glycine max,,,
33,Autocuration,3847.0,,1,,,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,H,,,11087,B,Glycine max,,,
34,Autocuration,3847.0,,1,,,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,H,,,13622,B,Glycine max,,,
35,Autocuration,3847.0,,1,,,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,H,,,13622,B,Glycine max,,,
36,Autocuration,10116.0,,1,,,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,U,,,11347,A,Rattus norvegicus,,,
37,Autocuration,562.0,,1,,,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,U,,,5926,B,Escherichia coli,,,
38,Autocuration,,,1,,,Dissociation constant with dimeric 16S rRNA RNA construct B,U,,,4567,B,,,,
39,Intermediate,,,1,,,Dissociation constant towards 16S rRNA construct A,M,,,3782,B,,,,
40,Intermediate,,,1,,,Dissociation constant towards 16S rRNA construct B,M,,,3782,B,,,,
41,Expert,562.0,,1,,,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,M,,,4466,B,Escherichia coli,,,
42,Expert,562.0,,1,,,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,M,,,6592,B,Escherichia coli,,,
43,Autocuration,,,1,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),H,,,898,B,,,,
44,Autocuration,,,1,,,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),H,,,898,B,,,,
45,Autocuration,9606.0,,1,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,H,,,13163,B,Homo sapiens,,,
46,Autocuration,9606.0,,1,,,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,H,,,13163,B,Homo sapiens,,,
47,Expert,10116.0,,1,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",D,,,10691,B,Rattus norvegicus,,,
48,Expert,10116.0,,1,,,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",D,,,10691,B,Rattus norvegicus,,,
49,Expert,10116.0,,1,,,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",D,,,10691,B,Rattus norvegicus,,,
50,Expert,10116.0,,1,,,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",D,,,10691,B,Rattus norvegicus,,,
51,Autocuration,,,1,,,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),H,,,898,B,,,,
52,Autocuration,,,1,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),H,,,912,B,,,,
53,Autocuration,,,1,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,H,,,912,B,,,,
54,Autocuration,,,1,,,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,H,,,912,B,,,,
55,Autocuration,10116.0,,1,,,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,D,Membranes,,15103,B,Rattus norvegicus,,,
56,Intermediate,9606.0,,1,,,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,N,,506.0,5116,F,Homo sapiens,,,1A9
57,Autocuration,10116.0,,1,,,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,D,,,14578,F,Rattus norvegicus,,,Oocytes
58,Autocuration,10116.0,,1,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,D,,,14578,F,Rattus norvegicus,,,Oocytes
59,Autocuration,10116.0,,1,,,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,D,,,14578,F,Rattus norvegicus,,,Oocytes
60,Expert,9606.0,,1,,,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,N,,506.0,4787,F,Homo sapiens,,,1A9
61,Intermediate,9606.0,,1,,,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,N,,506.0,4787,F,Homo sapiens,,,1A9
62,Intermediate,9606.0,,1,,,Cytotoxic activity against human ovarian cancer (1A9) cell line,N,,506.0,3547,F,Homo sapiens,,,1A9
63,Intermediate,9606.0,,1,,,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,N,,506.0,3547,F,Homo sapiens,,,1A9
64,Intermediate,9606.0,,1,,,Effective dose of compound against replication of 1A9 cell line was evaluated,N,,506.0,6726,F,Homo sapiens,,,1A9
65,Expert,9606.0,,1,,,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,N,,506.0,3455,F,Homo sapiens,,,1A9
66,Intermediate,9606.0,,1,,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),N,,506.0,5726,F,Homo sapiens,,,1A9
67,Intermediate,9606.0,,1,,,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,N,,506.0,5726,F,Homo sapiens,,,1A9
68,Intermediate,9606.0,,1,,,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,N,,506.0,5726,F,Homo sapiens,,,1A9
69,Intermediate,9606.0,,1,,,Inhibitory activity against Taxol resistant 1A9 cell lines,N,,506.0,3395,F,Homo sapiens,,,1A9
70,Expert,9606.0,,1,,,Cytotoxicity against human ovarian cancer (1A9) cell lines.,N,,506.0,3415,F,Homo sapiens,,,1A9
71,Expert,9606.0,,1,,,Percentage inhibition of human ovarian cancer (1A9) cell lines.,N,,506.0,3415,F,Homo sapiens,,,1A9
72,Expert,9606.0,,1,,,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,N,,506.0,17099,F,Homo sapiens,,,1A9
73,Intermediate,9606.0,,1,,,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,N,,506.0,17099,F,Homo sapiens,,,1A9
74,Intermediate,9606.0,,1,,,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,N,,506.0,17099,F,Homo sapiens,,,1A9
75,Intermediate,9606.0,,1,,,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,N,,506.0,17099,F,Homo sapiens,,,1A9
76,Intermediate,9606.0,,1,,,Inhibitory concentration against Jurkat cells,N,,503.0,17721,F,Homo sapiens,,,Jurkat
77,Intermediate,,,1,,,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,U,,,1229,F,,,,
78,Expert,10116.0,,1,,,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,D,,,11347,A,Rattus norvegicus,,,
79,Expert,,,1,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",H,,,17117,B,,,,
80,Expert,,,1,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",H,,,17117,B,,,,
81,Expert,,,1,,,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",H,,,17117,B,,,,
82,Autocuration,5476.0,,1,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",H,Microsomes,,11375,B,Candida albicans,,,
83,Autocuration,5476.0,,1,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",H,Microsomes,,11375,B,Candida albicans,,,
84,Autocuration,4932.0,,1,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",H,Microsomes,,11375,B,Saccharomyces cerevisiae,,,
85,Autocuration,4932.0,,1,,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",H,Microsomes,,11375,B,Saccharomyces cerevisiae,,,
86,Autocuration,9823.0,,1,2107.0,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",H,Microsomes,,11375,B,Sus scrofa,,Liver,
87,Autocuration,10116.0,,1,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",H,,,791,B,Rattus norvegicus,,,
88,Autocuration,10116.0,,1,,,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",H,,,791,B,Rattus norvegicus,,,
89,Autocuration,10116.0,,1,,,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",H,,,791,B,Rattus norvegicus,,,
90,Autocuration,10116.0,,1,2107.0,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",D,Microsomes,,11375,B,Rattus norvegicus,,Liver,
91,Autocuration,10116.0,,1,2107.0,,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",D,Microsomes,,11375,B,Rattus norvegicus,,Liver,
92,Autocuration,10116.0,,1,2107.0,,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",D,Microsomes,,153,B,Rattus norvegicus,,Liver,
93,Expert,,,1,,,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),H,,,8269,B,,,,
94,Expert,,,1,,,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,H,,,8269,B,,,,
95,Expert,9606.0,,1,,,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,N,,726.0,17653,F,Homo sapiens,,,HepG2
96,Intermediate,9606.0,,1,,,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,N,,726.0,14277,F,Homo sapiens,,,HepG2
97,Intermediate,9606.0,,1,,,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,N,,726.0,1717,F,Homo sapiens,,,HepG2
98,Intermediate,9606.0,,1,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,N,,726.0,14091,F,Homo sapiens,,,HepG2
99,Intermediate,9606.0,,1,,,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,N,,726.0,14091,F,Homo sapiens,,,HepG2
100,Expert,10407.0,,1,,,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,N,,,17653,F,Hepatitis B virus,,,
101,Intermediate,9606.0,,1,,,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,N,,726.0,13105,F,Homo sapiens,,,HepG2
102,Intermediate,9606.0,,1,,,Concentration required to inhibit 50% of 2.2.15 cell line,N,,726.0,1717,F,Homo sapiens,,,HepG2
103,Intermediate,9606.0,,1,,,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,N,,726.0,13105,A,Homo sapiens,,,HepG2
104,Intermediate,9606.0,,1,,,Cytotoxic activity of compound against uninfected 2.2.15 cells.,N,,,13600,F,Homo sapiens,,,2.2.15
105,Intermediate,9606.0,,1,,,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,N,,,13467,F,Homo sapiens,,,2.2.15
106,Expert,10407.0,,1,,,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",N,,,17477,F,Hepatitis B virus,,,2.2.15
107,Intermediate,9606.0,,1,,,In vitro anti-HBV activity in 2.2.15 cells,N,,,1593,F,Homo sapiens,,,2.2.15
108,Intermediate,9606.0,,1,,,In vitro anti-HBV activity in 2.2.15 cells; Not determined,N,,,1593,F,Homo sapiens,,,2.2.15
109,Intermediate,9606.0,,1,,,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,N,,,15089,F,Homo sapiens,,,2.2.15
110,Intermediate,9606.0,,1,,,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,N,,,15089,F,Homo sapiens,,,2.2.15
111,Intermediate,9606.0,,1,,,Cytotoxicity in 2.2.15 cells,N,,,1593,F,Homo sapiens,,,2.2.15
112,Intermediate,9606.0,,1,,,Cytotoxicity in 2.2.15 cells; Not determined,N,,,1593,F,Homo sapiens,,,2.2.15
113,Intermediate,9606.0,,1,,,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,N,,,13600,F,Homo sapiens,,,2.2.15
114,Intermediate,9606.0,,1,,,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,N,,,13467,F,Homo sapiens,,,2.2.15
115,Intermediate,9606.0,,1,,,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,N,,,13467,F,Homo sapiens,,,2.2.15
116,Intermediate,9606.0,,1,,,Antiviral activity against HBV was determined in 2.215 cell line,N,,726.0,14764,F,Homo sapiens,,,HepG2
117,Autocuration,9606.0,,1,,,Inhibition of 20-HETE synthesis in human renal microsomes,U,Microsomes,,6531,B,Homo sapiens,,,
118,Autocuration,,,1,,,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,U,,,17322,B,,,,
119,Intermediate,9606.0,,1,,,Inhibitory concentration against 2008 (ovarian) cells,N,,388.0,17072,F,Homo sapiens,,,2008
120,Intermediate,9606.0,,1,,,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,N,,388.0,16936,F,Homo sapiens,,,2008
121,Intermediate,9606.0,,1,,,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),N,,388.0,16936,F,Homo sapiens,,,2008
122,Intermediate,9606.0,,1,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,N,,388.0,17146,F,Homo sapiens,,,2008
123,Intermediate,9606.0,,1,,,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,N,,388.0,17146,F,Homo sapiens,,,2008
124,Intermediate,9606.0,,1,,,In vitro inhibition of 2008/R ovarian cancer cell line,N,,561.0,10797,F,Homo sapiens,,,2008/R
125,Intermediate,9606.0,,1,,,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,N,,561.0,10797,F,Homo sapiens,,,2008/R
126,Intermediate,9606.0,,1,,,In vitro inhibition of 2008/S ovarian cancer cell line,N,,389.0,10797,F,Homo sapiens,,,2008/S
127,Intermediate,9606.0,,1,,,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,N,,389.0,10797,F,Homo sapiens,,,2008/S
128,Expert,9606.0,,1,,,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,S,,,4823,B,Homo sapiens,,,
129,Intermediate,9606.0,,1,,,Compound was evaluated for inhibitory activity against 20S proteasome from human liver and brain,S,,,12912,B,Homo sapiens,,,
130,Expert,,,1,,,Inhibition of chymotrypsin-like activity of 20S proteasome,S,,,2957,B,,,,
131,Expert,,,1,,,Inhibition of chymotrypsin-like activity of 20S proteasome; value ranges from 10-20 uM,S,,,2957,B,,,,
132,Intermediate,,,1,,,Inhibitory activity against 20S proteosome,S,,,3260,B,,,,
133,Autocuration,9606.0,,1,,,Compound was tested for inhibitory activity against tryptase,U,,,3451,B,Homo sapiens,,,
134,Intermediate,9606.0,,1,,,Concentration required to inhibit 50% of extracellular circular replication of HBV DNA using 2215 cell line,N,,726.0,13885,F,Homo sapiens,,,HepG2
135,Intermediate,9606.0,,1,,,Concentration required to inhibit 50% of intracellular circular replication of HBV DNA using 2215 cell line,N,,726.0,13885,F,Homo sapiens,,,HepG2
136,Autocuration,,,1,,,Compound was tested for the inhibition of Alpha-glucosidase,U,,,3676,B,,,,
137,Autocuration,,,1,,,Inhibitory concentration against human neutrophil elastase (HNE),H,,,6043,B,,,,
138,Autocuration,10116.0,,1,948.0,,Change in heart rate was expressed in percent at at a dose 0.002 mg/kg iv in anesthetized rat,U,,,11140,F,Rattus norvegicus,,Heart,
139,Autocuration,,,1,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,H,,,10543,F,,,,
140,Expert,,,1,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,H,,,10543,F,,,,
141,Autocuration,,,1,,,Minimum inhibitory concentration of compound against 20 Mycobacterium avium complex (MAC) clinical isolates,H,,,10543,B,,,,
142,Expert,,,1,,,90% inhibition of the 20 Mycobacterium avium complex (MAC) clinical isolates,H,,,10543,F,,,,
143,Intermediate,10090.0,,1,,,In Vitro evaluation for the growth inhibition of Subline (P388/AMSA) Leukemia cell lines,N,,524.0,11365,F,Mus musculus,,,P338
144,Intermediate,10090.0,,1,,,In Vitro evaluation for the growth inhibition of Subline (P388/CP) Leukemia cell lines,N,,524.0,11365,F,Mus musculus,,,P338
145,Intermediate,9606.0,,1,,,Compound was evaluated for the inhibition of cell replication human peripheral blood lymphocytes (PBL's).,N,,554.0,11803,F,Homo sapiens,,,PBL
146,Autocuration,9940.0,,1,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells,U,,,11803,F,Ovis aries,,,
147,Autocuration,9940.0,,1,,,Compound was evaluated for the inhibition of cell replication sheep choroid plexus (SCP) cells.,U,,,11803,F,Ovis aries,,,
148,Autocuration,,,1,,,Compound is evaluated in vitro for the inhibition single mutant of HIV-1 RT (Y181C),H,,,12278,B,,,,
149,Autocuration,9606.0,,1,,,Compound was evaluated for its inhibitory effect on thymidine [3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-5,U,,,8249,F,Homo sapiens,,,
150,Autocuration,9606.0,,1,,,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,U,,,8249,F,Homo sapiens,,,
151,Autocuration,9606.0,,1,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,U,,635.0,8249,F,Homo sapiens,,,CCRF-CEM
152,Autocuration,9606.0,,1,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,U,,635.0,8249,F,Homo sapiens,,,CCRF-CEM
153,Autocuration,9606.0,,1,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,U,,635.0,8249,F,Homo sapiens,,,CCRF-CEM
154,Autocuration,9606.0,,1,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,U,,635.0,8249,F,Homo sapiens,,,CCRF-CEM
155,Autocuration,9606.0,,1,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,U,,,8249,F,Homo sapiens,,,
156,Autocuration,9606.0,,1,,,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,U,,,8249,F,Homo sapiens,,,
157,Autocuration,,,1,,,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,H,,,16992,B,,,,
158,Intermediate,1314.0,,1,,,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,N,,,10543,F,Streptococcus pyogenes,,,
159,Intermediate,10335.0,,1,,,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),N,,,17833,F,Human herpesvirus 3,,,
160,Expert,10335.0,,1,,,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,N,,468.0,17290,F,vericilla zoster virus,,,HEL
161,Intermediate,10335.0,,1,,,Antiviral activity against 07/1 strain of VZV; ND: No data,N,,,17290,F,vericilla zoster virus,,,
162,Intermediate,10335.0,,1,,,Antiviral activity against 07/1 strain of VZV; ND=No data,N,,,17290,F,vericilla zoster virus,,,
163,Intermediate,561.0,,1,,,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",N,,,10932,F,escherichia cloac,,,
164,Autocuration,,,1,,,Ratio of Ki at A2 to Ki at A1 receptors,U,,,9707,B,,,,
165,Expert,5476.0,,1,,,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",H,,,2346,B,Candida albicans,,,
166,Expert,284593.0,,1,,,"Inhibition of 1,3-beta-glucan synthase",H,,,2205,B,Candida glabrata CBS 138,,,
167,Intermediate,9606.0,,1,,,Inhibition of growth of 1-87 human tumor cell line,N,,832.0,11900,F,Homo sapiens,,,1-87 tumor cell line
168,Expert,10116.0,,1,,,Inhibition of 1-lipoxygenase (LOX)in RBL cells,D,,,14864,B,Rattus norvegicus,,,
169,Autocuration,3847.0,,1,,,Inhibitory activity against soybean 1-lipoxygenase (SLO),D,,,16474,B,Glycine max,,,
170,Autocuration,3847.0,,1,,,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,D,,,16474,B,Glycine max,,,
171,Autocuration,3847.0,,1,,,% inhibition against soybean 1-lipoxygenase (SLO),D,,,16474,B,Glycine max,,,
172,Autocuration,3847.0,,1,,,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,D,,,16474,B,Glycine max,,,
173,Autocuration,3847.0,,1,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,D,,,3094,B,Glycine max,,,
174,Autocuration,3847.0,,1,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,D,,,3094,B,Glycine max,,,
175,Autocuration,3847.0,,1,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,D,,,3094,B,Glycine max,,,
176,Autocuration,3847.0,,1,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,D,,,3094,B,Glycine max,,,
177,Autocuration,3847.0,,1,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,D,,,3094,B,Glycine max,,,
178,Autocuration,3847.0,,1,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,D,,,3094,B,Glycine max,,,
179,Autocuration,3847.0,,1,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,D,,,3094,B,Glycine max,,,
180,Autocuration,3847.0,,1,,,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,D,,,3094,B,Glycine max,,,
