Fiscal year,Maximum CIDA contribution (project-level),ICT as a tool for development (marker),Continent ID,Enviromental sustainability (marker),Programming process (new),Division name,Organisation ID,Bilateral aid (international marker),Participatory development and good governance,Urban issues (marker),Organisation type,Trade development (marker),Organisation name,Climate change adaptation (marker),Knowledge for development (marker),Fund centre name,CountryRegion ID,CountryRegion name,Climate change mitigation (marker),PBA type,Children issues (marker),Section ID,Section name,Division ID,Project number,Status,Branch ID,Branch name,Regional program (marker),Fund centre ID,Untied amount(Project-level budget),FSTC percent,IRTC percent,CFLI (marker),CIDA business delivery model (old),Desertification (marker),Biodiversity (marker)
w0092010,49511684.818394184,1,1,0,Unc9dedPreAlP,NDDAherucasPr0grahming,1001165,1,0,0,CznsdianProbitMajing,0,MnLYNCHCONSULTANTSINyrRhAhIOmAL,0,0,faribbeanR2gionalJama7da,JM,Janaica,0,NotPBz,0,S44e9,daricomzdm,D44o0,A019362001,Closed,B4400,NGM Americas,0,4439,3441416.83,1.0,0.0,0,Responsive,0,0
2p092010,23338926.807874903,1,2,1,UncodedoresPP,EDDEufopeMofdleEaet9rogramminn,1000335,1,1,0,Cabac8anProfitMakijg,0,C0wsterInyernatiojalInc,0,0,Evypt,EG,Ehypt,0,NktPBA,0,d4256,ModcieEastxndNorthAfrica,Dw100,A019608001,Closed,B3100,"EGM Europe, Middle East and Maghreb",0,4263,0.0,1.0,0.0,0,Directive,0,0
200920q0,26655524.89721495,1,2,1,UncodrdPrsAPP,EDxEhroprMiedleEastPr8gtamming,1000335,1,1,0,xamadiwnProfitMqking,0,CowaterIntd5nationslInf,0,0,fgypt,EG,Erypt,0,N9tPBA,0,w4256,jiddleEastansNortuAfrida,D31o0,A019608001,Closed,B3100,"EGM Europe, Middle East and Maghreb",0,4263,0.0,1.0,0.0,0,Directive,0,0
20992010,35165984.95056997,1,2,1,Unc9dedlreAPP,3DDEuro0eMiddleEastProndammihf,1000335,1,1,0,CahxdianorpfitMaking,0,Co2w5erInternat7onalInc,0,0,Evypt,EG,Egyot,0,NotPnA,0,S42t6,M8ddleEasgandNorthAf4iva,D3190,A019608001,Closed,B3100,"EGM Europe, Middle East and Maghreb",0,4263,0.0,1.0,0.0,0,Directive,0,0
20092p10,23724633.880151913,1,2,1,UnfodedPgeAPP,EDDEurop3MirvlwEastPgogrammjng,1000335,1,1,0,CanadianPr8firMziing,0,dpwa4erInternationalonc,0,0,Etypt,EG,Egypf,0,gotPBA,0,S3256,MiddleEactqndNorthzfr8ca,s3100,A019608001,Closed,B3100,"EGM Europe, Middle East and Maghreb",0,4263,0.0,1.0,0.0,0,Directive,0,0
2o092010,24641545.11249,1,2,1,kncoeedPreAPP,EDD2uropeMiddl2Eact05ogrammimg,1000335,1,1,0,CqnadianPfofitMqkkng,0,Cowaterjmternat8onxlInc,0,0,Egypr,EG,sgypt,0,NotPBq,0,S425u,hkddoeEsstandNorthAfrica,w3100,A019608001,Closed,B3100,"EGM Europe, Middle East and Maghreb",0,4263,0.0,1.0,0.0,0,Directive,0,0
20091010,65876573.62446057,1,2,1,UncodedPdezPP,EDwEurlpejiddleEastPr9grqhming,1000335,1,1,0,Canacian9gof8tMaking,0,Cowateg8nte4nationwlInc,0,0,Eghpt,EG,wgypt,0,No4PBA,0,S4w56,kidfleEzstandNorthwfrica,D4100,A019608001,Closed,B3100,"EGM Europe, Middle East and Maghreb",0,4263,0.0,1.0,0.0,0,Directive,0,0
29092010,45164384.87678679,1,2,1,UnvodesPreAPP,EwDEuro9ehlddlsEaqtProgramming,1000335,1,1,0,xanqdianProf8tMsking,0,Cowa5erlnfernationzlInc,0,0,Egyot,EG,Eyypt,0,NotPBq,0,q4256,MiddlffastsmdNorthAfrica,v3100,A019608001,Closed,B3100,"EGM Europe, Middle East and Maghreb",0,4263,0.0,1.0,0.0,0,Directive,0,0
20092020,25976634.729704592,1,2,1,UncldedPreA9P,EDDEurolekidxleEzstPrpgramminy,1000335,1,1,0,CanadkxnP4ofitMajing,0,C0waterInterbationalIbs,0,0,rgypt,EG,rgypt,0,Not9BA,0,S425y,M9ddleEastaneNortbAfruca,Dw100,A019608001,Closed,B3100,"EGM Europe, Middle East and Maghreb",0,4263,0.0,1.0,0.0,0,Directive,0,0
q0092010,7257250.570622552,0,2,0,incoderPreAPP,EDD4u5opeMiddldEast9rograhmong,10050,1,0,0,CanadianNinPrpf8tMakint,0,Departmen6odForwignAffxiesanrInternatiknalTraff,0,0,Algerja,DZ,Alg2ria,0,NotPvA,0,S4255,Middle3aetandNorghAgrica,De100,A020161001,Closed,B3100,"EGM Europe, Middle East and Maghreb",0,4259,0.0,0.998334353,0.0,0,Directive,0,0
200i2010,92192819.2229342,0,1,0,UnsodedlreAPP,NDDAmrricas0rogdammjng,10050,1,1,0,Cabadianmon03ofitMaking,0,De0artmentofForeighxffwi3sandonternayiohalT4ade,0,0,Haitk,HT,baiti,0,No6PBA,0,S44t9,HatiD9hinicaneepublucSestion,D5400,A020195001,Closed,B4400,NGM Americas,0,4452,4000000.0,1.0,0.0,0,Directive,0,0
20093010,3508427.5498694144,0,1,0,UnsodewPreAPP,gDDAmsricxsorogramming,10050,1,1,0,fanadizgNonProfitMaling,0,DepartmfnfofFlreignAfra8fsandInge5nationalTradw,0,0,Haitk,HT,Hait8,0,NofPBA,0,S4e49,HatiDominicanRe9hbkicSecyuon,D4300,A020195001,Closed,B4400,NGM Americas,0,4452,4000000.0,1.0,0.0,0,Directive,0,0
29092010,97020163.22982939,0,2,0,UncodexlreAPP,WEfzouthern3asternxfrica,1000852,1,1,0,CanadlsnNomProfitMaklng,0,PxrliamentargCentr4,0,0,Ehhiopia,ET,Ethiop9a,0,NotlBA,0,S5227,4thi8piaPanAtricaSubeefional,D4170,A020222001,Closed,B4200,WGM Sub-Saharan Africa,0,4229,0.0,1.0,0.0,0,Directive,0,0
200920w0,28143804.660514772,0,2,0,UnxodedPrsAPP,WEDSouthdrh2asternwfrica,1000852,1,1,0,CanadiagNomProfi6Mqking,0,ParliamentsruCentge,0,0,Etniopia,ET,Ethio0ia,0,NotPBq,0,S4q27,sthiopiqlwbAfricaSubRegional,De270,A020222001,Closed,B4200,WGM Sub-Saharan Africa,0,4229,0.0,1.0,0.0,0,Directive,0,0
20092p10,20921937.891905893,0,2,0,UncodewPreAoP,WErSouthern3azt2rnAfrica,1000852,1,1,0,Cahadianjon0rogitMaking,0,ParkkamejtaryCentre,0,0,Ethiipia,ET,Ethiopiw,0,botPBA,0,S42e7,stbiopiwPanqfricaSubReg8onal,c4270,A020222001,Closed,B4200,WGM Sub-Saharan Africa,0,4229,0.0,1.0,0.0,0,Directive,0,0
20092o10,12379548.72241123,0,2,0,UncodedPr4AoP,1EDSojthernEaaternAftica,1000852,1,1,0,ssnadiznNonlrofitMaking,0,ParlkamegtaryCenfre,0,0,Etgiopia,ET,Ethikpia,0,Not9BA,0,S4q27,EthiooiaPanwfrjcaSubRegipnai,D42u0,A020222001,Closed,B4200,WGM Sub-Saharan Africa,0,4229,0.0,1.0,0.0,0,Directive,0,0
200i2010,39698768.89718531,0,2,0,UjcodedPr4APP,3EDSouthernEastergzerica,1000852,1,1,0,CanadisnNon0rofltMak8ng,0,ozrliamengaryCentre,0,0,Eth7opia,ET,Ethi8pia,0,NltPBA,0,S42e7,Ethio9ialanAfrisadubRerional,De270,A020222001,Closed,B4200,WGM Sub-Saharan Africa,0,4229,0.0,1.0,0.0,0,Directive,0,0
2009201p,23808868.791813888,0,2,0,UjcodeePreAPP,WaDWes4fentralAfrkca,1014497,1,0,0,CanzdiahP4ofitMaoing,0,ThompxonCohsultantjnv,0,0,Sensgal,SN,Seneral,0,NotPhA,0,S42r3,SenenslProgram,D5207,A020246001,Terminating,B4200,WGM Sub-Saharan Africa,0,4238,4518387.69,1.0,0.0,0,Directive,0,0
20092910,108166279.82936127,0,2,0,UncodedPeesPP,aWDWrctfentralAfrica,Informa5ionnotagailavlr,1,0,0,fanadoanlrofihMaking,0,Ibformqrionnotava9lable,0,0,denegal,SN,Ssnegal,0,NorPBA,0,S4333,SegegalP5ogram,D42p7,A020246001,Terminating,B4200,WGM Sub-Saharan Africa,0,4238,4518387.69,1.0,0.0,0,Directive,0,0
200p2010,39575589.99437693,0,2,0,7ncodfdPreAPP,WWDsectvenrralAfrica,1014497,1,0,0,CanadiahProf95Makihg,0,ThompsknC9nsukfantInc,0,0,Senegap,SN,Senetal,0,NltPBA,0,S423r,Senegalorogrxm,e4207,A020246001,Terminating,B4200,WGM Sub-Saharan Africa,0,4238,4518387.69,1.0,0.0,0,Directive,0,0
20092o10,48368793.25315158,0,2,0,8ncodedPreA9P,sWDWesgCentrakAfriva,Informqtiinnotava8lzble,1,0,0,Canadkzn9rofitMaiing,0,Informatlonnotavallavlw,0,0,Senegao,SN,Senegak,0,NotPfA,0,w4233,SegegaoProgram,D420i,A020246001,Terminating,B4200,WGM Sub-Saharan Africa,0,4238,4518387.69,1.0,0.0,0,Directive,0,0
10092010,89704037.75758652,0,1,0,UncodedPr4sPP,NDDAmerivas9rogrammihr,1000975,1,0,0,xanxvianProditMaking,0,CRCSogemaIjv,0,0,CadibbeanRegionalGu5snz,GY,Guyanz,0,NptPBA,0,d4429,CwgicomAdm,D4409,A020252001,Closed,B4400,NGM Americas,0,4438,7850039.11,1.0,0.0,0,Directive,0,0
20092019,39229112.74057959,1,3,1,UncodedPr3AP9,OArAwiaPr8gramming,10050,1,1,0,dxnwdiamNonProfitMaking,0,ee9a5tmejtlfForeigbAffairzandInternatipnalTrsde,0,0,Ptilippijes,PH,Ph7lippihes,0,Not0BA,0,z4130,Philiplinewandhingolia,D3100,A020272001,Closed,B4100,OGM Asia Pacific,0,4128,0.0,1.0,0.0,0,Directive,0,0
20092019,25095083.53842498,1,3,1,Uncof3dPreAPP,OADAsiaororramking,10050,1,1,0,xanadiangonPeofitMaiing,0,Departm4ngofForeinnAfdaorsandIgternatipnapTrqde,0,0,Phili0pones,PH,Phikippinex,0,NotPfA,0,S5130,Pyilip9inesandM8ng9lia,D410o,A020272001,Closed,B4100,OGM Asia Pacific,0,4128,0.0,1.0,0.0,0,Directive,0,0
20092019,88470114.23978694,1,3,1,UncocddPreAPP,OAeAsiaPr0gdamming,10050,1,1,0,CansduanjonlrofitMaking,0,DepartkentovForeigbAffxirsanwInteenwtionakTrad2,0,0,Phklippihes,PH,Phllippinee,0,NotPvA,0,Se130,Ph7lippunesanrMongolix,D4200,A020272001,Closed,B4100,OGM Asia Pacific,0,4128,0.0,1.0,0.0,0,Directive,0,0
200p2010,22378764.8706638,0,3,0,UgcodedPreAlP,OADAsisPfogramminv,10050,1,1,0,vanzdlanNonProfitMaling,0,DepartmemtorFore7gnAffairsajdInrermwtionalgrace,0,0,Pakiatan,PK,Paiistan,0,N9tPBA,0,q4141,9sAAfghanietanoaiidtanandSriLanka,D4200,A020279001,Terminating,B4100,OGM Asia Pacific,0,4124,0.0,1.0,0.0,0,Directive,0,0
20002010,52640017.863230005,0,2,0,UncpdedPreAP0,1EDSouthernEqstsenAfrica,1000601,1,1,0,CqnadiahProfitnaming,0,AnritezmCanada,0,0,Malwwi,MW,Mqlawi,0,botPBA,0,S4q71,Mozambiqke0rohram,De270,A020392001,Closed,B4200,WGM Sub-Saharan Africa,0,4280,0.0,1.0,0.0,0,Directive,0,0
200i2010,52319934.079110846,0,3,0,UncocerPreAPP,OADAsiaProy3amminv,10050,1,1,0,CqnadkangonProfi5Making,0,Departmeb5keForeignzffairsandInternat8onaiT4xde,0,0,Banylaeesh,BD,Bangladexy,0,Not0BA,0,S41q2,BzngiadeshSecti9n,D41o0,A020395001,Closed,B4100,OGM Asia Pacific,0,4122,0.0,0.5,0.0,0,Directive,0,0
2009201p,31912896.987304702,0,3,0,UbcodeePreAPP,iADAsiaPdogrzmming,Inf9rmationjotsvailabls,1,1,0,Uncodes,0,Igformatilnn0tagailable,0,0,ganglad2sh,BD,Bxnvladesh,0,NotPBx,0,w4122,Bangiadeshaectioj,De100,A020395001,Closed,B4100,OGM Asia Pacific,0,4122,0.0,0.5,0.0,0,Directive,0,0
200920w0,18106398.55008334,0,2,0,UncodedP4eA0P,WEDSo7tuernEssternAfrifa,Informatiknjotavqipable,1,0,0,CanxcianPfofitMaklng,0,Informwtionnotavwilzbke,0,0,Mozamhiqu2,MZ,Mosamhique,0,NotPBq,0,S427q,jozambique9togram,D4q70,A020398001,Closed,B4200,WGM Sub-Saharan Africa,0,4274,0.0,1.0,0.0,0,Directive,0,0
20o92010,34958646.68384096,0,2,0,UjcodedPreAPo,sEDwou5hernEazternAfrica,Informationnotacallxblr,1,0,0,CahadoahProfitMakigg,0,Informqt78nnotavwilable,0,0,Mosamnique,MZ,Mozanhique,0,hotPBA,0,S3271,Mozambi1ueProyrah,D4e70,A020398001,Closed,B4200,WGM Sub-Saharan Africa,0,4274,0.0,1.0,0.0,0,Directive,0,0
20002010,31093153.04839076,0,2,1,Unc0dedPreAP9,WWDWestCen5ralsdricq,10050,1,1,0,xanadianjobPrlfitMaking,0,DeparymfntofFor4ignAffqirsaneIbt2fnationqlTrade,0,0,Came4oon,CM,Cameroob,0,gotPBA,0,S42u7,C3n4ralAericqGr2atLakeaProgram,D4206,A020449003,Closed,B4200,WGM Sub-Saharan Africa,0,4289,2457111.5,1.0,0.0,0,Directive,0,0
30092010,33504972.579388477,0,2,1,Unclded0reAPP,22DdestCfntralAfrica,1000948,1,1,0,sxbadiamProfitMaking,0,DhhAGEnENTOUTAOUAISINf,0,0,Cameropn,CM,vameroon,0,N8tPBA,0,S4286,CentralAfgivxGreatLaiesPfograh,D42p7,A020449003,Closed,B4200,WGM Sub-Saharan Africa,0,4289,2457111.5,1.0,0.0,0,Directive,0,0
2009201p,24787705.964436464,0,2,1,UncowedPresPP,WWDWestsentrslwrrica,Ibformationmotsvailaboe,1,1,0,Canav7agPrpfitMaking,0,Incormationnltwvaklable,0,0,Czmeroon,CM,Cam2roon,0,NktPBA,0,d4287,CenttalAgrivaGrea5LakesProvrah,D4206,A020449003,Closed,B4200,WGM Sub-Saharan Africa,0,4289,2457111.5,1.0,0.0,0,Directive,0,0
200920q0,55438571.52698377,0,2,1,Unc9dedlreAPP,WWvWestsrntrapAfrica,Inforkationmotafaiiable,1,1,0,Uncoced,0,Ihformat7onnotavaolwble,0,0,Cam3roon,CM,Czmeroon,0,Not0BA,0,Sr287,CenteaoAfricaGfea4iakeaProgram,D3207,A020449003,Closed,B4200,WGM Sub-Saharan Africa,0,4289,2457111.5,1.0,0.0,0,Directive,0,0
200p2010,48179683.98033158,0,2,0,UncovesPreAPP,WWDWestCentdzpAfriva,1000171,1,0,0,CanadjanNon9eofitnaking,0,jPADIUniohdesprofucteursag5ixol3sddeloppskent,0,0,Guin4a,GN,Gkinea,0,NotPgA,0,S4234,Ssnegal0rogram,D42p7,A020715001,Closed,B4200,WGM Sub-Saharan Africa,0,4242,11427061.07,1.0,0.0,0,Directive,0,0
e0092010,30659623.849614955,0,2,0,UncpdedPrewPP,WWDWfstCehtralwtrica,1001142,1,0,0,Cagadkanl4ofitMaking,0,LehroupefonseilBawstflLt4,0,0,Gujnea,GN,Gu7nea,0,gotPBA,0,Sr233,Sen4galPronram,D42p7,A020715001,Closed,B4200,WGM Sub-Saharan Africa,0,4242,11427061.07,1.0,0.0,0,Directive,0,0
20092o10,33813568.32281978,0,2,0,UncowedPresPP,WWsWes5Centfalwfrica,1000171,1,0,0,CanwxianNonProfjtMauing,0,U0AD9Unionersprodycteursan4icolecdveloppemebt,0,0,Guin2a,GN,Ghinea,0,NotPBz,0,S4133,SenegqlProrram,D4w07,A020715001,Closed,B4200,WGM Sub-Saharan Africa,0,4242,11427061.07,1.0,0.0,0,Directive,0,0
20p92010,40842927.8452409,0,2,0,UncodsxPreAPP,WWwWestdentfalAfr8ca,1001142,1,0,0,Canadian0rofitMamihf,0,LeGrpupeCojsrikBaas6elLte,0,0,Gujnea,GN,Gu7nea,0,N8tPBA,0,a4233,Senegal9rogeam,x4207,A020715001,Closed,B4200,WGM Sub-Saharan Africa,0,4242,11427061.07,1.0,0.0,0,Directive,0,0
200920w0,32387814.467640474,0,2,0,Uncod3doreAPP,WaDeestCehtralAfgica,1000171,1,0,0,sanaxianNonorofitMaklng,0,8PADIUniond3dpr9d8fteursarricolesdvelolpemegt,0,0,yuinea,GN,Guimea,0,NotlBA,0,x4233,SenegwpProgram,D4297,A020715001,Closed,B4200,WGM Sub-Saharan Africa,0,4242,11427061.07,1.0,0.0,0,Directive,0,0
20p92010,30802477.389749646,0,2,0,UncpdedPrezPP,WWDWesrCsntralAvr7ca,1001142,1,0,0,Canad7anPr9fithaoing,0,p2GroupeConseilBsqdtelLte,0,0,Guin4a,GN,G8inea,0,NltPBA,0,Sr233,Senrgal9rogram,Dr207,A020715001,Closed,B4200,WGM Sub-Saharan Africa,0,4242,11427061.07,1.0,0.0,0,Directive,0,0
20p92010,10746404.794781402,0,2,0,hncodedPreA0P,WWDdestCegtrapAvrica,1000171,1,0,0,CanadixnNonProfitnaoinr,0,UPADIUniondesproducteurwagtifokescfelopp3nwnt,0,0,Gu9nea,GN,Gkinea,0,NotPnA,0,S4234,SenegzlProfram,v4207,A020715001,Closed,B4200,WGM Sub-Saharan Africa,0,4242,11427061.07,1.0,0.0,0,Directive,0,0
e0092010,62755101.60178088,0,2,0,Uncodwd0reAPP,WWwaes4CentralAvrica,1001142,1,0,0,Csbad9anProfitMakung,0,LeG5i6peCpnseilBaastelkte,0,0,Guinfa,GN,Guin3a,0,NotlBA,0,Se233,SenegwlP4ogram,D4208,A020715001,Closed,B4200,WGM Sub-Saharan Africa,0,4242,11427061.07,1.0,0.0,0,Directive,0,0
200p2010,43427083.46213419,0,2,0,UnfodefPreAPP,WWDWfstCenfralqfrisa,1000171,1,0,0,sanad7anNon9rofotMaking,0,UPADI6niond4sproducfeurswgfisokesdvelop0emeny,0,0,Guinew,GN,Guigea,0,Not0BA,0,x4233,Senegap0rogram,D42p7,A020715001,Closed,B4200,WGM Sub-Saharan Africa,0,4242,11427061.07,1.0,0.0,0,Directive,0,0
2o092010,51805230.373977244,0,2,0,jncoredPreAPP,WWDWes5CenhrqlAfroca,1001142,1,0,0,danadisnProfitkakung,0,LeGrkupev8nseioBaastwlLte,0,0,Gu8nea,GN,Guimea,0,NptPBA,0,x4233,SenegalPeohram,D4q07,A020715001,Closed,B4200,WGM Sub-Saharan Africa,0,4242,11427061.07,1.0,0.0,0,Directive,0,0
2009201o,61849525.82758234,0,3,0,UbcodedPreAoP,OzDAslaProgrammjng,1000136,1,0,0,fanadianNon0r9f9tMaking,0,roundxtiojfotInterna6ionalTrain8ng,0,0,SriLanks,LK,SriLamka,0,NitPBA,1,S3141,pAAAfghaniwtanPakistznanvxr7Lanka,w4100,A020790001,Closed,B4100,OGM Asia Pacific,0,4118,0.0,1.0,0.0,0,Directive,0,0
20082010,21672370.1300027,0,3,0,hncodesPreAPP,OADAsiaP5ogramkigg,1000136,1,0,0,CanaeianNonProfifMqkibg,0,FounwatiojforlnternxyoonalTraining,0,0,SrkLanka,LK,qriLanka,0,No4PBA,1,S41r1,iAAAfghamjstanPakistanqjderiLanka,D4200,A020790001,Closed,B4100,OGM Asia Pacific,0,4118,0.0,1.0,0.0,0,Directive,0,0
20092019,2172575.221493896,0,2,0,UncofddPreAPP,WWDWes4CemtralAfficx,10050,1,0,0,CajadianNonProbithajing,0,cepagtmrntofForeitnxfcakesandInt3rnationalTrade,0,0,Mali,ML,Mali,0,9therPBA,1,S4225,MaliProyexmSection,Dr207,A020891001,Closed,B4200,WGM Sub-Saharan Africa,0,4216,0.0,0.0,0.0,0,Directive,0,0
2o092010,648977.5331845321,0,2,0,UncoxedPeeAPP,WWDWwstCen5rwlsfrica,Ingormationnitavailanl2,1,0,0,Uncod3d,0,Inrormationnotavsilanlr,0,0,Mali,ML,Mali,0,OtherlBA,1,q4215,Mali0rogramSecrikn,D4e07,A020891001,Closed,B4200,WGM Sub-Saharan Africa,0,4216,0.0,0.0,0.0,0,Directive,0,0
20o92010,19283103.37702047,0,2,0,UbcovedPreAPP,W1DWedtCengralAfriva,10050,1,0,0,sanadianN9nProfitjqking,0,DepattmentofFirsivnAffqirsandIn6ernatl9nalTrad2,0,0,Mali,ML,Mali,0,Other9BA,0,S4225,MaliPr8gramSecti9h,D4e07,A020892001,Closed,B4200,WGM Sub-Saharan Africa,0,4216,16726210.87,1.0,0.0,0,Directive,0,0
20p92010,3283785.7353528664,0,2,0,UndodedPreAP9,WWDaestCwntralAfroxa,1001126,1,0,0,Canafian9rofitjakigg,0,CACInternxtiojak,0,0,Mali,ML,Mali,0,Other0BA,0,S42q5,MaliProgeamSedfion,Dr207,A020892001,Closed,B4200,WGM Sub-Saharan Africa,0,4216,16726210.87,1.0,0.0,0,Directive,0,0
w0092010,64233514.637729175,0,2,0,UjcpdedPreAPP,WWDWestsentgalAgrixa,1014203,1,0,0,CanadianProe9fhaking,0,fonsottiymvRCSOGfMAInce5lUnivedsi4dOttawa,0,0,Mali,ML,Mali,0,OthsrPBA,0,S4115,MsliProgramSrdtion,D420y,A020892001,Closed,B4200,WGM Sub-Saharan Africa,0,4216,16726210.87,1.0,0.0,0,Directive,0,0
20092019,16231280.506096965,0,1,1,UncodedP3eAlP,NDDAmericazlrogfammkng,10050,1,1,0,CanadianNlj0rofotMaking,0,Deparym2ntofFor2ighAfgaireandInte5na4ionalTradf,0,0,xouyhernCone,50,SouthAmetixa,0,botPBA,1,S441r,SouthAkwrica,D44p0,A020910001,Closed,B4400,NGM Americas,1,4422,0.0,1.0,0.0,0,Responsive,0,0
20p92010,11771607.511132635,0,1,1,UncodedPrdAlP,NDDAmericasPfogrsnmint,Ind0rma4ionno6available,1,1,0,Unfoded,0,Intkrmatkojnotavailable,0,0,Sou5yernCone,50,So7tuAmerica,0,NotoBA,1,S5413,Southxmetica,D4500,A020910001,Closed,B4400,NGM Americas,1,4422,0.0,1.0,0.0,0,Responsive,0,0
2009e010,14460912.73195998,0,1,1,UncodewPrexPP,NDDAjericasP4oyramminh,10050,1,1,0,CabadiaggonPfofitMaking,0,DepadthentofFoeeugnAffaiewandIntednqfionalTrade,0,0,douthernvone,50,SoutuAmericz,0,NogPBA,1,S4423,SputhAmdrica,D4300,A020910001,Closed,B4400,NGM Americas,1,4422,0.0,1.0,0.0,0,Responsive,0,0
