Fiscal year,Gender equality (marker),Sector ID,Regional program (marker),Project Browser country ID,Project number,Sector name,Biodiversity (marker),Organisation class,Untied amount(Project-level budget),Section name,Maximum CIDA contribution (project-level),Children issues (marker),Enviromental sustainability (marker),ICT as a tool for development (marker),Amount spent,Section ID,Sector percent,Branch ID,Fund centre ID,Fund centre name,Status,IRTC percent,Division ID,Youth issues (marker),FSTC percent,Knowledge for development (marker),Trade development (marker),CFLI (marker),Indigenous issues (marker),CountryRegion ID,Programming process (new),Participatory development and good governance,Urban issues (marker),Continent name,Branch name,Division name,CIDA business delivery model (old),Bilateral aid (international marker),PBA type,Climate change adaptation (marker),Climate change mitigation (marker),Desertification (marker)
2009/2010,0,24040,0,JM,A019362001,Informal/semi-formal financial intermediaries,0,Civil Society,3441416.83,Caricom - Adm,3441416.83,0,0,1,13163.27,S4429,1.0,B4400,4439,Caribbean Regional - Jamaica,Closed,0.0,D4400,0,1.0,0,0,0,0,JM,Uncoded: Pre-APP,0,0,America,NGM Americas,NDD Americas Programming,Responsive,1,Not PBA,0,0,0
2009/2010,0,24040,0,JM,A019362001,Informal/semi-formal financial intermediaries,0,Civil Society,3441416.83,Caricom - Adm,3441416.83,0,0,1,7256.25,S4429,1.0,B4400,4439,Caribbean Regional - Jamaica,Closed,0.0,D4400,0,1.0,0,0,0,0,JM,Uncoded: Pre-APP,0,0,America,NGM Americas,NDD Americas Programming,Responsive,1,Not PBA,0,0,0
2009/2010,0,15150,0,EG,A019608001,Democratic participation and civil society,0,Civil Society,0.0,Middle East and North Africa,16700508.62,0,1,1,73931.99,S4256,0.2,B3100,4263,Egypt,Closed,0.0,D3100,0,1.0,0,0,0,0,EG,Uncoded: Pre-APP,1,0,Africa,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,Directive,1,Not PBA,0,0,0
2009/2010,0,24030,0,EG,A019608001,Formal sector financial intermediaries,0,Civil Society,0.0,Middle East and North Africa,16700508.62,0,1,1,18482.9975,S4256,0.05,B3100,4263,Egypt,Closed,0.0,D3100,0,1.0,0,0,0,0,EG,Uncoded: Pre-APP,1,0,Africa,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,Directive,1,Not PBA,0,0,0
2009/2010,0,25010,0,EG,A019608001,Business support services and institutions,0,Civil Society,0.0,Middle East and North Africa,16700508.62,0,1,1,18482.9975,S4256,0.05,B3100,4263,Egypt,Closed,0.0,D3100,0,1.0,0,0,0,0,EG,Uncoded: Pre-APP,1,0,Africa,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,Directive,1,Not PBA,0,0,0
2009/2010,0,32110,0,EG,A019608001,Industrial policy and administrative management,0,Civil Society,0.0,Middle East and North Africa,16700508.62,0,1,1,18482.9975,S4256,0.05,B3100,4263,Egypt,Closed,0.0,D3100,0,1.0,0,0,0,0,EG,Uncoded: Pre-APP,1,0,Africa,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,Directive,1,Not PBA,0,0,0
2009/2010,0,32130,0,EG,A019608001,Small and medium-sized enterprises (SME) development,0,Civil Society,0.0,Middle East and North Africa,16700508.62,0,1,1,92414.9875,S4256,0.25,B3100,4263,Egypt,Closed,0.0,D3100,0,1.0,0,0,0,0,EG,Uncoded: Pre-APP,1,0,Africa,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,Directive,1,Not PBA,0,0,0
2009/2010,0,32182,0,EG,A019608001,Technological research and development,0,Civil Society,0.0,Middle East and North Africa,16700508.62,0,1,1,55448.9925,S4256,0.15,B3100,4263,Egypt,Closed,0.0,D3100,0,1.0,0,0,0,0,EG,Uncoded: Pre-APP,1,0,Africa,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,Directive,1,Not PBA,0,0,0
2009/2010,0,41010,0,EG,A019608001,Environmental policy and administrative management,0,Civil Society,0.0,Middle East and North Africa,16700508.62,0,1,1,18482.9975,S4256,0.05,B3100,4263,Egypt,Closed,0.0,D3100,0,1.0,0,0,0,0,EG,Uncoded: Pre-APP,1,0,Africa,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,Directive,1,Not PBA,0,0,0
2009/2010,0,41020,0,EG,A019608001,Biosphere protection,0,Civil Society,0.0,Middle East and North Africa,16700508.62,0,1,1,73931.99,S4256,0.2,B3100,4263,Egypt,Closed,0.0,D3100,0,1.0,0,0,0,0,EG,Uncoded: Pre-APP,1,0,Africa,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,Directive,1,Not PBA,0,0,0
2009/2010,2,43010,0,DZ,A020161001,Multisector aid,0,Governmental,0.0,Middle East and North Africa,328400.96,0,0,0,114.33,S4256,1.0,B3100,4259,*Algeria,Closed,0.0,D3100,0,0.998334353,0,0,0,0,DZ,Uncoded: Pre-APP,0,0,Africa,"EGM Europe, Middle East and Maghreb",EDD Europe-Middle East Programming,Directive,1,Not PBA,0,0,0
2009/2010,3,15150,0,HT,A020195001,Democratic participation and civil society,0,Governmental,4000000.0,Ha�ti & Dominican Republic Section,4610501.0,0,0,0,103009.4,S4449,0.2,B4400,4452,Haiti,Closed,0.0,D4400,0,1.0,0,0,0,0,HT,Uncoded: Pre-APP,1,0,America,NGM Americas,NDD Americas Programming,Directive,1,Not PBA,0,0,0
2009/2010,3,15160,0,HT,A020195001,Human rights,0,Governmental,4000000.0,Ha�ti & Dominican Republic Section,4610501.0,0,0,0,412037.6,S4449,0.8,B4400,4452,Haiti,Closed,0.0,D4400,0,1.0,0,0,0,0,HT,Uncoded: Pre-APP,1,0,America,NGM Americas,NDD Americas Programming,Directive,1,Not PBA,0,0,0
2009/2010,2,15110,0,ET,A020222001,Public sector policy and administrative management,0,Civil Society,0.0,"Ethiopia, PanAfrica, SubRegional",4229943.14,0,0,0,799.502,S4227,0.2,B4200,4229,Ethiopia,Closed,0.0,D4270,0,1.0,0,0,0,0,ET,Uncoded: Pre-APP,1,0,Africa,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,Directive,1,Not PBA,0,0,0
2009/2010,2,15111,0,ET,A020222001,Public finance management,0,Civil Society,0.0,"Ethiopia, PanAfrica, SubRegional",4229943.14,0,0,0,799.502,S4227,0.2,B4200,4229,Ethiopia,Closed,0.0,D4270,0,1.0,0,0,0,0,ET,Uncoded: Pre-APP,1,0,Africa,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,Directive,1,Not PBA,0,0,0
2009/2010,2,15130,0,ET,A020222001,Legal and judicial development,0,Civil Society,0.0,"Ethiopia, PanAfrica, SubRegional",4229943.14,0,0,0,799.502,S4227,0.2,B4200,4229,Ethiopia,Closed,0.0,D4270,0,1.0,0,0,0,0,ET,Uncoded: Pre-APP,1,0,Africa,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,Directive,1,Not PBA,0,0,0
2009/2010,2,15150,0,ET,A020222001,Democratic participation and civil society,0,Civil Society,0.0,"Ethiopia, PanAfrica, SubRegional",4229943.14,0,0,0,799.502,S4227,0.2,B4200,4229,Ethiopia,Closed,0.0,D4270,0,1.0,0,0,0,0,ET,Uncoded: Pre-APP,1,0,Africa,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,Directive,1,Not PBA,0,0,0
2009/2010,2,15160,0,ET,A020222001,Human rights,0,Civil Society,0.0,"Ethiopia, PanAfrica, SubRegional",4229943.14,0,0,0,799.502,S4227,0.2,B4200,4229,Ethiopia,Closed,0.0,D4270,0,1.0,0,0,0,0,ET,Uncoded: Pre-APP,1,0,Africa,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,Directive,1,Not PBA,0,0,0
2009/2010,2,15110,0,SN,A020246001,Public sector policy and administrative management,0,Civil Society,4518387.69,Senegal Program,4518387.69,0,0,0,2307.3284,S4233,0.34,B4200,4238,Senegal,Terminating,0.0,D4207,0,1.0,0,0,0,0,SN,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,2,15110,0,SN,A020246001,Public sector policy and administrative management,0,Individual,4518387.69,Senegal Program,4518387.69,0,0,0,2157.8406,S4233,0.34,B4200,4238,Senegal,Terminating,0.0,D4207,0,1.0,0,0,0,0,SN,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,2,24040,0,SN,A020246001,Informal/semi-formal financial intermediaries,0,Civil Society,4518387.69,Senegal Program,4518387.69,0,0,0,4478.9316,S4233,0.66,B4200,4238,Senegal,Terminating,0.0,D4207,0,1.0,0,0,0,0,SN,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,2,24040,0,SN,A020246001,Informal/semi-formal financial intermediaries,0,Individual,4518387.69,Senegal Program,4518387.69,0,0,0,4188.7494,S4233,0.66,B4200,4238,Senegal,Terminating,0.0,D4207,0,1.0,0,0,0,0,SN,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,0,11130,0,GY,A020252001,Teacher training,0,Civil Society,7850039.11,Caricom - Adm,7850039.11,0,0,0,539373.76,S4429,1.0,B4400,4438,Caribbean Regional - Guyana,Closed,0.0,D4400,0,1.0,0,0,0,0,GY,Uncoded: Pre-APP,0,0,America,NGM Americas,NDD Americas Programming,Directive,1,Not PBA,0,0,0
2009/2010,1,15110,0,PH,A020272001,Public sector policy and administrative management,0,Governmental,0.0,Philippines and Mongolia,13000520.92,0,1,1,12432.9,S4130,0.5,B4100,4128,Philippines,Closed,0.0,D4100,0,1.0,0,0,0,0,PH,Uncoded: Pre-APP,1,0,Asia,OGM Asia Pacific,OAD Asia Programming,Directive,1,Not PBA,0,0,0
2009/2010,1,15111,0,PH,A020272001,Public finance management,0,Governmental,0.0,Philippines and Mongolia,13000520.92,0,1,1,9946.32,S4130,0.4,B4100,4128,Philippines,Closed,0.0,D4100,0,1.0,0,0,0,0,PH,Uncoded: Pre-APP,1,0,Asia,OGM Asia Pacific,OAD Asia Programming,Directive,1,Not PBA,0,0,0
2009/2010,1,15150,0,PH,A020272001,Democratic participation and civil society,0,Governmental,0.0,Philippines and Mongolia,13000520.92,0,1,1,2486.58,S4130,0.1,B4100,4128,Philippines,Closed,0.0,D4100,0,1.0,0,0,0,0,PH,Uncoded: Pre-APP,1,0,Asia,OGM Asia Pacific,OAD Asia Programming,Directive,1,Not PBA,0,0,0
2009/2010,1,15110,0,PK,A020279001,Public sector policy and administrative management,0,Governmental,0.0,"OAA Afghanistan, Pakistan and Sri Lanka",2645994.04,0,0,0,106986.01,S4141,1.0,B4100,4124,Pakistan,Terminating,0.0,D4100,0,1.0,0,0,0,0,PK,Uncoded: Pre-APP,1,0,Asia,OGM Asia Pacific,OAD Asia Programming,Directive,1,Not PBA,0,0,0
2009/2010,1,15110,0,MW,A020392001,Public sector policy and administrative management,0,Civil Society,0.0,Mozambique Program,7747230.74,0,0,0,73711.97,S4271,1.0,B4200,4280,Malawi,Closed,0.0,D4270,0,1.0,0,0,0,0,MW,Uncoded: Pre-APP,1,0,Africa,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,Directive,1,Not PBA,0,0,0
2009/2010,0,43010,0,BD,A020395001,Multisector aid,0,Governmental,0.0,Bangladesh Section,4947637.32,0,0,0,500000.0,S4122,1.0,B4100,4122,Bangladesh,Closed,0.0,D4100,0,0.5,0,0,0,0,BD,Uncoded: Pre-APP,1,0,Asia,OGM Asia Pacific,OAD Asia Programming,Directive,1,Not PBA,0,0,0
2009/2010,0,43010,0,BD,A020395001,Multisector aid,0,Unknown,0.0,Bangladesh Section,4947637.32,0,0,0,2362.0,S4122,1.0,B4100,4122,Bangladesh,Closed,0.0,D4100,0,0.5,0,0,0,0,BD,Uncoded: Pre-APP,1,0,Asia,OGM Asia Pacific,OAD Asia Programming,Directive,1,Not PBA,0,0,0
2009/2010,0,14031,0,MZ,A020398001,Basic drinking water supply,0,Individual,0.0,Mozambique Program,9096651.0,0,0,0,667.81,S4271,0.5,B4200,4274,Mozambique,Closed,0.0,D4270,0,1.0,0,0,0,0,MZ,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,Directive,1,Not PBA,0,0,0
2009/2010,0,14032,0,MZ,A020398001,Basic sanitation,0,Individual,0.0,Mozambique Program,9096651.0,0,0,0,667.81,S4271,0.5,B4200,4274,Mozambique,Closed,0.0,D4270,0,1.0,0,0,0,0,MZ,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WED Southern & Eastern Africa,Directive,1,Not PBA,0,0,0
2009/2010,2,43010,0,CM,A020449003,Multisector aid,0,Governmental,2457111.5,Central Africa & Great Lakes Program,2457111.5,0,1,0,582248.05,S4287,1.0,B4200,4289,Cameroon,Closed,0.0,D4207,0,1.0,0,0,0,0,CM,Uncoded: Pre-APP,1,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,2,43010,0,CM,A020449003,Multisector aid,0,Civil Society,2457111.5,Central Africa & Great Lakes Program,2457111.5,0,1,0,863.16,S4287,1.0,B4200,4289,Cameroon,Closed,0.0,D4207,0,1.0,0,0,0,0,CM,Uncoded: Pre-APP,1,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,2,43010,0,CM,A020449003,Multisector aid,0,Individual,2457111.5,Central Africa & Great Lakes Program,2457111.5,0,1,0,140613.87,S4287,1.0,B4200,4289,Cameroon,Closed,0.0,D4207,0,1.0,0,0,0,0,CM,Uncoded: Pre-APP,1,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,2,43010,0,CM,A020449003,Multisector aid,0,Unknown,2457111.5,Central Africa & Great Lakes Program,2457111.5,0,1,0,2361.97,S4287,1.0,B4200,4289,Cameroon,Closed,0.0,D4207,0,1.0,0,0,0,0,CM,Uncoded: Pre-APP,1,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,0,15150,0,GN,A020715001,Democratic participation and civil society,0,Civil Society,11427061.07,Senegal Program,11427061.07,0,0,0,442790.91,S4233,0.5,B4200,4242,*Guinea,Closed,0.0,D4207,0,1.0,0,0,0,0,GN,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,0,15150,0,GN,A020715001,Democratic participation and civil society,0,Civil Society,11427061.07,Senegal Program,11427061.07,0,0,0,4131.87,S4233,0.5,B4200,4242,*Guinea,Closed,0.0,D4207,0,1.0,0,0,0,0,GN,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,0,31161,0,GN,A020715001,Food crop production,0,Civil Society,11427061.07,Senegal Program,11427061.07,0,0,0,132837.27300000002,S4233,0.15,B4200,4242,*Guinea,Closed,0.0,D4207,0,1.0,0,0,0,0,GN,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,0,31161,0,GN,A020715001,Food crop production,0,Civil Society,11427061.07,Senegal Program,11427061.07,0,0,0,1239.5610000000001,S4233,0.15,B4200,4242,*Guinea,Closed,0.0,D4207,0,1.0,0,0,0,0,GN,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,0,31166,0,GN,A020715001,Agricultural extension,0,Civil Society,11427061.07,Senegal Program,11427061.07,0,0,0,88558.18199999999,S4233,0.1,B4200,4242,*Guinea,Closed,0.0,D4207,0,1.0,0,0,0,0,GN,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,0,31166,0,GN,A020715001,Agricultural extension,0,Civil Society,11427061.07,Senegal Program,11427061.07,0,0,0,826.3739999999999,S4233,0.1,B4200,4242,*Guinea,Closed,0.0,D4207,0,1.0,0,0,0,0,GN,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,0,31181,0,GN,A020715001,Agricultural education/training,0,Civil Society,11427061.07,Senegal Program,11427061.07,0,0,0,132837.27300000002,S4233,0.15,B4200,4242,*Guinea,Closed,0.0,D4207,0,1.0,0,0,0,0,GN,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,0,31181,0,GN,A020715001,Agricultural education/training,0,Civil Society,11427061.07,Senegal Program,11427061.07,0,0,0,1239.5610000000001,S4233,0.15,B4200,4242,*Guinea,Closed,0.0,D4207,0,1.0,0,0,0,0,GN,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,0,31191,0,GN,A020715001,Agricultural services,0,Civil Society,11427061.07,Senegal Program,11427061.07,0,0,0,88558.18199999999,S4233,0.1,B4200,4242,*Guinea,Closed,0.0,D4207,0,1.0,0,0,0,0,GN,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,0,31191,0,GN,A020715001,Agricultural services,0,Civil Society,11427061.07,Senegal Program,11427061.07,0,0,0,826.3739999999999,S4233,0.1,B4200,4242,*Guinea,Closed,0.0,D4207,0,1.0,0,0,0,0,GN,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Not PBA,0,0,0
2009/2010,0,15150,0,LK,A020790001,Democratic participation and civil society,0,Civil Society,0.0,"OAA Afghanistan, Pakistan and Sri Lanka",4308867.95,1,0,0,92293.62400000001,S4141,0.8,B4100,4118,Sri Lanka,Closed,0.0,D4100,0,1.0,0,0,0,0,LK,Uncoded: Pre-APP,0,0,Asia,OGM Asia Pacific,OAD Asia Programming,Directive,1,Not PBA,0,0,0
2009/2010,0,15160,0,LK,A020790001,Human rights,0,Civil Society,0.0,"OAA Afghanistan, Pakistan and Sri Lanka",4308867.95,1,0,0,23073.406000000003,S4141,0.2,B4100,4118,Sri Lanka,Closed,0.0,D4100,0,1.0,0,0,0,0,LK,Uncoded: Pre-APP,0,0,Asia,OGM Asia Pacific,OAD Asia Programming,Directive,1,Not PBA,0,0,0
2009/2010,2,11110,0,ML,A020891001,Education policy and administrative management,0,Governmental,0.0,Mali Program Section,3063216.68,1,0,0,57631.03,S4215,1.0,B4200,4216,Mali,Closed,0.0,D4207,0,0.0,0,0,0,0,ML,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Other PBA,0,0,0
2009/2010,2,11110,0,ML,A020891001,Education policy and administrative management,0,Unknown,0.0,Mali Program Section,3063216.68,1,0,0,23.9,S4215,1.0,B4200,4216,Mali,Closed,0.0,D4207,0,0.0,0,0,0,0,ML,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Other PBA,0,0,0
2009/2010,2,11130,0,ML,A020892001,Teacher training,0,Governmental,16726210.87,Mali Program Section,16726210.87,0,0,0,10023.66,S4215,1.0,B4200,4216,Mali,Closed,0.0,D4207,0,1.0,0,0,0,0,ML,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Other PBA,0,0,0
2009/2010,2,11130,0,ML,A020892001,Teacher training,0,Civil Society,16726210.87,Mali Program Section,16726210.87,0,0,0,50605.0,S4215,1.0,B4200,4216,Mali,Closed,0.0,D4207,0,1.0,0,0,0,0,ML,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Other PBA,0,0,0
2009/2010,2,11130,0,ML,A020892001,Teacher training,0,Civil Society,16726210.87,Mali Program Section,16726210.87,0,0,0,2019764.66,S4215,1.0,B4200,4216,Mali,Closed,0.0,D4207,0,1.0,0,0,0,0,ML,Uncoded: Pre-APP,0,0,Africa,WGM Sub-Saharan Africa,WWD West & Central Africa,Directive,1,Other PBA,0,0,0
2009/2010,0,11220,1,UY,A020910001,Primary education,0,Governmental,0.0,South America,1488850.78,1,1,0,64.46300000000001,S4413,0.1,B4400,4422,*Southern Cone,Closed,0.0,D4400,0,1.0,0,0,0,0,50,Uncoded: Pre-APP,1,0,America,NGM Americas,NDD Americas Programming,Responsive,1,Not PBA,0,0,0
2009/2010,0,11220,1,UY,A020910001,Primary education,0,Unknown,0.0,South America,1488850.78,1,1,0,24.000999999999998,S4413,0.1,B4400,4422,*Southern Cone,Closed,0.0,D4400,0,1.0,0,0,0,0,50,Uncoded: Pre-APP,1,0,America,NGM Americas,NDD Americas Programming,Responsive,1,Not PBA,0,0,0
2009/2010,0,12220,1,UY,A020910001,Basic health care,0,Governmental,0.0,South America,1488850.78,1,1,0,51.5704,S4413,0.08,B4400,4422,*Southern Cone,Closed,0.0,D4400,0,1.0,0,0,0,0,50,Uncoded: Pre-APP,1,0,America,NGM Americas,NDD Americas Programming,Responsive,1,Not PBA,0,0,0
2009/2010,0,12220,1,UY,A020910001,Basic health care,0,Unknown,0.0,South America,1488850.78,1,1,0,19.2008,S4413,0.08,B4400,4422,*Southern Cone,Closed,0.0,D4400,0,1.0,0,0,0,0,50,Uncoded: Pre-APP,1,0,America,NGM Americas,NDD Americas Programming,Responsive,1,Not PBA,0,0,0
2009/2010,0,13030,1,UY,A020910001,Family planning,0,Governmental,0.0,South America,1488850.78,1,1,0,12.8926,S4413,0.02,B4400,4422,*Southern Cone,Closed,0.0,D4400,0,1.0,0,0,0,0,50,Uncoded: Pre-APP,1,0,America,NGM Americas,NDD Americas Programming,Responsive,1,Not PBA,0,0,0
2009/2010,0,13030,1,UY,A020910001,Family planning,0,Unknown,0.0,South America,1488850.78,1,1,0,4.8002,S4413,0.02,B4400,4422,*Southern Cone,Closed,0.0,D4400,0,1.0,0,0,0,0,50,Uncoded: Pre-APP,1,0,America,NGM Americas,NDD Americas Programming,Responsive,1,Not PBA,0,0,0
2009/2010,0,15110,1,UY,A020910001,Public sector policy and administrative management,0,Governmental,0.0,South America,1488850.78,1,1,0,515.7040000000001,S4413,0.8,B4400,4422,*Southern Cone,Closed,0.0,D4400,0,1.0,0,0,0,0,50,Uncoded: Pre-APP,1,0,America,NGM Americas,NDD Americas Programming,Responsive,1,Not PBA,0,0,0
2009/2010,0,15110,1,UY,A020910001,Public sector policy and administrative management,0,Unknown,0.0,South America,1488850.78,1,1,0,192.00799999999998,S4413,0.8,B4400,4422,*Southern Cone,Closed,0.0,D4400,0,1.0,0,0,0,0,50,Uncoded: Pre-APP,1,0,America,NGM Americas,NDD Americas Programming,Responsive,1,Not PBA,0,0,0
